channel,vbias_V,risetime_ms,decaytime_ms,amplitude_mV,hf_power
31,0.600,1.781441,33.311820,4.763267,3.371210e-07
31,1.000,1.425151,22.206041,4.304359,7.635192e-07
31,1.400,1.221121,18.550044,3.880032,1.243871e-06
31,1.800,1.076453,16.938223,3.555786,1.849666e-06
31,2.000,1.022658,16.247767,3.419677,2.161443e-06
31,3.000,0.846561,13.631449,2.915397,3.790878e-06
31,4.000,0.738996,12.154667,2.568738,5.577103e-06
31,5.000,0.668268,11.218140,2.313303,7.347128e-06
31,6.000,0.615008,10.590551,2.113314,9.129734e-06
31,8.000,0.539271,9.754165,1.809979,1.257800e-05
31,10.000,0.482386,9.278394,1.585504,1.566633e-05
31,20.000,0.361132,8.335471,1.018210,2.386497e-05
31,26.000,0.330293,8.210223,0.849635,2.617800e-05
31,30.000,0.314766,8.195110,0.764623,2.730925e-05
31,40.000,0.289931,8.241857,0.618823,2.922841e-05
34,0.600,2.369193,45.374161,1.562028,1.348885e-07
34,1.000,2.101785,38.891989,2.058465,1.890735e-07
34,1.400,1.880909,34.144914,2.308547,2.677920e-07
34,1.800,1.716555,30.677082,2.412022,3.607452e-07
34,2.000,1.644776,29.277854,2.440126,4.168564e-07
34,3.000,1.389205,24.428849,2.421079,7.387429e-07
34,4.000,1.219749,21.470407,2.317061,1.165643e-06
34,5.000,1.102897,19.564101,2.204652,1.638458e-06
34,6.000,1.020466,18.131754,2.072425,2.140496e-06
34,8.000,0.899858,16.210002,1.858477,3.229773e-06
34,10.000,0.817887,14.968640,1.688306,4.315401e-06
34,20.000,0.627992,12.127027,1.153174,8.722659e-06
34,26.000,0.579303,11.365965,0.980923,1.048137e-05
34,30.000,0.554635,11.067082,0.892830,1.145866e-05
34,40.000,0.515199,10.493386,0.737938,1.340120e-05
37,0.600,4.557370,13.050756,5.924068,1.722154e-08
37,1.000,3.129272,7.870295,5.221188,3.868047e-08
37,1.400,2.484860,5.905082,4.787576,7.626568e-08
37,1.800,2.126992,4.955338,4.544228,1.238502e-07
37,2.000,2.003630,4.630918,4.457490,1.460405e-07
37,3.000,1.593460,3.719802,4.201813,3.190127e-07
37,4.000,1.371651,3.255447,4.053878,5.366875e-07
37,5.000,1.217313,2.969152,3.915091,8.187292e-07
37,6.000,1.102105,2.785492,3.788457,1.163311e-06
37,8.000,0.939022,2.660503,3.516254,2.054899e-06
37,10.000,0.828895,6.672886,3.280295,3.184994e-06
37,20.000,0.565636,5.737508,2.426842,1.272473e-05
37,26.000,0.496062,5.483964,2.107207,1.989704e-05
37,30.000,0.458111,5.394469,1.924880,2.420731e-05
37,40.000,0.398925,5.250007,1.616876,3.082357e-05
40,0.600,2.379038,25.527048,60.387586,2.313968e-04
40,1.000,,0.167011,15.368000,5.941926e-04
40,1.400,8.889453,0.178879,26.456329,5.417792e-04
40,1.800,5.895676,0.208064,38.734442,1.110996e-03
40,2.000,4.941998,0.202946,31.419458,1.202621e-03
40,3.000,2.477989,0.288631,24.940998,9.780987e-04
40,4.000,1.518455,0.473937,9.801801,1.342273e-03
40,5.000,0.846031,0.819191,2.202726,2.417098e-06
40,6.000,0.787409,0.770195,2.232724,4.617238e-06
40,8.000,0.695225,0.693271,2.328988,5.189571e-06
40,10.000,0.631073,0.641952,2.312694,6.809021e-06
40,20.000,0.437303,0.490647,1.898250,7.155357e-05
40,26.000,0.374205,0.443817,1.656598,8.686834e-05
40,30.000,0.349789,0.434644,1.553855,8.262164e-05
40,40.000,0.297133,0.431186,1.289217,7.458466e-05
41,0.600,2.525035,31.530502,1.463017,1.568048e-07
41,1.000,1.947136,24.988234,1.322350,2.898317e-07
41,1.400,1.591782,22.372311,1.257927,4.368556e-07
41,1.800,1.438255,19.750188,1.224734,6.430917e-07
41,2.000,1.363771,18.972258,1.209406,8.156078e-07
41,3.000,1.161278,15.469484,1.177666,4.114574e-06
41,4.000,1.044146,13.293455,1.172135,2.009850e-06
41,5.000,0.946695,11.160221,1.168830,2.404173e-06
41,6.000,0.867274,10.184013,1.148157,3.146562e-06
41,8.000,0.773759,8.784517,1.118979,4.688586e-06
41,10.000,0.702457,7.977035,1.069423,6.367066e-06
41,20.000,0.501447,6.077274,0.817918,1.528781e-05
41,26.000,0.444042,5.678604,0.707622,1.893426e-05
41,30.000,0.422779,5.452809,0.650169,2.061004e-05
41,40.000,0.386667,5.253946,0.543738,2.338407e-05
71,0.600,2.261581,32.074175,4.321273,1.938906e-07
71,1.000,1.825948,24.270675,4.887824,3.450692e-07
71,1.400,1.536838,19.962517,5.011591,5.527060e-07
71,1.800,1.360271,17.353205,4.993932,7.952318e-07
71,2.000,1.288661,16.279138,4.948170,9.254937e-07
71,3.000,1.049047,13.004577,4.643936,1.762546e-06
71,4.000,0.903819,11.271509,4.298046,2.814386e-06
71,5.000,0.829464,10.445693,4.079936,3.694327e-06
71,6.000,0.752727,9.593194,3.818313,4.979270e-06
71,8.000,0.647574,8.561430,3.363265,7.888665e-06
71,10.000,0.578386,7.933609,3.017346,1.093205e-05
71,20.000,0.415629,6.662080,2.002852,2.325387e-05
71,26.000,0.375692,6.363714,1.679975,2.699989e-05
