"# A = Optimum filter (baseline),  B = Wiener (scalar λ),  improvement_pct = 100*(BI_A - BI_B)/BI_A"
channel,vbias_V,BI_A,BI_B,improvement_pct
37,0.600,2.036229e-04,1.510897e-04,25.7992
37,1.000,1.974558e-04,1.635539e-04,17.1693
37,1.400,1.862618e-04,1.494437e-04,19.7669
37,1.800,1.723449e-04,1.479664e-04,14.1452
37,2.000,1.707792e-04,1.470440e-04,13.8982
37,3.000,1.491486e-04,1.346073e-04,9.7495
37,4.000,1.386532e-04,1.239385e-04,10.6126
37,5.000,1.293740e-04,1.146890e-04,11.3508
37,6.000,1.207292e-04,1.179867e-04,2.2716
37,8.000,1.096011e-04,1.070809e-04,2.2995
37,10.000,1.017115e-04,9.886723e-05,2.7964
37,20.000,8.314483e-05,7.958480e-05,4.2817
37,26.000,7.734384e-05,7.359511e-05,4.8468
37,30.000,7.453241e-05,7.063732e-05,5.2260
37,40.000,6.967153e-05,6.512381e-05,6.5274
41,0.600,2.160683e-04,1.434765e-04,33.5967
41,1.000,2.020931e-04,1.434626e-04,29.0116
41,1.400,1.906469e-04,1.433791e-04,24.7934
41,1.800,1.968199e-04,1.434877e-04,27.0970
41,2.000,1.770632e-04,1.443224e-04,18.4910
41,3.000,1.430235e-04,1.436986e-04,-0.4720
41,4.000,1.635517e-04,1.450211e-04,11.3301
41,5.000,1.860742e-04,1.455091e-04,21.8005
41,6.000,1.809867e-04,1.454203e-04,19.6514
41,8.000,1.793109e-04,1.468741e-04,18.0897
41,10.000,1.717557e-04,1.458887e-04,15.0603
41,20.000,1.484807e-04,1.413341e-04,4.8131
41,26.000,1.375156e-04,1.351953e-04,1.6873
41,30.000,1.352886e-04,1.316494e-04,2.6900
41,40.000,1.240248e-04,1.206108e-04,2.7527
94,0.600,9.536679e-05,8.870560e-05,6.9848
94,1.000,1.941046e-05,1.848707e-05,4.7572
94,1.400,1.238892e-04,1.188158e-04,4.0951
94,1.800,1.216225e-04,1.162765e-04,4.3956
94,2.000,1.207511e-04,1.090791e-04,9.6662
94,3.000,1.102306e-04,1.058474e-04,3.9763
94,4.000,1.002133e-04,9.673095e-05,3.4750
94,5.000,9.544422e-05,9.186315e-05,3.7520
94,6.000,9.196874e-05,8.909899e-05,3.1204
94,8.000,8.676890e-05,8.417488e-05,2.9896
94,10.000,8.321264e-05,7.998568e-05,3.8780
94,20.000,7.522882e-05,6.987836e-05,7.1123
94,26.000,7.596163e-05,6.958756e-05,8.3912
94,30.000,7.714761e-05,6.986845e-05,9.4354
94,40.000,7.281778e-05,6.495920e-05,10.7921

# mean improvement per channel
channel,mean_improvement_pct,n_points
37,10.0494,15
41,15.3595,15
94,5.7881,15

# global mean improvement (all points),10.3990
