"# A = Optimum filter (baseline),  B = Wiener (scalar λ),  improvement_pct = 100*(BI_A - BI_B)/BI_A"
channel,vbias_V,BI_A,BI_B,improvement_pct
31,0.600,1.410834e-04,1.304626e-04,7.5280
31,1.000,1.191585e-04,1.170797e-04,1.7445
31,1.400,1.088932e-04,1.070643e-04,1.6796
31,1.800,1.011660e-04,9.919398e-05,1.9493
31,2.000,9.877532e-05,9.679856e-05,2.0013
31,3.000,8.895648e-05,8.673959e-05,2.4921
31,4.000,8.228517e-05,8.000324e-05,2.7732
31,5.000,7.932721e-05,7.654512e-05,3.5071
31,6.000,7.747312e-05,7.428395e-05,4.1165
31,8.000,7.291910e-05,6.973084e-05,4.3723
31,10.000,7.033662e-05,6.694758e-05,4.8183
31,20.000,6.360645e-05,5.993834e-05,5.7669
31,26.000,6.274948e-05,5.842873e-05,6.8857
31,30.000,6.268009e-05,5.794491e-05,7.5545
31,40.000,6.155983e-05,5.666034e-05,7.9589
34,0.600,2.074202e-04,1.506314e-04,27.3786
34,1.000,1.889578e-04,1.491611e-04,21.0611
34,1.400,1.711092e-04,1.479245e-04,13.5497
34,1.800,1.581659e-04,1.399864e-04,11.4939
34,2.000,1.517604e-04,1.338667e-04,11.7908
34,3.000,1.306967e-04,1.185725e-04,9.2766
34,4.000,1.181291e-04,1.112431e-04,5.8293
34,5.000,1.089666e-04,1.043872e-04,4.2026
34,6.000,1.038502e-04,9.940832e-05,4.2772
34,8.000,9.648521e-05,9.128045e-05,5.3944
34,10.000,9.101256e-05,8.626640e-05,5.2148
34,20.000,7.939965e-05,7.421156e-05,6.5341
34,26.000,7.612451e-05,7.145159e-05,6.1385
34,30.000,7.449737e-05,7.043911e-05,5.4475
34,40.000,7.333116e-05,6.915070e-05,5.7008
71,0.600,1.701052e-04,1.510160e-04,11.2220
71,1.000,1.301555e-04,1.169353e-04,10.1572
71,1.400,1.130215e-04,1.105206e-04,2.2127
71,1.800,1.020800e-04,9.944842e-05,2.5779
71,2.000,9.880209e-05,9.612721e-05,2.7073
71,3.000,8.613125e-05,8.333426e-05,3.2474
71,4.000,7.834657e-05,7.540307e-05,3.7570
71,5.000,7.568150e-05,7.322713e-05,3.2430
71,6.000,7.150213e-05,6.903549e-05,3.4497
71,8.000,6.674979e-05,6.431334e-05,3.6501
71,10.000,6.343715e-05,6.145051e-05,3.1317
71,20.000,5.474510e-05,5.250237e-05,4.0967
71,26.000,5.214800e-05,4.998185e-05,4.1539
71,30.000,5.117582e-05,4.847142e-05,5.2845
71,40.000,4.890669e-05,4.651242e-05,4.8956
83,0.600,1.718721e-04,1.476420e-04,14.0978
83,1.000,1.470450e-04,1.302786e-04,11.4022
83,1.400,1.313283e-04,1.163712e-04,11.3891
83,1.800,1.200436e-04,1.162724e-04,3.1416
83,2.000,1.159737e-04,1.118445e-04,3.5605
83,3.000,1.027378e-04,9.888886e-05,3.7463
83,4.000,9.362837e-05,8.984187e-05,4.0442
83,5.000,8.853071e-05,8.472499e-05,4.2988
83,6.000,8.529442e-05,8.121661e-05,4.7809
83,8.000,7.928440e-05,7.517103e-05,5.1881
83,10.000,7.588721e-05,7.170302e-05,5.5137
83,20.000,6.692115e-05,6.279624e-05,6.1638
83,26.000,6.417715e-05,6.117776e-05,4.6736
83,30.000,6.475683e-05,6.140502e-05,5.1760
83,40.000,6.278694e-05,5.958903e-05,5.0933
91,0.600,1.909230e-04,1.547445e-04,18.9493
91,1.000,1.752971e-04,1.486221e-04,15.2170
91,1.400,1.703116e-04,1.497177e-04,12.0919
91,1.800,1.672780e-04,1.492456e-04,10.7799
91,2.000,1.658770e-04,1.490589e-04,10.1389
91,3.000,1.631232e-04,1.493799e-04,8.4251
91,4.000,1.640848e-04,1.489809e-04,9.2049
91,5.000,1.638490e-04,1.494985e-04,8.7584
91,6.000,1.655512e-04,1.474834e-04,10.9138
91,8.000,1.674720e-04,1.473698e-04,12.0033
91,10.000,1.687828e-04,1.469619e-04,12.9284
91,20.000,1.677997e-04,1.466314e-04,12.6152
91,26.000,1.710984e-04,1.478622e-04,13.5806
91,30.000,1.718701e-04,1.463178e-04,14.8672
91,40.000,1.679376e-04,1.460525e-04,13.0317

# mean improvement per channel
channel,mean_improvement_pct,n_points
31,4.3432,15
34,9.5527,15
71,4.5191,15
83,6.1513,15
91,12.2337,15

# global mean improvement (all points),7.3600
