"# A = Wiener (scalar λ) (baseline),  B = Wiener on fitted template,  improvement_pct = 100*(BI_A - BI_B)/BI_A"
channel,vbias_V,BI_A,BI_B,improvement_pct
34,1.400,1.479245e-04,1.566713e-04,-5.9130
34,1.800,1.399864e-04,1.467551e-04,-4.8353
34,2.000,1.338667e-04,1.394167e-04,-4.1459
34,3.000,1.185725e-04,1.233529e-04,-4.0317
34,4.000,1.112431e-04,1.133575e-04,-1.9007
34,5.000,1.043872e-04,1.036176e-04,0.7373
34,6.000,9.940832e-05,9.841998e-05,0.9942
34,8.000,9.128045e-05,9.066040e-05,0.6793
34,10.000,8.626640e-05,8.660049e-05,-0.3873
34,20.000,7.421156e-05,7.573669e-05,-2.0551
34,26.000,7.145159e-05,7.287582e-05,-1.9933
34,30.000,7.043911e-05,7.016180e-05,0.3937
91,1.000,1.486221e-04,1.575852e-04,-6.0308
91,1.400,1.497177e-04,1.554454e-04,-3.8256
91,1.800,1.492456e-04,1.504442e-04,-0.8031
91,2.000,1.490589e-04,1.490658e-04,-0.0047
91,3.000,1.493799e-04,1.465400e-04,1.9011
91,4.000,1.489809e-04,1.481588e-04,0.5518
91,5.000,1.494985e-04,1.459017e-04,2.4059
91,6.000,1.474834e-04,1.445389e-04,1.9965
91,8.000,1.473698e-04,1.476700e-04,-0.2037
91,10.000,1.469619e-04,1.505101e-04,-2.4143
91,20.000,1.466314e-04,1.517178e-04,-3.4688
91,26.000,1.478622e-04,1.484469e-04,-0.3954
91,30.000,1.463178e-04,1.475191e-04,-0.8210
91,40.000,1.460525e-04,1.489879e-04,-2.0098

# mean improvement per channel
channel,mean_improvement_pct,n_points
34,-1.8715,12
91,-0.9373,14

# global mean improvement (all points),-1.3685
