"# A = Wiener lambda (baseline),  B = Wiener lambda(f),  improvement_pct = 100*(BI_A - BI_B)/BI_A"
channel,vbias_V,BI_A,BI_B,improvement_pct
31,0.600,1.304626e-04,1.299330e-04,0.4059
31,1.000,1.170797e-04,1.115490e-04,4.7239
31,1.400,1.070643e-04,1.043931e-04,2.4949
31,1.800,9.919398e-05,9.612696e-05,3.0919
31,2.000,9.679856e-05,9.370718e-05,3.1936
31,3.000,8.673959e-05,8.634143e-05,0.4590
31,4.000,8.000324e-05,7.953813e-05,0.5814
31,5.000,7.654512e-05,7.614709e-05,0.5200
31,6.000,7.428395e-05,7.390518e-05,0.5099
31,8.000,6.973084e-05,6.934820e-05,0.5487
31,10.000,6.694758e-05,6.660359e-05,0.5138
31,20.000,5.993834e-05,5.960594e-05,0.5546
31,26.000,5.842873e-05,5.817064e-05,0.4417
31,30.000,5.794491e-05,5.773745e-05,0.3580
31,40.000,5.666034e-05,5.645937e-05,0.3547
34,0.600,1.506314e-04,1.440232e-04,4.3870
34,1.000,1.491611e-04,1.453815e-04,2.5339
34,1.400,1.479245e-04,1.453827e-04,1.7183
34,1.800,1.399864e-04,1.361782e-04,2.7204
34,2.000,1.338667e-04,1.299551e-04,2.9220
34,3.000,1.185725e-04,1.103433e-04,6.9402
34,4.000,1.112431e-04,9.916857e-05,10.8542
34,5.000,1.043872e-04,9.088289e-05,12.9368
34,6.000,9.940832e-05,8.617678e-05,13.3103
34,8.000,9.128045e-05,7.904013e-05,13.4096
34,10.000,8.626640e-05,7.447024e-05,13.6741
34,20.000,7.421156e-05,7.401663e-05,0.2627
34,26.000,7.145159e-05,6.375961e-05,10.7653
34,30.000,7.043911e-05,7.031004e-05,0.1832
34,40.000,6.915070e-05,6.910117e-05,0.0716
71,0.600,1.510160e-04,1.438073e-04,4.7735
71,1.000,1.169353e-04,1.157625e-04,1.0029
71,1.400,1.105206e-04,9.937301e-05,10.0864
71,1.800,9.944842e-05,9.915636e-05,0.2937
71,2.000,9.612721e-05,9.583153e-05,0.3076
71,3.000,8.333426e-05,8.312645e-05,0.2494
71,4.000,7.540307e-05,7.545715e-05,-0.0717
71,5.000,7.322713e-05,7.314046e-05,0.1184
71,6.000,6.903549e-05,6.887633e-05,0.2305
71,8.000,6.431334e-05,6.429800e-05,0.0239
71,10.000,6.145051e-05,6.134327e-05,0.1745
71,20.000,5.250237e-05,5.262231e-05,-0.2285
71,26.000,4.998185e-05,5.002777e-05,-0.0919
71,30.000,4.847142e-05,4.853894e-05,-0.1393
71,40.000,4.651242e-05,4.660919e-05,-0.2081
83,0.600,1.476420e-04,1.453076e-04,1.5811
83,1.000,1.302786e-04,1.298573e-04,0.3234
83,1.400,1.163712e-04,1.158276e-04,0.4671
83,1.800,1.162724e-04,1.162492e-04,0.0199
83,2.000,1.118445e-04,1.117924e-04,0.0465
83,3.000,9.888886e-05,9.878608e-05,0.1039
83,4.000,8.984187e-05,8.968826e-05,0.1710
83,5.000,8.472499e-05,8.452504e-05,0.2360
83,6.000,8.121661e-05,8.106353e-05,0.1885
83,8.000,7.517103e-05,7.499567e-05,0.2333
83,10.000,7.170302e-05,7.153871e-05,0.2292
83,20.000,6.279624e-05,6.267752e-05,0.1891
83,26.000,6.117776e-05,6.102650e-05,0.2472
83,30.000,6.140502e-05,6.129173e-05,0.1845
83,40.000,5.958903e-05,5.945701e-05,0.2216
91,0.600,1.547445e-04,1.449545e-04,6.3266
91,1.000,1.486221e-04,1.448497e-04,2.5382
91,1.400,1.497177e-04,1.443453e-04,3.5884
91,1.800,1.492456e-04,1.447592e-04,3.0060
91,2.000,1.490589e-04,1.446043e-04,2.9885
91,3.000,1.493799e-04,1.440029e-04,3.5996
91,4.000,1.489809e-04,1.436090e-04,3.6058
91,5.000,1.494985e-04,1.435625e-04,3.9706
91,6.000,1.474834e-04,1.440069e-04,2.3572
91,8.000,1.473698e-04,1.433393e-04,2.7350
91,10.000,1.469619e-04,1.432992e-04,2.4923
91,20.000,1.466314e-04,1.432918e-04,2.2775
91,26.000,1.478622e-04,1.436449e-04,2.8522
91,30.000,1.463178e-04,1.431720e-04,2.1500
91,40.000,1.460525e-04,1.430265e-04,2.0718

# mean improvement per channel
channel,mean_improvement_pct,n_points
31,1.2501,15
34,6.4460,15
71,1.1014,15
83,0.2962,15
91,3.1040,15

# global mean improvement (all points),2.4395
