"# A = Wiener + R(f), β=2 (baseline),  B = Wiener on fitted template,  improvement_pct = 100*(BI_A - BI_B)/BI_A"
channel,vbias_V,BI_A,BI_B,improvement_pct
34,1.400,1.715194e-04,1.566713e-04,8.6568
34,1.800,1.605049e-04,1.467551e-04,8.5666
34,2.000,1.556926e-04,1.394167e-04,10.4539
34,3.000,1.378416e-04,1.233529e-04,10.5111
34,4.000,1.248125e-04,1.133575e-04,9.1778
34,5.000,1.151947e-04,1.036176e-04,10.0500
34,6.000,1.091831e-04,9.841998e-05,9.8579
34,8.000,9.779048e-05,9.066040e-05,7.2912
34,10.000,9.212997e-05,8.660049e-05,6.0018
34,20.000,7.820502e-05,7.573669e-05,3.1562
34,26.000,7.520118e-05,7.287582e-05,3.0922
34,30.000,7.378238e-05,7.016180e-05,4.9071
91,1.000,1.632897e-04,1.575852e-04,3.4935
91,1.400,1.601715e-04,1.554454e-04,2.9507
91,1.800,1.584307e-04,1.504442e-04,5.0410
91,2.000,1.574207e-04,1.490658e-04,5.3074
91,3.000,1.558854e-04,1.465400e-04,5.9950
91,4.000,1.562859e-04,1.481588e-04,5.2002
91,5.000,1.560028e-04,1.459017e-04,6.4750
91,6.000,1.565026e-04,1.445389e-04,7.6444
91,8.000,1.560301e-04,1.476700e-04,5.3580
91,10.000,1.558163e-04,1.505101e-04,3.4054
91,20.000,1.536992e-04,1.517178e-04,1.2891
91,26.000,1.548287e-04,1.484469e-04,4.1219
91,30.000,1.547152e-04,1.475191e-04,4.6512
91,40.000,1.529000e-04,1.489879e-04,2.5586

# mean improvement per channel
channel,mean_improvement_pct,n_points
34,7.6436,12
91,4.5351,14

# global mean improvement (all points),5.9698
