"# A = fit (baseline),  B = Wiener on fitted template,  improvement_pct = 100*(BI_A - BI_B)/BI_A"
channel,vbias_V,BI_A,BI_B,improvement_pct
34,1.400,1.717788e-04,1.566713e-04,8.7948
34,1.800,1.578236e-04,1.467551e-04,7.0132
34,2.000,1.476876e-04,1.394167e-04,5.6003
34,3.000,1.288384e-04,1.233529e-04,4.2577
34,4.000,1.175296e-04,1.133575e-04,3.5499
34,5.000,1.069330e-04,1.036176e-04,3.1004
34,6.000,1.017944e-04,9.841998e-05,3.3149
34,8.000,9.462745e-05,9.066040e-05,4.1923
34,10.000,9.069603e-05,8.660049e-05,4.5157
34,20.000,7.965261e-05,7.573669e-05,4.9163
34,26.000,7.685733e-05,7.287582e-05,5.1804
34,30.000,7.383855e-05,7.016180e-05,4.9795
91,1.000,1.737539e-04,1.575852e-04,9.3056
91,1.400,1.720370e-04,1.554454e-04,9.6442
91,1.800,1.620720e-04,1.504442e-04,7.1745
91,2.000,1.605410e-04,1.490658e-04,7.1478
91,3.000,1.571620e-04,1.465400e-04,6.7586
91,4.000,1.594717e-04,1.481588e-04,7.0940
91,5.000,1.506153e-04,1.459017e-04,3.1296
91,6.000,1.535089e-04,1.445389e-04,5.8433
91,8.000,1.600350e-04,1.476700e-04,7.7264
91,10.000,1.666124e-04,1.505101e-04,9.6645
91,20.000,1.703700e-04,1.517178e-04,10.9481
91,26.000,1.749289e-04,1.484469e-04,15.1388
91,30.000,1.769067e-04,1.475191e-04,16.6119
91,40.000,1.744738e-04,1.489879e-04,14.6073

# mean improvement per channel
channel,mean_improvement_pct,n_points
34,4.9513,12
91,9.3425,14

# global mean improvement (all points),7.3158
