# Load-curve quantities extracted from the Excel (run 205, 25 mK), one row per (channel, bias). Units: V in V, I in A, R in Ohm.
channel,bias_V,V_bol_V,I_bol_A,R_bol_Ohm,R_load_Ohm
13,0.600,0.00192316,2.89385e-10,6.64569e+06,2.069e+09
13,1.000,0.00296929,4.80029e-10,6.18563e+06,2.069e+09
13,1.400,0.00379275,6.66311e-10,5.69216e+06,2.069e+09
13,1.800,0.00451272,8.76741e-10,5.14715e+06,2.069e+09
13,2.000,0.00479324,9.73396e-10,4.92425e+06,2.069e+09
13,3.000,0.00577629,1.4619e-09,3.95122e+06,2.069e+09
13,4.000,0.00634632,1.92401e-09,3.29849e+06,2.069e+09
13,5.000,0.00672148,2.40486e-09,2.79496e+06,2.069e+09
13,6.000,0.0069825,2.90189e-09,2.40619e+06,2.069e+09
13,8.000,0.00728071,3.86849e-09,1.88206e+06,2.069e+09
13,10.000,0.0074431,4.83566e-09,1.53921e+06,2.069e+09
13,20.000,0.00760989,9.66624e-09,787265,2.069e+09
13,26.000,0.00757632,1.25653e-08,602958,2.069e+09
13,30.000,0.00754654,1.44999e-08,520456,2.069e+09
13,40.000,0.00745734,1.92506e-08,387383,2.069e+09
13,50.000,0.00737036,2.40388e-08,306603,2.069e+09
14,0.600,0.00373805,2.87961e-10,1.29811e+07,2.069e+09
14,1.000,0.00529907,4.85839e-10,1.0907e+07,2.069e+09
14,1.400,0.00626349,6.78287e-10,9.23427e+06,2.069e+09
14,1.800,0.00690379,8.71264e-10,7.92388e+06,2.069e+09
14,2.000,0.00714346,9.64682e-10,7.40499e+06,2.069e+09
14,3.000,0.00788527,1.43738e-09,5.48586e+06,2.069e+09
14,4.000,0.00826846,1.93705e-09,4.26858e+06,2.069e+09
14,5.000,0.00845225,2.41771e-09,3.49598e+06,2.069e+09
14,6.000,0.00856,2.90164e-09,2.95006e+06,2.069e+09
14,8.000,0.00865574,3.8664e-09,2.23871e+06,2.069e+09
14,10.000,0.00868261,4.83555e-09,1.79558e+06,2.069e+09
14,20.000,0.00858448,9.54304e-09,899554,2.069e+09
14,26.000,0.00849989,1.24385e-08,683353,2.069e+09
14,30.000,0.00844791,1.43705e-08,587864,2.069e+09
14,40.000,0.00833113,1.92014e-08,433880,2.069e+09
14,50.000,0.00823558,2.40372e-08,342617,2.069e+09
15,0.600,0.0489304,2.67917e-10,1.82633e+08,2.069e+09
15,1.000,0.0489423,4.62952e-10,1.05718e+08,2.069e+09
15,1.400,0.0489639,6.52869e-10,7.49981e+07,2.069e+09
15,1.800,0.0489814,8.48337e-10,5.77382e+07,2.069e+09
15,2.000,0.0489877,9.44443e-10,5.18694e+07,2.069e+09
15,3.000,0.0490014,1.43145e-09,3.4232e+07,2.069e+09
15,4.000,0.0490022,1.91195e-09,2.56294e+07,2.069e+09
15,5.000,0.0490034,2.39662e-09,2.04469e+07,2.069e+09
15,6.000,0.0490038,2.87936e-09,1.7019e+07,2.069e+09
15,8.000,0.0490039,3.8425e-09,1.27531e+07,2.069e+09
15,10.000,0.0490038,4.81022e-09,1.01874e+07,2.069e+09
15,20.000,0.0490019,9.64612e-09,5.07996e+06,2.069e+09
15,26.000,0.049002,1.25442e-08,3.90634e+06,2.069e+09
15,30.000,0.0490022,1.44839e-08,3.38322e+06,2.069e+09
15,40.000,0.0490014,1.93106e-08,2.53754e+06,2.069e+09
15,50.000,0.0490013,2.41509e-08,2.02897e+06,2.069e+09
16,0.600,0.0117723,2.82237e-10,4.17109e+07,2.069e+09
16,1.000,0.013851,4.70952e-10,2.94107e+07,2.069e+09
16,1.400,0.0147787,6.77888e-10,2.18011e+07,2.069e+09
16,1.800,0.0150041,8.67403e-10,1.72978e+07,2.069e+09
16,2.000,0.0149031,9.63773e-10,1.54633e+07,2.069e+09
16,3.000,0.0141721,1.44976e-09,9.77547e+06,2.069e+09
16,4.000,0.0138649,1.93092e-09,7.1805e+06,2.069e+09
