channel,wp,vbias,signal_amp,sigma_analytic,SNR,beta_Hz,rho_t,template,BI,J_final
34,1,0.6,0.001562028,4.789854574482888e-05,32.61117935180664,300.00901764364926,9783.647881536368,fit,0.00021081926945997826,0.7938212156295776
34,3,1.0,0.002058465,4.041717329528183e-05,50.93045425415039,297.31785442336906,15142.533383651544,fit,0.0001908643567470617,0.7186827659606934
34,29,40.0,0.000737938,9.838443475018721e-06,75.00556182861328,921.5582561354147,69121.99475923389,fit,7.375634372059345e-05,0.27772295475006104
91,1,0.6,0.002080556,8.864515257300809e-05,23.470611572265625,483.6026611973838,11350.450216277768,fit,0.00019134443438601964,0.7204904556274414
34,25,26.0,0.000980923,1.0262943760608323e-05,95.5791015625,777.5060858862466,74313.33314838342,fit,7.685733057743278e-05,0.2893994450569153
34,27,30.0,0.0008928300000000001,1.0508338164072484e-05,84.96395874023438,865.6582821441755,73549.7545672399,fit,7.383855432524684e-05,0.278032511472702
91,5,1.4,0.001870085,6.821961869718507e-05,27.412715911865234,542.5574011651266,14872.971904019516,fit,0.00017203699647085755,0.6477900147438049
91,3,1.0,0.001998614,7.775626727379858e-05,25.703575134277344,548.1554419717368,14089.55458798354,fit,0.00017375394520171924,0.6542550325393677
34,5,1.4,0.0023085469999999998,3.4989254345418885e-05,65.97874450683594,306.89707159240965,20248.683476491733,fit,0.00017177880119358758,0.6468178033828735
34,11,3.0,0.0024210790000000005,2.3828881239751354e-05,101.60271453857422,347.1250637607234,35268.84876246515,fit,0.00012883843818327676,0.4851296842098236
34,7,1.8,0.0024120219999999998,3.461371306912042e-05,69.68399810791016,346.2264277935389,24126.441739273458,fit,0.00015782357677664182,0.594270646572113
34,9,2.0,0.002440126,2.962406142614782e-05,82.3697280883789,324.33700673223086,26715.551053532574,fit,0.00014768763528033764,0.5561046600341797
91,11,3.0,0.0014831010000000001,6.235761247808114e-05,23.78380012512207,722.1137132882179,17174.60822445668,fit,0.0001571620295368855,0.5917796492576599
91,13,4.0,0.001322959,6.0547146858880296e-05,21.85006332397461,774.2799302632683,16918.065506735056,fit,0.00015947171459031314,0.6004765629768372
34,13,4.0,0.002317061,2.2683529095957056e-05,102.14728546142578,410.76172979833393,41958.19567033946,fit,0.00011752964808289412,0.44254744052886963
34,17,6.0,0.002072425,1.7028942238539457e-05,121.70016479492188,440.18233158590937,53570.262293818116,fit,0.0001017943626445787,0.3832976222038269
34,15,5.0,0.002204652,1.9717590475920588e-05,111.81143188476562,431.5177880695696,48248.62176780541,fit,0.00010693296470455585,0.40264657139778137
34,19,8.0,0.0018584769999999999,1.468706705054501e-05,126.53834533691406,483.2550835079475,61150.298642747905,fit,9.462744522361907e-05,0.35631123185157776
34,23,20.0,0.0011531739999999999,1.0741080586740281e-05,107.36107635498047,698.244048253475,74964.232578952,fit,7.965260985703735e-05,0.2999248206615448
34,21,10.0,0.001688306,1.3508464689948596e-05,124.98133850097656,528.8456222919104,66095.83373442486,fit,9.069603390824133e-05,0.34150785207748413
91,7,1.8,0.001754325,6.139741890365258e-05,28.573270797729492,568.6380820402251,16247.84990403687,fit,0.00016207195045695212,0.6102675199508667
91,9,2.0,0.00169956,6.216741167008877e-05,27.338438034057617,601.8571993331566,16453.835749320966,fit,0.00016054103022823478,0.6045029759407043
91,25,26.0,0.00040550199999999997,3.8483896787511185e-05,10.536927223205566,1198.7541252686399,12631.184976473107,fit,0.00017492892287604433,0.6586793065071106
91,23,20.0,0.0005004920000000001,3.949386518797837e-05,12.672652244567871,1087.9374217495397,13787.052609683687,fit,0.00017037002153009708,0.6415131688117981
91,19,8.0,0.000927844,5.6978642533067614e-05,16.284067153930664,969.4601926545329,15786.754880248973,fit,0.00016003502383787175,0.6025976538658142
91,15,5.0,0.001194072,5.7528450270183384e-05,20.75619888305664,848.3970079171681,17609.49702811892,fit,0.00015061527307940102,0.5671284198760986
91,17,6.0,0.001091107,5.536521348403767e-05,19.707447052001953,874.7946280246215,17239.968813170974,fit,0.00015350887741355542,0.5780240297317505
91,21,10.0,0.000809598,5.469525058288127e-05,14.801980018615723,1002.3126167534613,14836.211325591172,fit,0.00016661244207281142,0.6273643374443054
91,27,30.0,0.00035906,3.6285615351516753e-05,9.895381927490234,1212.4171183186284,11997.330441189944,fit,0.00017690669458425733,0.6661264300346375
91,29,40.0,0.000280232,3.139750333502889e-05,8.92529582977295,1372.629761577025,12251.126686825659,fit,0.00017447377672882204,0.6569654941558838
