channel,wp,vbias,gen,seed,train,nps,filter,BI_analytic,BI_mc,sigma_BI,rp,sigma_rp,nsim,ratio
31,21,10.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,6.369556846270465e-05,5.404715409076632e-07,0.76016,0.002035097535037993,50000,
31,17,6.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,6.942137089789439e-05,5.685617315319085e-07,0.7386,0.002140868650390606,50000,
31,19,8.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,6.369025695766273e-05,5.395066603333391e-07,0.76018,0.002031464363020989,50000,
31,23,20.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,5.4421680659512314e-05,5.004054731152545e-07,0.79508,0.0018842323189600819,50000,
31,13,4.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,7.790915595488254e-05,6.082442064563474e-07,0.70664,0.002290289481628656,50000,
31,15,5.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,7.381929707260415e-05,5.874281692526118e-07,0.72204,0.0022119085442504583,50000,
31,9,2.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,6.704181663911424e-05,5.744774864977065e-07,0.74756,0.00216314389975631,50000,
31,11,3.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,6.868838320210944e-05,5.7467814198029e-07,0.74136,0.002163899450136098,50000,
31,1,0.6,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,9.231926913361152e-05,6.792493756419544e-07,0.65238,0.0025576531332686817,50000,
31,3,1.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,5.0857660776384e-05,4.82711701620748e-07,0.8085,0.0018176079955155523,50000,
31,7,1.8,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,6.627695991307776e-05,5.693117350277476e-07,0.75044,0.002143692721872869,50000,
31,5,1.4,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,4.852591006298112e-05,4.727136363197234e-07,0.81728,0.0017799611695326458,50000,
31,25,26.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,5.600982066704639e-05,5.07436150201703e-07,0.7891,0.0019107057084455869,50000,
31,29,40.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,5.400207176120063e-05,5.005344503524744e-07,0.79666,0.001884717971279724,50000,
31,27,30.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,5.704025264517887e-05,5.120545301188056e-07,0.78522,0.0019280958074124636,50000,
34,1,0.6,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,0.00020092892423079168,7.564529837373178e-07,0.24342,0.0028483564555325195,50000,
34,3,1.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,0.0001756833407665459,8.223577952459002e-07,0.33848,0.0030965151638023664,50000,
34,5,1.4,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,0.00015403364621568001,8.136856209446794e-07,0.42,0.0030638608624968897,50000,
34,11,3.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,0.0001150737567331968,7.445663261169338e-07,0.5667,0.002803598303082052,50000,
34,7,1.8,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,0.0001397669436730829,7.857971164319373e-07,0.47372,0.002958849178265631,50000,
34,9,2.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,0.00013122073206063358,7.744934341814202e-07,0.5059,0.0029162861677392168,50000,
34,13,4.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,0.00010297414824770303,7.051503711174404e-07,0.61226,0.0026551810289256283,50000,
34,15,5.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,9.443324814029567e-05,6.666624117246073e-07,0.64442,0.00251025803971984,50000,
34,17,6.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,9.012030604625663e-05,6.460099752066695e-07,0.66066,0.0024324931261786027,50000,
34,21,10.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,7.882804632713471e-05,5.856170302135559e-07,0.70318,0.002205088861223663,50000,
34,19,8.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,8.288603617916161e-05,6.084151333209553e-07,0.6879,0.002290933091540569,50000,
34,25,26.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,6.685060245760514e-05,5.313342477483331e-07,0.74828,0.002000691870025098,50000,
34,23,20.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,6.88636628684928e-05,5.391889332474769e-07,0.7407,0.0020302679899276577,50000,
34,27,30.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,6.444449067361535e-05,5.23309579621541e-07,0.75734,0.0019704756956509463,50000,
34,29,40.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,6.441262164336383e-05,5.235350641616277e-07,0.75746,0.001971324737639261,50000,
71,3,1.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,6.913454962563071e-05,5.671085747900921e-07,0.73968,0.0021353969178765724,50000,
71,1,0.6,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,0.0001412647880949043,8.075675606824546e-07,0.46808,0.0030408238505240525,50000,
71,5,1.4,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,0.00010002626294943743,6.999776537321588e-07,0.62336,0.0026357036215073656,50000,
71,7,1.8,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,9.692434400495615e-05,6.831204088034086e-07,0.63504,0.002572229164472278,50000,
71,9,2.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,9.806100608392704e-05,6.925042187193838e-07,0.63076,0.0026075630664150052,50000,
71,11,3.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,8.632257994128383e-05,6.41095513164147e-07,0.67496,0.0024139881562925303,50000,
71,13,4.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,7.42495289809997e-05,5.735688041702749e-07,0.72042,0.002159722337241505,50000,
71,17,6.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,7.153003839953664e-05,5.540592611885339e-07,0.73066,0.0020862608876984247,50000,
71,19,8.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,6.739768747692287e-05,5.372648283124127e-07,0.74622,0.0020230229438630166,50000,
71,15,5.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,8.069769610189056e-05,5.965294945124729e-07,0.69614,0.002246178775335737,50000,
71,21,10.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,6.134257172913407e-05,5.135399647263644e-07,0.76902,0.0019336890793601891,50000,
71,23,20.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,4.79097754781184e-05,4.6076008654364046e-07,0.8196,0.001734951140617143,50000,
71,27,30.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,4.6422554066380785e-05,4.542693236156508e-07,0.8252,0.001710510749892621,50000,
71,25,26.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,4.661376824788992e-05,4.552666812495077e-07,0.82448,0.0017142662113898254,50000,
71,29,40.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,4.5859534531937263e-05,4.520142914832416e-07,0.82732,0.0017020196268884562,50000,
83,1,0.6,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,0.0001592920362071808,8.2245051954474e-07,0.4002,0.0030968643089057148,50000,
83,3,1.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,0.00013729709382859006,7.854986519796781e-07,0.48302,0.0029577253369065296,50000,
83,5,1.4,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,0.00011982224224067329,7.511516115762403e-07,0.54882,0.0028283946099944375,50000,
83,7,1.8,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,0.00010716492572577791,7.149598647170724e-07,0.59648,0.0026921178049324757,50000,
83,9,2.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,0.00010074862763513857,7.021290550937087e-07,0.62064,0.0026438045320574654,50000,
83,13,4.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,8.254078835143679e-05,6.102136329735625e-07,0.6892,0.0022977051820814343,50000,
83,11,3.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,9.014686357146622e-05,6.505982563138278e-07,0.66056,0.002449769890752659,50000,
83,15,5.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,7.692121601708544e-05,5.864797519872778e-07,0.71036,0.002208337363359736,50000,
83,17,6.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,7.394677319361024e-05,5.707592807007424e-07,0.72156,0.002149143326406124,50000,
83,21,10.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,6.448698271395072e-05,5.293692384856131e-07,0.75718,0.0019932928023513913,50000,
83,19,8.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,6.572456338871809e-05,5.354527938911642e-07,0.75252,0.002016199889354182,50000,
83,23,20.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,6.252703735348224e-05,5.173832053124474e-07,0.76456,0.0019481604600922078,50000,
83,25,26.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,6.221897006105089e-05,5.170996272992299e-07,0.76572,0.0019470926722957944,50000,
83,27,30.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,6.134788323417599e-05,5.129673732283905e-07,0.769,0.00193153303698254,50000,
83,29,40.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,5.782635539138305e-05,5.014753774449302e-07,0.78226,0.00188826094859041,50000,
91,1,0.6,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,0.00011893522089867264,7.735858807319073e-07,0.55216,0.0029128688559138484,50000,
91,5,1.4,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,0.00014711806665110015,8.111831464021075e-07,0.44604,0.00305443801709687,50000,
91,3,1.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,0.0001441542468377088,8.038675654044458e-07,0.4572,0.0030268918472639316,50000,
91,7,1.8,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,0.0001445260521906432,8.059559225155766e-07,0.4558,0.0030347553702942177,50000,
91,9,2.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,0.00014256610683017473,8.074568454322539e-07,0.46318,0.0030404069620928943,50000,
91,13,4.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,0.0001365853521529728,8.00119846164361e-07,0.4857,0.003012780143667657,50000,
91,11,3.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,0.00013620292378995456,7.956496002734124e-07,0.48714,0.0029959478302059614,50000,
91,15,5.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,0.00013785480185799168,8.006160849667457e-07,0.48092,0.0030146486867584314,50000,
91,19,8.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,0.00014424454242342142,8.131644184837957e-07,0.45686,0.003061898320969506,50000,
91,17,6.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,0.00014060084996466433,8.024702726689642e-07,0.47058,0.003021630465698994,50000,
91,25,26.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,0.00015991879380212735,8.387225976379941e-07,0.39784,0.003158135372247762,50000,
91,21,10.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,0.00014850968097208318,8.230359634622718e-07,0.4408,0.0030990687459265267,50000,
91,29,40.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,0.00015994003982229503,8.651143242423209e-07,0.39776,0.00325751107234043,50000,
91,27,30.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,0.0001621868064550272,8.617885947639513e-07,0.3893,0.0032449883336736225,50000,
91,23,20.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,0.00015361934882241024,8.394868908219997e-07,0.42156,0.003161013250280348,50000,
