channel,wp,vbias,gen,seed,train,nps,filter,BI_analytic,BI_mc,sigma_BI,rp,sigma_rp,nsim,ratio
31,15,5.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,7.381929707260415e-05,5.874281692526118e-07,0.72204,0.0022119085442504583,50000,
31,13,4.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,7.790915595488254e-05,6.082442064563474e-07,0.70664,0.002290289481628656,50000,
31,9,2.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,6.704181663911424e-05,5.744774864977065e-07,0.74756,0.00216314389975631,50000,
31,11,3.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,6.868838320210944e-05,5.7467814198029e-07,0.74136,0.002163899450136098,50000,
31,21,10.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,6.369556846270465e-05,5.404715409076632e-07,0.76016,0.002035097535037993,50000,
31,17,6.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,6.942137089789439e-05,5.685617315319085e-07,0.7386,0.002140868650390606,50000,
31,1,0.6,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,9.231926913361152e-05,6.792493756419544e-07,0.65238,0.0025576531332686817,50000,
31,19,8.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,6.369025695766273e-05,5.395066603333391e-07,0.76018,0.002031464363020989,50000,
31,23,20.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,5.4421680659512314e-05,5.004054731152545e-07,0.79508,0.0018842323189600819,50000,
31,7,1.8,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,6.627695991307776e-05,5.693117350277476e-07,0.75044,0.002143692721872869,50000,
31,3,1.0,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,5.0857660776384e-05,4.82711701620748e-07,0.8085,0.0018176079955155523,50000,
31,5,1.4,fit,1234,APsimfit10000led_npsclean,clean,likelihood,,4.852591006298112e-05,4.727136363197234e-07,0.81728,0.0017799611695326458,50000,
31,15,5.0,fit,1235,APsimfit10000led_npsclean,clean,likelihood,,7.169469505583615e-05,5.862438013580688e-07,0.73004,0.0022074489122433506,50000,
31,13,4.0,fit,1235,APsimfit10000led_npsclean,clean,likelihood,,7.583766898853377e-05,6.006806555788887e-07,0.71444,0.0022618096032598514,50000,
31,21,10.0,fit,1235,APsimfit10000led_npsclean,clean,likelihood,,6.244205327281152e-05,5.36516072487676e-07,0.76488,0.002020203570375362,50000,
31,17,6.0,fit,1235,APsimfit10000led_npsclean,clean,likelihood,,6.744549102230015e-05,5.606083441246541e-07,0.74604,0.002110920877228446,50000,
31,9,2.0,fit,1235,APsimfit10000led_npsclean,clean,likelihood,,6.56767598433408e-05,5.642623013059282e-07,0.7527,0.002124679528128468,50000,
31,19,8.0,fit,1235,APsimfit10000led_npsclean,clean,likelihood,,6.224021608121857e-05,5.386638339511169e-07,0.76564,0.0020282907752127485,50000,
31,11,3.0,fit,1235,APsimfit10000led_npsclean,clean,likelihood,,6.735519543658751e-05,5.669942806957739e-07,0.74638,0.0021349665536260776,50000,
31,23,20.0,fit,1235,APsimfit10000led_npsclean,clean,likelihood,,5.291852473264896e-05,4.954672073933726e-07,0.80074,0.0018656377184357198,50000,
31,1,0.6,fit,1235,APsimfit10000led_npsclean,clean,likelihood,,9.115604952943103e-05,6.731963077177503e-07,0.65676,0.0025348608441663222,50000,
31,7,1.8,fit,1235,APsimfit10000led_npsclean,clean,likelihood,,6.500219870301696e-05,5.582906639385816e-07,0.75524,0.0021021938585481263,50000,
31,3,1.0,fit,1235,APsimfit10000led_npsclean,clean,likelihood,,5.037431381756927e-05,4.806096353153526e-07,0.81032,0.0018096928517331203,50000,
31,5,1.4,fit,1235,APsimfit10000led_npsclean,clean,likelihood,,4.785134892265728e-05,4.6956822589804514e-07,0.81982,0.0017681174062420014,50000,
31,21,10.0,fit,1236,APsimfit10000led_npsclean,clean,likelihood,,6.251641434339841e-05,5.373851194154033e-07,0.7646,0.0020234758893164853,50000,
