channel,wp,vbias,signal_amp,sigma_analytic,SNR,BI,template
31,21,10.0,0.001585504,7.007622480159625e-05,22.62541961669922,nan,APsimfit10000led_npsclean
31,17,6.0,0.002113314,0.00010046664101537317,21.034982681274414,nan,APsimfit10000led_npsclean
31,19,8.0,0.001809979,8.112609793897718e-05,22.310686111450195,nan,APsimfit10000led_npsclean
31,23,20.0,0.00101821,4.2752431909320876e-05,23.816421508789062,nan,APsimfit10000led_npsclean
31,13,4.0,0.002568738,0.0001196714147226885,21.464927673339844,nan,APsimfit10000led_npsclean
31,15,5.0,0.002313303,0.00010827172081917524,21.365718841552734,nan,APsimfit10000led_npsclean
31,9,2.0,0.0034196770000000003,0.00017327901150565594,19.735092163085938,nan,APsimfit10000led_npsclean
31,11,3.0,0.002915397,0.0001416070736013353,20.587932586669922,nan,APsimfit10000led_npsclean
31,1,0.6,0.004763267,0.00020628143101930618,23.091108322143555,nan,APsimfit10000led_npsclean
31,3,1.0,0.004304359,0.00017095710791181773,25.178007125854492,nan,APsimfit10000led_npsclean
31,7,1.8,0.003555786,0.00017813527665566653,19.961156845092773,nan,APsimfit10000led_npsclean
31,5,1.4,0.003880032,0.00016479201440233737,23.545024871826172,nan,APsimfit10000led_npsclean
31,25,26.0,0.0008496350000000001,3.714914055308327e-05,22.870920181274414,nan,APsimfit10000led_npsclean
31,29,40.0,0.000618823,2.774705717456527e-05,22.30229377746582,nan,APsimfit10000led_npsclean
31,27,30.0,0.0007646230000000001,3.412245132494718e-05,22.4082088470459,nan,APsimfit10000led_npsclean
34,1,0.6,0.001562028,3.867391205858439e-05,40.38970947265625,nan,APsimfit10000led_npsclean
34,3,1.0,0.002058465,3.365476004546508e-05,61.16415786743164,nan,APsimfit10000led_npsclean
34,5,1.4,0.0023085469999999998,2.854041667887941e-05,80.8869400024414,nan,APsimfit10000led_npsclean
34,11,3.0,0.0024210790000000005,2.6656431145966053e-05,90.8253173828125,nan,APsimfit10000led_npsclean
34,7,1.8,0.0024120219999999998,2.6728010197984986e-05,90.24323272705078,nan,APsimfit10000led_npsclean
34,9,2.0,0.002440126,2.5073728465940803e-05,97.31803894042969,nan,APsimfit10000led_npsclean
34,13,4.0,0.002317061,1.9397766664042138e-05,119.44989013671875,nan,APsimfit10000led_npsclean
34,15,5.0,0.002204652,1.7790449419408105e-05,123.92333984375,nan,APsimfit10000led_npsclean
34,17,6.0,0.002072425,1.4690699572383892e-05,141.070556640625,nan,APsimfit10000led_npsclean
34,21,10.0,0.001688306,1.2547421647468582e-05,134.55401611328125,nan,APsimfit10000led_npsclean
34,19,8.0,0.0018584769999999999,1.242934558831621e-05,149.5233154296875,nan,APsimfit10000led_npsclean
34,25,26.0,0.000980923,8.47708997753216e-06,115.71458435058594,nan,APsimfit10000led_npsclean
34,23,20.0,0.0011531739999999999,9.117338777286932e-06,126.4814224243164,nan,APsimfit10000led_npsclean
34,27,30.0,0.0008928300000000001,8.886190698831342e-06,100.473876953125,nan,APsimfit10000led_npsclean
34,29,40.0,0.000737938,8.190912922145799e-06,90.09227752685547,nan,APsimfit10000led_npsclean
71,3,1.0,0.004887824000000001,0.00013874554133508354,35.22869110107422,nan,APsimfit10000led_npsclean
71,1,0.6,0.004321273,0.00015242415247485042,28.350317001342773,nan,APsimfit10000led_npsclean
71,5,1.4,0.005011591,0.0001433993165846914,34.9484977722168,nan,APsimfit10000led_npsclean
71,7,1.8,0.004993932,0.00015364713908638805,32.502601623535156,nan,APsimfit10000led_npsclean
71,9,2.0,0.00494817,0.00015350976900663227,32.23358154296875,nan,APsimfit10000led_npsclean
71,11,3.0,0.004643936,0.0001296185073442757,35.82772445678711,nan,APsimfit10000led_npsclean
71,13,4.0,0.004298046000000001,0.00010439966717967764,41.16915512084961,nan,APsimfit10000led_npsclean
71,17,6.0,0.003818313,9.955225687008351e-05,38.3548583984375,nan,APsimfit10000led_npsclean
71,19,8.0,0.0033632650000000003,8.564603194827214e-05,39.26935958862305,nan,APsimfit10000led_npsclean
