channel,wp,vbias,t0,amp,baseline,tilt,pole0,pole1,pole2,zero0,sigma_baseline,rms
31,1,0.6,0.499089,109.008,0.00500103,0.00842779,-1405.42,-1404.83,-81.2744,-22458.7,0.00019157,0.0114492
31,3,1,0.499287,159.197,0.00435862,0.00626113,-1756.88,-1756.88,-124.478,-24738.3,0.00025045,0.0110248
31,5,1.4,0.49952,1314.17,0.00113373,0.00322014,-319.686,-714.661,-27.8718,-53.9144,0.000101077,0.00207332
31,7,1.8,0.499602,1569.86,0.00118613,0.00316571,-382.92,-862.108,-32.5484,-66.846,0.000116891,0.00248782
31,9,2,0.499626,1667.84,0.00123776,0.00323163,-924.81,-407,-34.6131,-72.4643,9.21335e-05,0.00272187
31,11,3,0.499723,2226.33,0.0010824,0.00268742,-412.565,-1437.32,-38.1334,-79.4591,0.000105682,0.00299349
31,13,4,0.499743,2530.21,0.00096312,0.00229057,-1706.23,-431.354,-39.4269,-81.1497,0.000109873,0.00293649
31,15,5,0.499817,2968.53,0.000949936,0.00239667,-437.572,-2099.59,-39.6726,-80.9952,9.06346e-05,0.00265687
31,17,6,0.499822,3214.75,0.000845892,0.00206463,-2313.75,-453.888,-40.7441,-83.1992,8.64553e-05,0.00258104
31,19,8,0.499828,3632.53,0.000835971,0.00204228,-2684.68,-475.66,-41.6071,-85.0923,0.000102712,0.00240817
31,21,10,0.499845,3812.98,0.00078521,0.00192203,-2826.18,-500.546,-42.9183,-88.2967,9.22231e-05,0.00242218
31,23,20,0.499912,5529.05,0.000676808,0.00166101,-543.2,-4294.89,-45.0775,-94.7633,0.000126599,0.00157765
31,25,26,0.499918,5854.37,0.000641731,0.00154368,-4529.83,-572.774,-47.2651,-101.43,0.000137643,0.00146898
31,27,30,0.499901,1442.76,0.00229445,0.00211572,-11063.7,-11063.5,-343.056,-90643.4,0.000126296,0.00847615
31,29,40,0.499898,1716.97,0.00225557,0.00203999,-12261.7,-12259.4,-350.075,-93058.4,0.000122959,0.00866038
34,1,0.6,0.499104,749.483,0.00122806,0.00397163,-77.0273,-570.837,-22.9598,-33.0707,0.000357141,0.0018351
34,3,1,0.499213,841.153,0.00112555,0.00343795,-99.9306,-623.57,-27.2902,-42.1622,0.000284637,0.00193501
34,5,1.4,0.499297,946.005,0.00108916,0.0031887,-123.467,-687.152,-30.8634,-50.188,0.00031151,0.00199768
34,7,1.8,0.499337,1021.92,0.00103275,0.00285728,-148.595,-724.574,-34.1077,-58.106,0.000161381,0.00209557
34,9,2,0.499392,1091.98,0.00100218,0.0027429,-775.584,-156.697,-34.8951,-59.7857,0.000297398,0.00207155
34,11,3,0.499367,186.97,0.00270958,0.00374727,-2211.98,-2211.97,-105.287,-30141.3,0.000207669,0.00844349
34,13,4,0.499541,1444.44,0.000888901,0.00221401,-252.166,-972.908,-44.2082,-83.3141,0.0002371,0.00222308
34,15,5,0.499593,1671.85,0.000830837,0.00199915,-276.167,-1141.34,-46.1324,-87.5947,0.000155401,0.00213878
34,17,6,0.499636,1748.04,0.000827745,0.00195657,-1167.81,-313.262,-49.1411,-95.7057,0.00019214,0.00219714
34,19,8,0.499702,2059.84,0.000779335,0.00175286,-347.437,-1395.47,-51.6263,-101.242,0.000129272,0.00205537
34,21,10,0.499717,2226.58,0.000756126,0.00171415,-1496.81,-384.632,-54.2866,-108.075,0.000135611,0.00201162
34,23,20,0.49976,549.127,0.00213371,0.00202083,-5414.67,-5414.68,-229.431,-59333.2,0.000150635,0.00852471
34,25,26,0.499817,3127.53,0.000686581,0.00131352,-534.836,-2086.85,-63.8657,-133.476,0.000181491,0.00170408
34,27,30,0.499796,571.667,0.00204576,0.00183927,-6079.07,-6079.07,-256.951,-71550.8,0.000188653,0.00847112
34,29,40,0.499819,3510.49,0.00071209,0.00140175,-612.566,-2320.15,-68.8462,-148.338,0.000174709,0.00158693
71,1,0.6,0.498855,92.8367,0.00295414,0.00552024,-1109.62,-1109.65,-79.4988,-16949.8,0.000245433,0.00805224
71,3,1,0.499292,883.143,0.000976587,0.00327219,-350.55,-350.535,-40.9448,-76.0496,0.000224663,0.00165587
71,5,1.4,0.49926,134.368,0.00266176,0.00372647,-1732.76,-1733.78,-143.02,-28876.8,0.000186072,0.00961396
71,7,1.8,0.499365,166.976,0.00251111,0.00322779,-2003.94,-2003.69,-169.596,-31031.9,0.000233712,0.00974299
