channel,wp,vbias,gen,train,nps,filter,BI_analytic,BI_mc,sigma_BI,rp,sigma_rp,nsim,ratio
31,1,0.6,fit,sim,clean,optimum,8.64806014560592e-05,9.530964647221246e-05,6.713522004381251e-07,0.64112,0.002527917022160804,50000,1.1020927799703069
31,7,1.8,fit,sim,clean,optimum,6.4908295811899e-05,6.985691431133185e-05,5.953224182760741e-07,0.73696,0.002241633637086325,50000,1.0762401544753801
31,9,2.0,fit,sim,clean,optimum,6.582943132655879e-05,7.1174167561728e-05,5.948230163613972e-07,0.732,0.00223975318357744,50000,1.0811906791151769
31,21,10.0,fit,sim,clean,optimum,6.195920901518368e-05,6.572456338871809e-05,5.666011306851501e-07,0.75252,0.0021334861822152594,50000,1.0607715048881867
31,29,40.0,fit,sim,clean,optimum,5.4308854139951254e-05,5.7566091644328943e-05,5.370590279605128e-07,0.78324,0.002022248020935238,50000,1.0599761780276922
31,27,30.0,fit,sim,clean,optimum,5.6537915497961394e-05,6.015810610478593e-05,5.467536603100921e-07,0.77348,0.002058752297117097,50000,1.064031200565841
31,25,26.0,fit,sim,clean,optimum,5.5731037448284415e-05,5.906393606615041e-05,5.412347241224323e-07,0.7776,0.0020379712335801044,50000,1.0598032760642353
34,5,1.4,fit,sim,clean,optimum,0.00014255309349187173,0.0001611298169516851,8.070126584395465e-07,0.39328,0.0030387344154636366,50000,1.1303144183319502
34,11,3.0,fit,sim,clean,optimum,0.00011021994840450239,0.00011812256062725887,7.285953917247638e-07,0.55522,0.0027434611695723496,50000,1.071698565796404
31,5,1.4,fit,sim,clean,optimum,5.006935290479514e-05,5.236081670324736e-05,5.127809080535504e-07,0.80284,0.0019308309189449272,50000,1.0457657961509779
34,15,5.0,fit,sim,clean,optimum,9.247911836765638e-05,9.715805022680064e-05,6.750293985357678e-07,0.63416,0.002541763184665108,50000,1.0505944686944666
34,7,1.8,fit,sim,clean,optimum,0.0001301726924733759,0.000144472937140224,7.847804389488578e-07,0.456,0.002955020969593868,50000,1.1098559490099884
31,3,1.0,fit,sim,clean,optimum,5.2092476183689175e-05,5.437387711413505e-05,5.249905591410357e-07,0.79526,0.0019768052745790573,50000,1.0437952099339867
34,9,2.0,fit,sim,clean,optimum,0.0001235006058026743,0.00013519904933703166,7.64761937479385e-07,0.49092,0.002879643082115721,50000,1.0947237744975016
34,17,6.0,fit,sim,clean,optimum,8.831737172767837e-05,9.196870980084481e-05,6.534629441969637e-07,0.6537,0.002460556618282905,50000,1.041343373356095
31,11,3.0,fit,sim,clean,optimum,6.692308089189035e-05,7.21621074995251e-05,6.000533889796316e-07,0.72828,0.0022594476866493744,50000,1.0782843009887433
34,23,20.0,fit,sim,clean,optimum,7.036722005212356e-05,7.158846495499777e-05,5.845736617803247e-07,0.73044,0.0022011601501521435,50000,1.0173553097872785
34,21,10.0,fit,sim,clean,optimum,7.959256057837119e-05,8.195652279682559e-05,6.194451628671533e-07,0.6914,0.0023324656871387874,50000,1.0297007936580544
31,13,4.0,fit,sim,clean,optimum,7.391429857156753e-05,7.919985168006913e-05,6.157034616230871e-07,0.70178,0.0023183766437714724,50000,1.0715092101345434
31,15,5.0,fit,sim,clean,optimum,7.03343183977918e-05,7.503032022216192e-05,6.072113493589716e-07,0.71748,0.0022864003500577576,50000,1.0667668633370528
31,17,6.0,fit,sim,clean,optimum,6.709239342243288e-05,7.104137993567999e-05,5.884503639029279e-07,0.7325,0.0022157575273249303,50000,1.0588589303765503
34,25,26.0,fit,sim,clean,optimum,6.802910518335799e-05,6.898582748445695e-05,5.748277197335356e-07,0.74024,0.002164462671867284,50000,1.0140634262132409
31,23,20.0,fit,sim,clean,optimum,5.411032823290196e-05,5.720490930147841e-05,5.346695936253957e-07,0.7846,0.002013250818386209,50000,1.0571902106240556
31,19,8.0,fit,sim,clean,optimum,6.221732118748118e-05,6.579892445930495e-05,5.702284214903439e-07,0.75224,0.0021471444232470053,50000,1.0575660154353355
71,1,0.6,fit,sim,clean,optimum,0.00012985672736811276,0.00014998627937373694,7.895517942282348e-07,0.43524,0.0029729870836866534,50000,1.1550135477275791
34,3,1.0,fit,sim,clean,optimum,0.00016102243754675195,0.00018450575064117504,7.952072846774709e-07,0.30526,0.0029942823301548436,50000,1.1458387629215019
34,1,0.6,fit,sim,clean,optimum,0.00018228440943687758,0.00021334722301880063,6.867496230000401e-07,0.19666,0.0025858946478634773,50000,1.1704085043689907
34,13,4.0,fit,sim,clean,optimum,0.00010023206831007083,0.00010555022819303424,6.954772549483266e-07,0.60256,0.002618757770008351,50000,1.0530584669420522
71,3,1.0,fit,sim,clean,optimum,6.70962083364064e-05,7.224709158019582e-05,5.927645140519871e-07,0.72796,0.0022320020761487027,50000,1.0767686188460004
71,5,1.4,fit,sim,clean,optimum,9.520507227071729e-05,0.00010356903681239807,6.856197608461105e-07,0.61002,0.002581640252376652,50000,1.08785208962289
34,19,8.0,fit,sim,clean,optimum,8.311666255162196e-05,8.550460816482816e-05,6.304747763652233e-07,0.67804,0.0023739967161447695,50000,1.0287300468991172
71,9,2.0,fit,sim,clean,optimum,9.278441437740851e-05,0.00010056803646371328,6.765952873206361e-07,0.62132,0.002547659399664472,50000,1.0838893270872436
71,7,1.8,fit,sim,clean,optimum,9.156784464306092e-05,9.918173364777216e-05,6.756126889815373e-07,0.62654,0.0025439595129794594,50000,1.0831502481508744
71,11,3.0,fit,sim,clean,optimum,8.25044796655022e-05,8.738488094966783e-05,6.404979121419281e-07,0.67096,0.0024117379427748835,50000,1.0591531672456118
71,13,4.0,fit,sim,clean,optimum,7.291658776086254e-05,7.580048845324032e-05,6.000626139400822e-07,0.71458,0.002259482422417778,50000,1.0395506808661403
71,17,6.0,fit,sim,clean,optimum,6.961181168205196e-05,7.182748268188417e-05,5.852528988817937e-07,0.72954,0.002203717757068105,50000,1.0318289518157087
34,29,40.0,fit,sim,clean,optimum,6.505085249869159e-05,6.694620954835967e-05,5.649271796357198e-07,0.74792,0.0021271830683662883,50000,1.0291365443628306
71,21,10.0,fit,sim,clean,optimum,6.0385216666458265e-05,6.202244437449983e-05,5.461529626750215e-07,0.76646,0.002056490423579071,50000,1.027113055122165
71,15,5.0,fit,sim,clean,optimum,7.855476151190714e-05,8.114386252541184e-05,6.125263840708373e-07,0.69446,0.0023064136407161223,50000,1.03295918622466
34,27,30.0,fit,sim,clean,optimum,6.561735535162015e-05,6.704181663911424e-05,5.646191306594487e-07,0.74756,0.0021260231373341613,50000,1.021708605594677
71,23,20.0,fit,sim,clean,optimum,4.807256203002952e-05,4.9455423445317134e-05,4.927515427255044e-07,0.81378,0.0018554121245732073,50000,1.0287661268068837
71,25,26.0,fit,sim,clean,optimum,4.693276546070917e-05,4.8239088790717444e-05,4.883262918958043e-07,0.81836,0.0018387492360142216,50000,1.0278339304574304
71,29,40.0,fit,sim,clean,optimum,4.65516895882196e-05,4.775043032686079e-05,4.848822855229542e-07,0.8202,0.001825781136217012,50000,1.025750746089881
83,5,1.4,fit,sim,clean,optimum,0.00011382395778745574,0.0001236783949011072,7.40300346593748e-07,0.5343,0.0027875351364672514,50000,1.0865761242642145
83,3,1.0,fit,sim,clean,optimum,0.00012785007470328283,0.00014117449250919165,7.814382292820727e-07,0.46842,0.002942436176242803,50000,1.1042190850246463
83,13,4.0,fit,sim,clean,optimum,8.142507270949709e-05,8.481942401442047e-05,6.305751654439055e-07,0.68062,0.002374374722295154,50000,1.0416868071709746
83,19,8.0,fit,sim,clean,optimum,6.677913516484391e-05,6.89114664138701e-05,5.753484011211108e-07,0.74052,0.0021664232513394516,50000,1.0319311000923048
71,19,8.0,fit,sim,clean,optimum,6.639978866725727e-05,6.829002032396545e-05,5.709148111244043e-07,0.74286,0.0021497289623885222,50000,1.0284674348314646
71,27,30.0,fit,sim,clean,optimum,4.675235248027481e-05,4.814348169996288e-05,4.863880114182031e-07,0.81872,0.0018314508132044767,50000,1.02975527745422
83,27,30.0,fit,sim,clean,optimum,6.134026296725818e-05,6.318566397868032e-05,5.502020934818543e-07,0.76208,0.0020717370656320325,50000,1.0300846609087275
83,29,40.0,fit,sim,clean,optimum,5.755451883907051e-05,5.931888830816256e-05,5.349479769426141e-07,0.77664,0.0020142990460166876,50000,1.0306556201785901
83,1,0.6,fit,sim,clean,optimum,0.00014649355137710783,0.0001691183205347328,8.132703460429093e-07,0.3632,0.0030622971817755398,50000,1.1544420825691066
83,7,1.8,fit,sim,clean,optimum,0.00010194410197541893,0.0001105589774475648,7.073835367061518e-07,0.5837,0.0026635898154036097,50000,1.084505874348897
83,11,3.0,fit,sim,clean,optimum,8.684790169001992e-05,9.185185668992255e-05,6.556029283362628e-07,0.65414,0.002468614538297702,50000,1.0576174542220131
83,9,2.0,fit,sim,clean,optimum,9.783885088718983e-05,0.00010403644925608703,6.938110167628708e-07,0.60826,0.0026124836982629406,50000,1.063344962790325
91,3,1.0,fit,sim,clean,optimum,0.00013150745330806903,0.00015463384628541696,8.120353419018504e-07,0.41774,0.0030576468834841446,50000,1.1758561389153517
91,7,1.8,fit,sim,clean,optimum,0.00013172621725460025,0.00015489411003247102,7.96046456671329e-07,0.41676,0.0029974421576886034,50000,1.1758791321934943
91,5,1.4,fit,sim,clean,optimum,0.00013484476696228444,0.0001562644783332864,8.107056034302371e-07,0.4116,0.0030526398714936873,50000,1.1588471829759102
91,9,2.0,fit,sim,clean,optimum,0.00013128387718789485,0.00015080956265523456,8.102987087823913e-07,0.43214,0.003051107745873418,50000,1.1487287387117182
83,15,5.0,fit,sim,clean,optimum,7.662860194896658e-05,7.93485738212429e-05,6.131788153768422e-07,0.70122,0.002308870312792514,50000,1.0354955173798912
83,17,6.0,fit,sim,clean,optimum,7.364486433611835e-05,7.637413099776766e-05,6.047938413595282e-07,0.71242,0.0022772974386216817,50000,1.0370598369112722
83,21,10.0,fit,sim,clean,optimum,6.50681145886838e-05,6.715335824499455e-05,5.691851428670827e-07,0.74714,0.0021432160503469426,50000,1.0320470889542788
91,11,3.0,fit,sim,clean,optimum,0.00012477295876043548,0.0001467887533385011,7.94587670624514e-07,0.44728,0.0029919492285270877,50000,1.1764468423028744
83,23,20.0,fit,sim,clean,optimum,6.322611266117979e-05,6.483223054167552e-05,5.590412874573064e-07,0.75588,0.0021050202646714406,50000,1.025402761816193
91,23,20.0,fit,sim,clean,optimum,0.0001358541362134106,0.00017172095800527362,8.193937686476582e-07,0.3534,0.0030853543851723964,50000,1.2640097886715833
91,15,5.0,fit,sim,clean,optimum,0.00012566082062707726,0.0001501721820502042,8.119113096924506e-07,0.43454,0.0030571798512271063,50000,1.195059695621988
91,17,6.0,fit,sim,clean,optimum,0.00012843811757359504,0.0001536618408627456,8.101683620724391e-07,0.4214,0.00305061693692596,50000,1.1963881421315394
91,21,10.0,fit,sim,clean,optimum,0.00013397458666787677,0.00016483193596590335,8.113357603241468e-07,0.37934,0.0030550126712517085,50000,1.2303224071481706
83,25,26.0,fit,sim,clean,optimum,6.235962064459713e-05,6.414173488622591e-05,5.55181895884616e-07,0.75848,0.002090488068835304,50000,1.0285780160816802
