channel,wp,vbias,gen,seed,train,nps,filter,BI_analytic,BI_mc,sigma_BI,rp,sigma_rp,nsim,ratio
31,1,0.6,fit,1234,sim,clean,optimum,9.109755756133377e-05,9.299914177897729e-05,6.629250521298105e-07,0.64982,0.0024961853444468414,50000,1.0208741514981148
31,3,1.0,fit,1234,sim,clean,optimum,5.1774413667216546e-05,5.256796539988224e-05,5.159774262794872e-07,0.80206,0.001942867124128614,50000,1.015327102258778
31,5,1.4,fit,1234,sim,clean,optimum,4.972208492657503e-05,5.039555983773697e-05,5.063792702188393e-07,0.81024,0.0019067261208352113,50000,1.013544784217244
31,7,1.8,fit,1234,sim,clean,optimum,6.585699447575542e-05,6.850779203068415e-05,5.891959954805926e-07,0.74204,0.002218565136738006,50000,1.04025081278048
31,9,2.0,fit,1234,sim,clean,optimum,6.694652440888114e-05,6.916641865588224e-05,5.907918709357707e-07,0.73956,0.002224574263878366,50000,1.0331592157561895
31,11,3.0,fit,1234,sim,clean,optimum,6.83968328143199e-05,7.050491792644609e-05,5.940819172150471e-07,0.73452,0.00223696264063151,50000,1.0308213849294618
31,13,4.0,fit,1234,sim,clean,optimum,7.638773999452236e-05,7.861558612545791e-05,6.15888488238822e-07,0.70398,0.0023190733450426733,50000,1.0291649698118481
31,15,5.0,fit,1234,sim,clean,optimum,7.244930828766223e-05,7.456821928351488e-05,6.033443680188899e-07,0.71922,0.0022718395756273005,50000,1.0292468078154653
31,17,6.0,fit,1234,sim,clean,optimum,6.831518415757546e-05,7.015967009872127e-05,5.824357531858604e-07,0.73582,0.0021931100454168897,50000,1.0269996482318093
31,19,8.0,fit,1234,sim,clean,optimum,6.298277734446022e-05,6.497032967276543e-05,5.63869175034391e-07,0.75536,0.0021231992461050696,50000,1.0315570765867477
31,21,10.0,fit,1234,sim,clean,optimum,6.291985105079537e-05,6.473131194587903e-05,5.647754052830715e-07,0.75626,0.0021266115755353473,50000,1.0287899743059032
31,23,20.0,fit,1234,sim,clean,optimum,5.396213623750119e-05,5.598857464687872e-05,5.308987406556866e-07,0.78918,0.001999052006787807,50000,1.0375529686307943
31,25,26.0,fit,1234,sim,clean,optimum,5.572243806232544e-05,5.75501571292032e-05,5.362820916721897e-07,0.7833,0.002019322536417417,50000,1.0328004145266123
31,27,30.0,fit,1234,sim,clean,optimum,5.6872159739784355e-05,5.8692130713215994e-05,5.41228197033195e-07,0.779,0.002037946656405892,50000,1.032001087733591
31,29,40.0,fit,1234,sim,clean,optimum,5.4011631184665916e-05,5.616385431326208e-05,5.341315870649383e-07,0.78852,0.0020112250025159,50000,1.0398474010391892
34,1,0.6,fit,1234,sim,clean,optimum,0.00020111088326004223,0.00020490724150718976,7.411806522171388e-07,0.22844,0.002790849849025907,50000,1.0188769408477945
34,3,1.0,fit,1234,sim,clean,optimum,0.00017556297424205794,0.00017824348619675134,8.211914947390187e-07,0.32884,0.0030921235629371626,50000,1.01526809377812
34,5,1.4,fit,1234,sim,clean,optimum,0.0001538396985219893,0.00015574395083917824,8.115174360620282e-07,0.41356,0.0030556967550902725,50000,1.0123781594444348
34,7,1.8,fit,1234,sim,clean,optimum,0.00013953606640148693,0.0001408611137117184,7.78979890770112e-07,0.4696,0.002933179521142003,50000,1.0094960919022822
34,9,2.0,fit,1234,sim,clean,optimum,0.0001310008533107599,0.00013213962243288575,7.652053063109882e-07,0.50244,0.002881312548032082,50000,1.0086928374384285
34,11,3.0,fit,1234,sim,clean,optimum,0.00011480950361314558,0.00011554116917688575,7.250715724415633e-07,0.56494,0.0027301925413572227,50000,1.0063728658404931
34,13,4.0,fit,1234,sim,clean,optimum,0.00010278821105275448,0.00010306444383341567,6.876705362192828e-07,0.61192,0.002589362264713973,50000,1.0026873974926893
34,17,6.0,fit,1234,sim,clean,optimum,8.895963861382582e-05,8.979099273365759e-05,6.520216842096956e-07,0.6619,0.002455129681940406,50000,1.0093452956058049
34,15,5.0,fit,1234,sim,clean,optimum,9.412746987982829e-05,9.483161101843966e-05,6.639018402917412e-07,0.64292,0.002499863353426299,50000,1.0074807188540216
34,27,30.0,fit,1234,sim,clean,optimum,6.387218258916184e-05,6.449760572403455e-05,5.57234992140108e-07,0.75714,0.002098218820248654,50000,1.0097917921310995
34,19,8.0,fit,1234,sim,clean,optimum,8.219545580412865e-05,8.317285745142527e-05,6.300283308249222e-07,0.68682,0.0023723156651553508,50000,1.011891188359923
34,21,10.0,fit,1234,sim,clean,optimum,7.848246018587375e-05,7.89820799733504e-05,6.126851576437787e-07,0.7026,0.0023070114884887905,50000,1.0063660056819494
34,23,20.0,fit,1234,sim,clean,optimum,6.900616638709843e-05,6.972412668528383e-05,5.783789294420969e-07,0.73746,0.002177834436293879,50000,1.0104042919028122
34,25,26.0,fit,1234,sim,clean,optimum,6.666794071170292e-05,6.72170963054976e-05,5.670515139710861e-07,0.7469,0.0021351820604357695,50000,1.0082371764889129
34,29,40.0,fit,1234,sim,clean,optimum,6.397634873606116e-05,6.461977033999871e-05,5.577154439831899e-07,0.75668,0.002100027918947761,50000,1.010057179202146
71,1,0.6,fit,1234,sim,clean,optimum,0.00014031855116305937,0.00014284761659739647,7.991927460303234e-07,0.46212,0.003009289230539567,50000,1.0180237425014327
71,5,1.4,fit,1234,sim,clean,optimum,9.956994329288695e-05,0.0001006264630191744,6.857649562802735e-07,0.6211,0.0025821869728749557,50000,1.0106108298483176
71,3,1.0,fit,1234,sim,clean,optimum,6.831748735252627e-05,7.074393565333246e-05,5.916767521821826e-07,0.73362,0.0022279062055386985,50000,1.0355172357010942
71,7,1.8,fit,1234,sim,clean,optimum,9.58933476525661e-05,9.70465086209203e-05,6.694992092553836e-07,0.63458,0.0025209397486079515,50000,1.0120254532413682
71,13,4.0,fit,1234,sim,clean,optimum,7.358870911901852e-05,7.433982456671231e-05,5.969656892064484e-07,0.72008,0.002247821227674699,50000,1.0102069387639205
71,11,3.0,fit,1234,sim,clean,optimum,8.495165200240287e-05,8.630133392111617e-05,6.36742247124697e-07,0.67504,0.0023975963200612072,50000,1.0158876477019556
71,15,5.0,fit,1234,sim,clean,optimum,7.971595959032374e-05,8.070300760693249e-05,6.152779872268738e-07,0.69612,0.0023167745577606135,50000,1.0123820627849354
71,9,2.0,fit,1234,sim,clean,optimum,9.694426938991833e-05,9.813005564947201e-05,6.754045985978424e-07,0.6305,0.0025431759671405586,50000,1.012231628202636
71,21,10.0,fit,1234,sim,clean,optimum,6.018532942081261e-05,6.12204071131699e-05,5.432545490303688e-07,0.76948,0.002045576704692324,50000,1.0171981727493768
71,19,8.0,fit,1234,sim,clean,optimum,6.656511215912212e-05,6.733394941641983e-05,5.689108204002101e-07,0.74646,0.002142183113487399,50000,1.0115501534115925
71,17,6.0,fit,1234,sim,clean,optimum,7.026585573000977e-05,7.156190742978817e-05,5.850847618369454e-07,0.73054,0.0022030846519744593,50000,1.0184449714062882
71,25,26.0,fit,1234,sim,clean,optimum,4.5604118777560743e-05,4.651284965209343e-05,4.785115236191864e-07,0.82486,0.001801792598680145,50000,1.0199265088086698
71,23,20.0,fit,1234,sim,clean,optimum,4.694455449465846e-05,4.804256310416638e-05,4.865612981203138e-07,0.8191,0.0018321033088746982,50000,1.0233894776790962
71,27,30.0,fit,1234,sim,clean,optimum,4.546233377979807e-05,4.6449111591590415e-05,4.783180284455421e-07,0.8251,0.0018010640098070584,50000,1.0217053927889386
71,29,40.0,fit,1234,sim,clean,optimum,4.494808812502336e-05,4.608261774369792e-05,4.769571851424236e-07,0.82648,0.001795939875339037,50000,1.0252408871211354
83,1,0.6,fit,1234,sim,clean,optimum,0.00015901014165855455,0.00016089079922479871,8.121339044335783e-07,0.39418,0.003058018011934367,50000,1.011827280616368
83,9,2.0,fit,1234,sim,clean,optimum,0.00010077999918034615,0.0001013700737250432,6.891104266234841e-07,0.6183,0.002594784044013201,50000,1.0058550759029192
83,7,1.8,fit,1234,sim,clean,optimum,0.00010668848570512015,0.0001074464354929997,7.053230356295104e-07,0.59542,0.0026558311817945694,50000,1.0071043260467158
83,3,1.0,fit,1234,sim,clean,optimum,0.00013657466423933014,0.000138630281594112,7.747886436826765e-07,0.478,0.002917397752869708,50000,1.01505123491411
83,5,1.4,fit,1234,sim,clean,optimum,0.00011959443465464417,0.00012048086886587134,7.468477148412876e-07,0.54634,0.002812188669489872,50000,1.0074120021871165
83,15,5.0,fit,1234,sim,clean,optimum,7.66340947919077e-05,7.740987448094206e-05,6.097564919115331e-07,0.70852,0.0022959838580558656,50000,1.010123166341834
83,11,3.0,fit,1234,sim,clean,optimum,8.915459496443931e-05,9.06461450454067e-05,6.529089927637044e-07,0.65868,0.0024584707634116875,50000,1.0167299294171246
