channel,wp,vbias,gen,seed,train,nps,filter,BI_analytic,BI_mc,sigma_BI,rp,sigma_rp,nsim,ratio
31,15,5.0,fit,1234,sim,clean,optimum,6.957192129527492e-05,7.412736436503553e-05,6.017841856429607e-07,0.72088,0.002265964847603451,50000,1.065478184085596
31,13,4.0,fit,1234,sim,clean,optimum,7.378606364169421e-05,7.830751883302656e-05,6.15198507577297e-07,0.70514,0.0023164752842065096,50000,1.061277902196932
31,9,2.0,fit,1234,sim,clean,optimum,6.293367022050028e-05,6.855028407101953e-05,5.895609457783943e-07,0.74188,0.002219939324637373,50000,1.0892465643723044
31,11,3.0,fit,1234,sim,clean,optimum,6.474081159075041e-05,6.994189839200257e-05,5.948861291681889e-07,0.73664,0.00223999082924018,50000,1.0803370651905027
31,21,10.0,fit,1234,sim,clean,optimum,5.9154115434070475e-05,6.422140746185472e-05,5.631197538479591e-07,0.75818,0.0021203773672571077,50000,1.0856625441966408
31,17,6.0,fit,1234,sim,clean,optimum,6.499202209295475e-05,6.998970193737984e-05,5.83080243846527e-07,0.73646,0.002195536817699247,50000,1.0768968203093785
31,1,0.6,fit,1234,sim,clean,optimum,8.932264904825615e-05,9.274950104200704e-05,6.647134481080919e-07,0.65076,0.0025029193905003306,50000,1.0383648719587297
31,19,8.0,fit,1234,sim,clean,optimum,5.923606485166759e-05,6.425858799714814e-05,5.613691448552132e-07,0.75804,0.002113785604738087,50000,1.0847882646839793
31,23,20.0,fit,1234,sim,clean,optimum,4.9435234263327646e-05,5.560614628386048e-05,5.287264185521125e-07,0.79062,0.001990872321043637,50000,1.1248282143796895
31,7,1.8,fit,1234,sim,clean,optimum,6.166453461238687e-05,6.794477249624063e-05,5.879952522371859e-07,0.74416,0.0022140438448106517,50000,1.101845216595411
31,3,1.0,fit,1234,sim,clean,optimum,4.723832265751758e-05,5.208992994610943e-05,5.160436851991726e-07,0.80386,0.0019431166161997407,50000,1.1027049017757569
31,5,1.4,fit,1234,sim,clean,optimum,4.4988322803829135e-05,4.960414558649086e-05,5.030059893656386e-07,0.81322,0.0018940243316941758,50000,1.1026004637423126
31,15,5.0,fit,1235,sim,clean,optimum,6.957192129527492e-05,7.2236468570112e-05,5.976325044670171e-07,0.728,0.0022503320612531517,50000,1.0382991762370382
31,13,4.0,fit,1235,sim,clean,optimum,7.378606364169421e-05,7.607668671542017e-05,6.077194569537095e-07,0.71354,0.0022883135840309076,50000,1.0310441153880934
31,21,10.0,fit,1235,sim,clean,optimum,5.9154115434070475e-05,6.313254892826113e-05,5.615158918559616e-07,0.76228,0.002114338167522421,50000,1.0672553966025369
31,17,6.0,fit,1235,sim,clean,optimum,6.499202209295475e-05,6.836969289959424e-05,5.780908979619644e-07,0.74256,0.0021767498793637463,50000,1.051970544966405
31,9,2.0,fit,1235,sim,clean,optimum,6.293367022050028e-05,6.701525911390464e-05,5.777730704822587e-07,0.74766,0.002175553128246323,50000,1.0648554085452784
31,19,8.0,fit,1235,sim,clean,optimum,5.923606485166759e-05,6.301038431229696e-05,5.586305559945028e-07,0.76274,0.0021034736918655707,50000,1.0637165799261077
31,11,3.0,fit,1235,sim,clean,optimum,6.474081159075041e-05,6.8783990292864e-05,5.867679778012092e-07,0.741,0.0022094226520365107,50000,1.0624517765960666
31,23,20.0,fit,1235,sim,clean,optimum,4.9435234263327646e-05,5.3853349620026866e-05,5.220274751227775e-07,0.79722,0.0019656480451502134,50000,1.0893717896261026
31,1,0.6,fit,1235,sim,clean,optimum,8.932264904825615e-05,9.146411682186241e-05,6.601473979057911e-07,0.6556,0.0024857263344220094,50000,1.0239745215398766
31,7,1.8,fit,1235,sim,clean,optimum,6.166453461238687e-05,6.613354927694592e-05,5.772925772664027e-07,0.75098,0.0021737438737617137,50000,1.0724730137452678
31,3,1.0,fit,1235,sim,clean,optimum,4.723832265751758e-05,5.135163074528255e-05,5.094302299543593e-07,0.80664,0.0019182142384645494,50000,1.08707565926053
31,5,1.4,fit,1235,sim,clean,optimum,4.4988322803829135e-05,4.929607829405952e-05,5.000713482654482e-07,0.81438,0.0018829742015445123,50000,1.0957527469742379
31,21,10.0,fit,1236,sim,clean,optimum,5.9154115434070475e-05,6.346717374590207e-05,5.60451949240254e-07,0.76102,0.002110331986195996,50000,1.0729122273265783
31,17,6.0,fit,1236,sim,clean,optimum,6.499202209295475e-05,6.867244868698368e-05,5.78572261554459e-07,0.74142,0.0021785624111742047,50000,1.0566288980632885
31,19,8.0,fit,1236,sim,clean,optimum,5.923606485166759e-05,6.347779675598592e-05,5.605982760092478e-07,0.76098,0.00211088296663502,50000,1.0716072533673533
31,23,20.0,fit,1236,sim,clean,optimum,4.9435234263327646e-05,5.4469484204889586e-05,5.236849045606699e-07,0.7949,0.001971888948339842,50000,1.1018352601455452
31,13,4.0,fit,1236,sim,clean,optimum,7.378606364169421e-05,7.718679126918145e-05,6.086936468185462e-07,0.70936,0.0022919818093536668,50000,1.0460890235858251
31,15,5.0,fit,1236,sim,clean,optimum,6.957192129527492e-05,7.330939258857982e-05,5.975959598964078e-07,0.72396,0.0022501944559216278,50000,1.0537209728252643
31,11,3.0,fit,1236,sim,clean,optimum,6.474081159075041e-05,7.014373558359552e-05,5.890565779900358e-07,0.73588,0.002218040172572646,50000,1.083454684303294
31,9,2.0,fit,1236,sim,clean,optimum,6.293367022050028e-05,6.850248052564223e-05,5.815785022328606e-07,0.74206,0.002189882143169846,50000,1.0884869782046804
31,1,0.6,fit,1236,sim,clean,optimum,8.932264904825615e-05,9.27919930823424e-05,6.622867671730076e-07,0.6506,0.0024937819391906463,50000,1.0388405860221628
31,7,1.8,fit,1236,sim,clean,optimum,6.166453461238687e-05,6.739768747692287e-05,5.854266466069222e-07,0.74622,0.002204371988679512,50000,1.0929732608958076
31,3,1.0,fit,1236,sim,clean,optimum,4.723832265751758e-05,5.2546719379714565e-05,5.101186411964795e-07,0.80214,0.0019208063897914783,50000,1.1123747928283436
