channel,wp,vbias,signal_amp,sigma_analytic,SNR,beta_Hz,rho_t,template,BI,J_final
31,3,1.0,0.004304359,0.00017095710791181773,25.178007125854492,2877.5938012562347,72452.07723334419,sim,5.301128871649994e-05,0.19960929453372955
31,1,0.6,0.004763267,0.00020628143101930618,23.091108322143555,1808.0661466960003,41750.25124695804,sim,9.185049652650966e-05,0.34585487842559814
31,27,30.0,0.0007646230000000001,3.412245132494718e-05,22.4082088470459,2825.3472729565883,63310.971757842824,sim,5.8081657636714225e-05,0.2187013179063797
31,25,26.0,0.0008496350000000001,3.714914055308327e-05,22.870920181274414,2854.909283615692,65294.40235035381,sim,5.69215201360413e-05,0.2143329232931137
34,9,2.0,0.002440126,2.5073728465940803e-05,97.31803894042969,339.5260977451928,33042.01400165881,sim,0.00013199501830930694,0.49701550602912903
34,7,1.8,0.0024120219999999998,2.6728010197984986e-05,90.24323272705078,336.63308515034794,30378.85784684795,sim,0.0001404344390684541,0.5287933945655823
34,13,4.0,0.002317061,1.9397766664042138e-05,119.44989013671875,430.07999193401014,51373.0077865184,sim,0.00010455928882234003,0.3937087059020996
34,11,3.0,0.0024210790000000005,2.6656431145966053e-05,90.8253173828125,444.9572506191231,40413.3835092655,sim,0.00011618373535237384,0.43747952580451965
34,21,10.0,0.001688306,1.2547421647468582e-05,134.55401611328125,587.6611305244462,79072.16522573541,sim,8.167973800412765e-05,0.3075577914714813
34,19,8.0,0.0018584769999999999,1.242934558831621e-05,149.5233154296875,498.1729423674718,74488.47000014702,sim,8.531842986225103e-05,0.3212589621543884
34,15,5.0,0.002204652,1.7790449419408105e-05,123.92333984375,467.7893215038151,57970.015063994506,sim,9.691253120520088e-05,0.36491551995277405
34,17,6.0,0.002072425,1.4690699572383892e-05,141.070556640625,459.2900741017187,64792.30641304336,sim,9.128701315424687e-05,0.34373313188552856
34,25,26.0,0.000980923,8.47708997753216e-06,115.71458435058594,784.5259179429877,90781.0905070347,sim,6.968856901756064e-05,0.2624061107635498
34,27,30.0,0.0008928300000000001,8.886190698831342e-06,100.473876953125,888.5537299995817,89276.43813421823,sim,6.702002877832526e-05,0.25235795974731445
34,23,20.0,0.0011531739999999999,9.117338777286932e-06,126.4814224243164,720.6674963942794,91151.05003891938,sim,7.177425846857222e-05,0.2702595889568329
34,29,40.0,0.000737938,8.190912922145799e-06,90.09227752685547,935.7533831223525,84304.1534889529,sim,6.636874698135657e-05,0.24990561604499817
71,3,1.0,0.004887824000000001,0.00013874554133508354,35.22869110107422,1481.314568259598,52184.7733487385,sim,6.960365156523309e-05,0.2620863616466522
71,1,0.6,0.004321273,0.00015242415247485042,28.350317001342773,884.6023347426682,25078.756610082575,sim,0.00014085523516039618,0.5303778648376465
71,7,1.8,0.004993932,0.00015364713908638805,32.502601623535156,1386.6659224572045,45070.25006255841,sim,9.716010487551552e-05,0.36584773659706116
71,5,1.4,0.005011591,0.0001433993165846914,34.9484977722168,1223.9409141080037,42774.896310028555,sim,0.00010079542504618512,0.3795362114906311
71,9,2.0,0.00494817,0.00015350976900663227,32.23358154296875,1402.671062848678,45213.112082295505,sim,9.811419744782204e-05,0.3694402873516083
71,11,3.0,0.004643936,0.0001296185073442757,35.82772445678711,1508.9078740014195,54060.7355403993,sim,8.669767955886354e-05,0.3264524042606354
71,15,5.0,0.004079936,0.00011163324234075844,36.54767990112305,1720.1802128138297,62868.59579016557,sim,8.112575234300225e-05,0.305471807718277
71,13,4.0,0.004298046000000001,0.00010439966717967764,41.16915512084961,1588.8736425100337,65412.58545592493,sim,7.550087538755e-05,0.2842918336391449
31,11,3.0,0.002915397,0.0001416070736013353,20.587932586669922,2392.7489652832464,49261.75439407569,sim,6.947395240489275e-05,0.26159799098968506
31,9,2.0,0.0034196770000000003,0.00017327901150565594,19.735092163085938,2526.272675834798,49856.22408668546,sim,6.793482457080083e-05,0.25580254197120667
31,13,4.0,0.002568738,0.0001196714147226885,21.464927673339844,2182.73759994505,46852.3047126999,sim,7.71100330117616e-05,0.2903509736061096
31,15,5.0,0.002313303,0.00010827172081917524,21.365718841552734,2299.946568344927,49140.011729851765,sim,7.334977836583891e-05,0.2761920690536499
31,19,8.0,0.001809979,8.112609793897718e-05,22.310686111450195,2584.382917039772,57659.35605386839,sim,6.383530376829128e-05,0.2403661608695984
31,17,6.0,0.002113314,0.00010046664101537317,21.034982681274414,2490.2181803740077,52381.69629676194,sim,6.915640434777339e-05,0.26040229201316833
83,3,1.0,0.003472437,6.83945618220605e-05,50.770660400390625,581.2491820362769,29510.404829168645,sim,0.00013740072766550463,0.5173702239990234
83,5,1.4,0.003395297,5.70671254536137e-05,59.49654769897461,609.9976860827057,36292.75642628384,sim,0.00012083181229114192,0.4549814462661743
