channel,wp,vbias,gen,train,nps,filter,BI_analytic,BI_mc,sigma_BI,rp,sigma_rp,nsim,ratio
31,1,0.6,root,fit,clean,optimum,9.185462011609514e-05,0.000141286034115072,1.2196920202014615e-06,0.468,0.0045926418616768095,20000,1.5381483689824251
31,5,1.4,root,fit,clean,optimum,5.104403176599196e-05,0.0001318979489534784,1.2009244922133482e-06,0.50335,0.004521974403621158,20000,2.584003347505071
31,3,1.0,root,fit,clean,optimum,5.304805277336092e-05,0.00015427266394256637,1.2258881312246217e-06,0.4191,0.004615972766850611,20000,2.9081682715418595
31,13,4.0,root,fit,clean,optimum,7.706150762260882e-05,7.398926523394559e-05,9.436900061232966e-07,0.7214,0.003553380816455639,20000,0.9601325942945622
31,11,3.0,root,fit,clean,optimum,6.946525408444275e-05,8.11199607527232e-05,9.914571719606765e-07,0.69455,0.0037332438325325774,20000,1.1677775000162363
31,17,6.0,root,fit,clean,optimum,6.909565065553122e-05,7.037744180544e-05,9.308909971958938e-07,0.735,0.003505187286273933,20000,1.0185509672135373
31,15,5.0,root,fit,clean,optimum,7.328944415583864e-05,7.159908796508158e-05,9.386822794542026e-07,0.7304,0.003534524666910184,20000,0.9769358846935341
31,27,30.0,root,fit,clean,optimum,5.798147657111296e-05,5.75368783665984e-05,8.488226121624451e-07,0.78335,0.0031961660789673776,20000,0.9923320648109182
31,29,40.0,root,fit,clean,optimum,5.5234924507022844e-05,5.61824445809088e-05,8.379833599087185e-07,0.78845,0.0031553518383023306,20000,1.0171543653285067
31,7,1.8,root,fit,clean,optimum,6.702438189592989e-05,0.000100653020544384,1.0912687010115287e-06,0.621,0.004109075271129019,20000,1.5017373931276228
31,9,2.0,root,fit,clean,optimum,6.808000500029511e-05,9.478380747306239e-05,1.0569146367214524e-06,0.6431,0.00397971809639627,20000,1.3922414881234442
34,3,1.0,root,fit,clean,optimum,0.0001762225902805497,0.0001809496980156096,1.2905323441111934e-06,0.31865,0.004859384803086593,20000,1.0268246410833837
34,1,0.6,root,fit,clean,optimum,0.00020156621936148728,0.0002064714797420352,1.1981112235114806e-06,0.22255,0.0045113812904464005,20000,1.0243357264728514
34,7,1.8,root,fit,clean,optimum,0.0001405865132532823,0.00014492441506878723,1.229124385942776e-06,0.4543,0.00462815859626285,20000,1.03085574650884
34,5,1.4,root,fit,clean,optimum,0.00015444031794479928,0.00015881400075340798,1.245529197550356e-06,0.402,0.004689929455852019,20000,1.028319566204027
34,13,4.0,root,fit,clean,optimum,0.00010454744042769613,0.0001070533841198976,1.1042908158632676e-06,0.5969,0.004158108886832909,20000,1.023969440877269
34,19,8.0,root,fit,clean,optimum,8.53932559964951e-05,8.717507650051201e-05,1.0059378155454621e-06,0.67175,0.0037877694085058657,20000,1.020866056496195
34,17,6.0,root,fit,clean,optimum,9.149938197527891e-05,9.329658606132478e-05,1.0373859277242552e-06,0.6487,0.0039061844789260018,20000,1.0196417073782142
34,15,5.0,root,fit,clean,optimum,9.654759748426522e-05,9.89533389309696e-05,1.0637331230540475e-06,0.6274,0.004005392500463597,20000,1.0249176728307139
31,21,10.0,root,fit,clean,optimum,6.390120205406621e-05,6.461445883495679e-05,8.952985684015445e-07,0.7567,0.0033711671601008683,20000,1.0111618679768668
31,19,8.0,root,fit,clean,optimum,6.389657983464601e-05,6.63805342613952e-05,9.113999507928434e-07,0.75005,0.003431795483953418,20000,1.0388746069535688
31,23,20.0,root,fit,clean,optimum,5.525575219607121e-05,5.797507753255681e-05,8.543824396300855e-07,0.7817,0.0032171011149835747,20000,1.0492134344101636
31,25,26.0,root,fit,clean,optimum,5.6852740877888035e-05,5.7178351776268814e-05,8.443461115971132e-07,0.7847,0.0031793102140853825,20000,1.005727268261
34,25,26.0,root,fit,clean,optimum,6.95500844744182e-05,6.870431771723521e-05,9.019460332062328e-07,0.7413,0.0033961975978100472,20000,0.9878394575136126
34,27,30.0,root,fit,clean,optimum,6.704438249263338e-05,6.760218042103682e-05,8.952390853972238e-07,0.74545,0.0033709431821366143,20000,1.0083198309487706
34,29,40.0,root,fit,clean,optimum,6.691560144436966e-05,6.713742372986881e-05,8.910912785933807e-07,0.7472,0.0033553249843899973,20000,1.0033149561643493
34,9,2.0,root,fit,clean,optimum,0.00013190994256179377,0.0001389888081844416,1.2026137190958014e-06,0.47665,0.004528335037261233,20000,1.0536643825717056
34,11,3.0,root,fit,clean,optimum,0.00011569330520827614,0.00012062427950200321,1.1573963713977813e-06,0.5458,0.004358073134688794,20000,1.0426210858515117
71,3,1.0,root,fit,clean,optimum,6.940899597547227e-05,0.00014949230940483838,1.2372109356980057e-06,0.4371,0.004658607780407112,20000,2.1537886739878203
71,11,3.0,root,fit,clean,optimum,8.6463339366067e-05,7.91679826498176e-05,9.525875231304445e-07,0.7019,0.003586883625685513,20000,0.9156248559246314
71,9,2.0,root,fit,clean,optimum,9.814174081012048e-05,9.040181581347841e-05,1.0178335838011608e-06,0.6596,0.003832561866243602,20000,0.9211352383526916
71,15,5.0,root,fit,clean,optimum,8.129888770227759e-05,7.308630937681919e-05,9.233311421016439e-07,0.7248,0.003476721324048216,20000,0.8989828943843186
34,23,20.0,root,fit,clean,optimum,7.194642031245599e-05,7.12538401373568e-05,9.160064653350656e-07,0.7317,0.00344914090490611,20000,0.9903736673472928
34,21,10.0,root,fit,clean,optimum,8.2087142323366e-05,8.277980607832319e-05,9.756637310090265e-07,0.6883,0.003673775034792565,20000,1.008438151644122
71,17,6.0,root,fit,clean,optimum,7.1799981436236e-05,6.740299898196481e-05,8.929455250846625e-07,0.7462,0.0033623069846955506,20000,0.9387606742186131
71,25,26.0,root,fit,clean,optimum,4.756462839578154e-05,4.780354537728001e-05,7.649853167707234e-07,0.82,0.002880484196977047,20000,1.0050229969108655
71,23,20.0,root,fit,clean,optimum,4.88493837813363e-05,4.964929337934718e-05,7.800040228359389e-07,0.81305,0.0029370357993823287,20000,1.0163750192139884
71,29,40.0,root,fit,clean,optimum,4.6773928114075246e-05,4.509467780590079e-05,7.45143809213818e-07,0.8302,0.002805772764340496,20000,0.9640985827814377
71,27,30.0,root,fit,clean,optimum,4.751973983851845e-05,4.6714686843686385e-05,7.591611171164515e-07,0.8241,0.0028585536909968945,20000,0.9830585563479978
83,1,0.6,root,fit,clean,optimum,0.00015951497666454395,0.0001646168200117056,1.2859725622846766e-06,0.38015,0.004842215350019979,20000,1.0319834754945343
83,3,1.0,root,fit,clean,optimum,0.00013749629046906533,0.0001360674804113856,1.1979181556111088e-06,0.48765,0.004510654310432833,20000,0.9896083737764462
71,7,1.8,root,fit,clean,optimum,9.710490734428872e-05,9.171641331135361e-05,1.0154573884195226e-06,0.65465,0.003823614513796849,20000,0.9445085302040398
