channel,vbias_V,BI_optimum,BI_wiener,improvement_pct
31,0.600,1.410805e-04,1.304726e-04,7.5191
31,1.000,1.190840e-04,1.170971e-04,1.6685
31,1.400,1.088475e-04,1.070673e-04,1.6355
31,1.800,1.012245e-04,9.920749e-05,1.9926
31,2.000,9.874812e-05,9.678574e-05,1.9873
31,3.000,8.888508e-05,8.674158e-05,2.4115
31,4.000,8.234102e-05,7.997086e-05,2.8785
31,5.000,7.929114e-05,7.657146e-05,3.4300
31,6.000,7.747657e-05,7.428074e-05,4.1249
31,8.000,7.291546e-05,6.974159e-05,4.3528
31,10.000,7.038876e-05,6.691915e-05,4.9292
31,20.000,6.377477e-05,5.991735e-05,6.0485
31,26.000,6.275699e-05,5.838926e-05,6.9597
31,30.000,6.248748e-05,5.792347e-05,7.3039
31,40.000,6.165777e-05,5.667258e-05,8.0853
34,0.600,2.074431e-04,1.507008e-04,27.3532
34,1.000,1.891235e-04,1.511841e-04,20.0606
34,1.400,1.713714e-04,1.479023e-04,13.6949
34,1.800,1.580219e-04,1.403902e-04,11.1577
34,2.000,1.516205e-04,1.342962e-04,11.4261
34,3.000,1.310381e-04,1.190811e-04,9.1248
34,4.000,1.180179e-04,1.111801e-04,5.7938
34,5.000,1.094183e-04,1.048224e-04,4.2003
34,6.000,1.043268e-04,9.939743e-05,4.7250
34,8.000,9.608692e-05,9.146862e-05,4.8064
34,10.000,9.088916e-05,8.619743e-05,5.1620
34,20.000,7.912007e-05,7.419575e-05,6.2239
34,26.000,7.605641e-05,7.147149e-05,6.0283
34,30.000,7.465815e-05,7.048481e-05,5.5899
34,40.000,7.312582e-05,6.916344e-05,5.4186
71,0.600,1.703629e-04,1.468619e-04,13.7947
71,1.000,1.304995e-04,1.169142e-04,10.4102
71,1.400,1.130554e-04,1.105060e-04,2.2550
71,1.800,1.021268e-04,9.944227e-05,2.6286
71,2.000,9.857717e-05,9.613687e-05,2.4755
71,3.000,8.601916e-05,8.335006e-05,3.1029
71,4.000,7.841878e-05,7.538889e-05,3.8637
71,5.000,7.553431e-05,7.324207e-05,3.0347
71,6.000,7.185145e-05,6.903418e-05,3.9210
71,8.000,6.659109e-05,6.428954e-05,3.4562
71,10.000,6.345427e-05,6.143432e-05,3.1833
71,20.000,5.482213e-05,5.251454e-05,4.2092
71,26.000,5.222599e-05,4.998082e-05,4.2990
71,30.000,5.104821e-05,4.846478e-05,5.0608
71,40.000,4.887542e-05,4.650667e-05,4.8465
83,0.600,1.719079e-04,1.467162e-04,14.6542
83,1.000,1.472140e-04,1.302171e-04,11.5457
83,1.400,1.307527e-04,1.168373e-04,10.6425
83,1.800,1.198729e-04,1.162878e-04,2.9908
83,2.000,1.157545e-04,1.118462e-04,3.3763
83,3.000,1.029538e-04,9.891202e-05,3.9258
83,4.000,9.371178e-05,8.985868e-05,4.1116
83,5.000,8.825686e-05,8.473479e-05,3.9907
83,6.000,8.508936e-05,8.119091e-05,4.5816
83,8.000,7.907266e-05,7.515745e-05,4.9514
83,10.000,7.592454e-05,7.170538e-05,5.5570
83,20.000,6.678575e-05,6.280325e-05,5.9631
83,26.000,6.447566e-05,6.115317e-05,5.1531
83,30.000,6.445170e-05,6.141573e-05,4.7105
83,40.000,6.276045e-05,5.961246e-05,5.0159
91,0.600,1.909313e-04,1.502993e-04,21.2810
91,1.000,1.753267e-04,1.488660e-04,15.0922
91,1.400,1.704118e-04,1.473997e-04,13.5038
91,1.800,1.672679e-04,1.477317e-04,11.6796
91,2.000,1.658821e-04,1.484521e-04,10.5075
91,3.000,1.631183e-04,1.492269e-04,8.5162
91,4.000,1.640339e-04,1.475971e-04,10.0204
91,5.000,1.638469e-04,1.492540e-04,8.9064
91,6.000,1.656250e-04,1.475330e-04,10.9235
91,8.000,1.675040e-04,1.470994e-04,12.1816
91,10.000,1.686834e-04,1.473429e-04,12.6512
91,20.000,1.677761e-04,1.482438e-04,11.6419
91,26.000,1.711173e-04,1.463316e-04,14.4846
91,30.000,1.720045e-04,1.462752e-04,14.9585
91,40.000,1.678948e-04,1.472275e-04,12.3097

# mean improvement per channel
channel,mean_improvement_pct,n_points
31,4.3552,15
34,9.3844,15
71,4.7028,15
83,6.0780,15
91,12.5772,15

# global mean improvement (all points),7.4195
