channel,wp,vbias,gen,train,nps,filter,BI_analytic,BI_mc,sigma_BI,rp,sigma_rp,nsim,ratio
31,23,20.0,fit,sim,clean,wiener,5.165802317460747e-05,5.7321762412400643e-05,5.352847126136478e-07,0.78416,0.0020155669942474664,50000,1.1096391013386124
31,21,10.0,fit,sim,clean,wiener,5.974020335884026e-05,6.643630506433536e-05,5.700144340924057e-07,0.74984,0.002146338672725263,50000,1.1120870256378903
34,3,1.0,fit,sim,clean,wiener,0.00015547542599310776,0.0001890099069167232,7.952856641664568e-07,0.2883,0.0029945774611520558,50000,1.215689911826336
34,5,1.4,fit,sim,clean,wiener,0.00013908099940185744,0.0001659048599843712,7.91772427882371e-07,0.3753,0.0029813486822791815,50000,1.1928650261205667
31,3,1.0,fit,sim,clean,wiener,4.997187868686804e-05,5.4453549689763835e-05,5.265915859925628e-07,0.79496,0.0019828337988443694,50000,1.0896838606164616
31,1,0.6,fit,sim,clean,wiener,8.450434146686892e-05,9.825753177047807e-05,6.769746436700664e-07,0.63002,0.0025490878322704334,50000,1.16275128667799
34,11,3.0,fit,sim,clean,wiener,0.00010540567735034855,0.00012181936813643519,7.390893163278922e-07,0.5413,0.0027829751096714638,50000,1.1557192287805393
34,13,4.0,fit,sim,clean,wiener,9.454639808858e-05,0.00010972507115598335,7.010064465039071e-07,0.58684,0.002639577449221465,50000,1.160542055268806
34,7,1.8,fit,sim,clean,wiener,0.000126968489240751,0.00014889210933510143,7.816164449254324e-07,0.43936,0.002943107231403076,50000,1.172669772046984
34,9,2.0,fit,sim,clean,wiener,0.00011953575462933366,0.00014034058621761024,7.714932032912691e-07,0.47156,0.0029049890650669143,50000,1.1740469339302697
31,7,1.8,fit,sim,clean,wiener,6.143588117413385e-05,6.978255324074495e-05,5.919109150776542e-07,0.73724,0.0022287879251026393,50000,1.135859890134127
31,5,1.4,fit,sim,clean,wiener,4.810016079564292e-05,5.233425917803776e-05,5.148801998967205e-07,0.80294,0.001938735615736522,50000,1.0880266991285896
34,15,5.0,fit,sim,clean,wiener,8.710627109199407e-05,9.915517612256256e-05,6.800608505091281e-07,0.62664,0.0025607086697344078,50000,1.1383241973226415
34,17,6.0,fit,sim,clean,wiener,8.247998348552702e-05,9.343468519241473e-05,6.584926761690519e-07,0.64818,0.0024794956268403365,50000,1.1328164876367848
34,23,20.0,fit,sim,clean,wiener,6.43725655430556e-05,7.182748268188417e-05,5.839936552114518e-07,0.72954,0.002198976186984283,50000,1.1158089176023651
34,25,26.0,fit,sim,clean,wiener,6.234172141648279e-05,6.983566829116415e-05,5.770277317852957e-07,0.73704,0.0021727466216494903,50000,1.1202075705387884
34,19,8.0,fit,sim,clean,wiener,7.63553765438217e-05,8.588703652784641e-05,6.363613974049253e-07,0.6766,0.002396162264301998,50000,1.124832859393396
34,21,10.0,fit,sim,clean,wiener,7.307168538373613e-05,8.220616353379584e-05,6.226013878422667e-07,0.69046,0.0023443501716688916,50000,1.125007081773056
31,19,8.0,fit,sim,clean,wiener,5.975221400604942e-05,6.668063429626367e-05,5.736482228394554e-07,0.74892,0.002160021381179348,50000,1.1159525283784932
31,17,6.0,fit,sim,clean,wiener,6.463199552277341e-05,7.230020663061505e-05,5.969987786587827e-07,0.72776,0.0022479458230655466,50000,1.1186441954301056
31,11,3.0,fit,sim,clean,wiener,6.406265522864255e-05,7.272512703396864e-05,6.009441158338652e-07,0.72616,0.0022628016394262377,50000,1.1352187444371347
31,15,5.0,fit,sim,clean,wiener,6.79109774010867e-05,7.677249387591167e-05,6.128798847482748e-07,0.71092,0.002307744716087971,50000,1.1304872468921818
31,9,2.0,fit,sim,clean,wiener,6.242440690669306e-05,7.1439742813824e-05,5.969735830274113e-07,0.731,0.002247850951155711,50000,1.144420049045982
31,13,4.0,fit,sim,clean,wiener,7.152923335074613e-05,8.091015630356736e-05,6.219014858099643e-07,0.69534,0.002341714752793154,50000,1.1311480986636826
34,29,40.0,fit,sim,clean,wiener,6.006375871825402e-05,6.678155289206016e-05,5.664880418648194e-07,0.74854,0.0021330603563168063,50000,1.111844385319238
34,27,30.0,fit,sim,clean,wiener,6.0019906994456756e-05,6.670188031643137e-05,5.645169713448162e-07,0.74884,0.0021256384655176943,50000,1.1113292848419734
31,27,30.0,fit,sim,clean,wiener,5.396940990128057e-05,6.0513976942594545e-05,5.494841485184744e-07,0.77214,0.002069033707703484,50000,1.121264380197692
31,25,26.0,fit,sim,clean,wiener,5.322945905608507e-05,5.896301747035392e-05,5.426119198606187e-07,0.77798,0.002043156941688511,50000,1.107714008670043
71,3,1.0,fit,sim,clean,wiener,6.448727019193779e-05,7.257640489279487e-05,5.962168049521995e-07,0.72672,0.0022450013705971345,50000,1.1254376976538292
31,29,40.0,fit,sim,clean,wiener,5.1529000726185666e-05,5.698713759475968e-05,5.369004558582552e-07,0.78542,0.002021650931782517,50000,1.1059235923781525
71,1,0.6,fit,sim,clean,wiener,0.00012848843961310466,0.00015212681590563072,7.853107710403024e-07,0.42718,0.002957017887933431,50000,1.1839727866857461
34,1,0.6,fit,sim,clean,wiener,0.00017616026946596985,0.0002178035757489715,6.732967575785686e-07,0.17988,0.002535239079186436,50000,1.2363944288303113
71,5,1.4,fit,sim,clean,wiener,9.253223431719224e-05,0.00010692590799889151,6.969134537817012e-07,0.59738,0.0026241656490258412,50000,1.1555530760487103
71,7,1.8,fit,sim,clean,wiener,8.858406745641628e-05,0.00010257047386451711,6.84687282583972e-07,0.61378,0.0025781290883853574,50000,1.157888509860785
71,15,5.0,fit,sim,clean,wiener,7.427244142903995e-05,8.355528581444352e-05,6.245869347227168e-07,0.68538,0.0023518265719162023,50000,1.1249836979476757
71,13,4.0,fit,sim,clean,wiener,6.892803188347484e-05,7.69955770876723e-05,6.026588567332399e-07,0.71008,0.00226925834382863,50000,1.117043022755037
71,17,6.0,fit,sim,clean,wiener,6.583854912925069e-05,7.352185279025663e-05,5.853183836523472e-07,0.72316,0.0022039643341495037,50000,1.1166991642832604
71,19,8.0,fit,sim,clean,wiener,6.28584048171161e-05,6.972943819032576e-05,5.784482475699226e-07,0.73744,0.0021780954475412694,50000,1.1093097000027388
71,25,26.0,fit,sim,clean,wiener,4.395909542166657e-05,4.8292203841136635e-05,4.902834013570121e-07,0.81816,0.0018461185576876898,50000,1.098571373635099
71,27,30.0,fit,sim,clean,wiener,4.371775066690621e-05,4.7846037417615355e-05,4.864272306813657e-07,0.81984,0.0018315984898530087,50000,1.0944304473064808
71,29,40.0,fit,sim,clean,wiener,4.3237506818003357e-05,4.7001508115950085e-05,4.82874030918701e-07,0.82302,0.0018182192320546193,50000,1.0870540781592768
83,1,0.6,fit,sim,clean,wiener,0.0001432250882138792,0.00017250706075147776,8.007028918584821e-07,0.35044,0.0030149755503914365,50000,1.204447229900613
83,3,1.0,fit,sim,clean,wiener,0.0001240905165561769,0.0001471764932065613,7.82415563038533e-07,0.44582,0.002946116239609954,50000,1.1860414259774088
83,5,1.4,fit,sim,clean,wiener,0.00010963534845447746,0.0001272955298346547,7.506569264633164e-07,0.52068,0.002826531917183192,50000,1.161081089531175
83,19,8.0,fit,sim,clean,wiener,6.149078585926725e-05,6.883710534328319e-05,5.766545630481982e-07,0.7408,0.00217134148794764,50000,1.1194702487756347
83,21,10.0,fit,sim,clean,wiener,6.009727772380972e-05,6.720116179037185e-05,5.691089966809824e-07,0.74696,0.002142929328653188,50000,1.118206420251007
71,11,3.0,fit,sim,clean,wiener,7.924329016605296e-05,9.008312551096318e-05,6.488566053789281e-07,0.6608,0.0024432118590040153,50000,1.1367918384281563
71,9,2.0,fit,sim,clean,wiener,8.99044630030141e-05,0.00010406300678129663,6.887068698457134e-07,0.60816,0.0025932644868459356,50000,1.1574843261986656
83,27,30.0,fit,sim,clean,wiener,5.702474442658617e-05,6.28351046459136e-05,5.52561402205032e-07,0.7634,0.002080620832867712,50000,1.101891911621063
83,29,40.0,fit,sim,clean,wiener,5.3851139653342225e-05,5.9228592722449914e-05,5.398742057917575e-07,0.77698,0.0020328483227669276,50000,1.0998577393853528
71,21,10.0,fit,sim,clean,wiener,5.698036241391707e-05,6.294664625179392e-05,5.534213608032411e-07,0.76298,0.0020838589305120594,50000,1.1047077200832198
71,23,20.0,fit,sim,clean,wiener,4.5108092898651265e-05,4.917922518313728e-05,4.946582706599225e-07,0.81482,0.0018625917390868696,50000,1.0902528132508953
83,7,1.8,fit,sim,clean,wiener,9.790539026846653e-05,0.00011383617605842944,7.191980331036822e-07,0.57136,0.002708076251185133,50000,1.1627161257033864
83,9,2.0,fit,sim,clean,wiener,9.302144558836065e-05,0.00010724990980644863,7.023815906259062e-07,0.59616,0.0026447554321515233,50000,1.1529589669144888
83,11,3.0,fit,sim,clean,wiener,8.216394714743036e-05,9.451823222096639e-05,6.615030324470797e-07,0.6441,0.0024908308557604606,50000,1.1503613872318987
91,5,1.4,fit,sim,clean,wiener,0.0001324760615488972,0.00015834658830971902,8.05504414261348e-07,0.40376,0.0030330552561056204,50000,1.1952845401527352
83,13,4.0,fit,sim,clean,wiener,7.631429894315249e-05,8.579142943709184e-05,6.337160991300166e-07,0.67696,0.002386201628836038,50000,1.1241855147093598
91,7,1.8,fit,sim,clean,wiener,0.0001297392644256211,0.00015565365525346562,8.068514526667146e-07,0.4139,0.003038127409458523,50000,1.1997420822645493
91,9,2.0,fit,sim,clean,wiener,0.00012916102794205823,0.0001535502992568653,8.150733140203373e-07,0.42182,0.0030690860973962477,50000,1.1888284082544474
91,11,3.0,fit,sim,clean,wiener,0.00012333505278279032,0.00014831846679057406,8.039204252554876e-07,0.44152,0.0030270908863333657,50000,1.2025653976228714
83,17,6.0,fit,sim,clean,wiener,6.861449660931102e-05,7.744705501623551e-05,6.070785322217247e-07,0.70838,0.0022859002389359617,50000,1.1287272929686685
83,15,5.0,fit,sim,clean,wiener,7.156905250468963e-05,8.05755314859264e-05,6.177375873488177e-07,0.6966,0.002326035963341638,50000,1.1258432054922987
91,13,4.0,fit,sim,clean,wiener,0.00012385432430970855,0.0001477129552157952,7.960179346676123e-07,0.4438,0.002997334760619443,50000,1.192634621673976
91,15,5.0,fit,sim,clean,wiener,0.00012409896951908915,0.00014973132713172482,7.910642067075367e-07,0.4362,0.002978681938411879,50000,1.2065477071402504
91,17,6.0,fit,sim,clean,wiener,0.00012675094416714908,0.00015375744795350014,8.087734173734256e-07,0.42104,0.0030453643966835836,50000,1.2130674762527767
91,19,8.0,fit,sim,clean,wiener,0.0001287326495107248,0.00015933452824751617,8.154129429276083e-07,0.40004,0.0030703649398508464,50000,1.2377165299797694
83,23,20.0,fit,sim,clean,wiener,5.788126384647457e-05,6.47738039862144e-05,5.591812633778921e-07,0.7561,0.002105547331555425,50000,1.1190806779551623
91,21,10.0,fit,sim,clean,wiener,0.00013262641031620208,0.00016405114472474113,8.1952487999001e-07,0.38228,0.0030858480732751732,50000,1.2369417549160653
91,23,20.0,fit,sim,clean,wiener,0.00013292409232752573,0.00016947950287758337,8.176218356606595e-07,0.36184,0.0030786823290488903,50000,1.2750096683751273
