channel,wp,vbias,gen,seed,train,nps,filter,BI_analytic,BI_mc,sigma_BI,rp,sigma_rp,nsim,ratio
31,1,0.6,fit,1234,sim,clean,wiener,8.450434146686892e-05,9.801320253854977e-05,6.795618663202892e-07,0.63094,0.0025588297891350267,50000,1.1598599650288641
31,3,1.0,fit,1234,sim,clean,wiener,4.997187868686804e-05,5.4331385073799675e-05,5.229264517961629e-07,0.79542,0.001969033061887618,50000,1.0872391933521055
31,1,0.6,fit,1261,sim,clean,wiener,8.450434146686892e-05,9.720585377217792e-05,6.787941209736414e-07,0.63398,0.002555938912290936,50000,1.1503060326230552
31,3,1.0,fit,1261,sim,clean,wiener,4.997187868686804e-05,5.2652949480552954e-05,5.150155605795554e-07,0.80174,0.0019392453043530873,50000,1.053651590937474
31,5,1.4,fit,1234,sim,clean,wiener,4.810016079564292e-05,5.216429101669633e-05,5.136844222555669e-07,0.80358,0.0019342330213429695,50000,1.084493069333389
31,1,0.6,fit,1288,sim,clean,wiener,8.450434146686892e-05,9.610106072345855e-05,6.727675891185711e-07,0.63814,0.0025332465423976306,50000,1.1372322303835276
31,3,1.0,fit,1288,sim,clean,wiener,4.997187868686804e-05,5.343905222675711e-05,5.151782730006738e-07,0.79878,0.001939857983508371,50000,1.0693824933342
31,7,1.8,fit,1234,sim,clean,wiener,6.143588117413385e-05,6.988878334158335e-05,5.932644263350897e-07,0.73684,0.002233884451404519,50000,1.1375890115987854
31,5,1.4,fit,1261,sim,clean,wiener,4.810016079564292e-05,5.111792452343808e-05,5.069606061209098e-07,0.80752,0.0019089150894890388,50000,1.0627391609066827
31,1,0.6,fit,1315,sim,clean,wiener,8.450434146686892e-05,9.726959183268096e-05,6.769071784237319e-07,0.63374,0.0025488337978835612,50000,1.1510602904445666
31,3,1.0,fit,1315,sim,clean,wiener,4.997187868686804e-05,5.381085757969153e-05,5.21762637317492e-07,0.79738,0.0019646508219406133,50000,1.0768227850083276
31,7,1.8,fit,1261,sim,clean,wiener,6.143588117413385e-05,6.865651417185791e-05,5.89841517664073e-07,0.74148,0.0022209957931278077,50000,1.1175312026087476
31,5,1.4,fit,1288,sim,clean,wiener,4.810016079564292e-05,5.186684673434881e-05,5.121750069467622e-07,0.8047,0.0019285494521967786,50000,1.0783092171917872
31,1,0.6,fit,1342,sim,clean,wiener,8.450434146686892e-05,9.607450319824895e-05,6.751585598239455e-07,0.63824,0.002542249530012268,50000,1.1369179562912313
31,3,1.0,fit,1342,sim,clean,wiener,4.997187868686804e-05,5.398082574103296e-05,5.208968012460134e-07,0.79674,0.001961390593193224,50000,1.080224061202214
31,9,2.0,fit,1234,sim,clean,wiener,6.242440690669306e-05,7.017029310880512e-05,5.920990079109981e-07,0.73578,0.002229496171943636,50000,1.124084257839886
31,7,1.8,fit,1288,sim,clean,wiener,6.143588117413385e-05,6.862995664664831e-05,5.867548083558747e-07,0.74158,0.0022093730636609725,50000,1.117098922242583
31,5,1.4,fit,1315,sim,clean,wiener,4.810016079564292e-05,5.174999362342657e-05,5.120367570851616e-07,0.80514,0.0019280288846344421,50000,1.0758798467075865
31,1,0.6,fit,1369,sim,clean,wiener,8.450434146686892e-05,9.759890514528001e-05,6.725320798854209e-07,0.6325,0.0025323597533188614,50000,1.1549572891890412
31,9,2.0,fit,1261,sim,clean,wiener,6.242440690669306e-05,6.910799210042112e-05,5.883592645584349e-07,0.73978,0.0022154145008427034,50000,1.1070668593410609
