channel,wp,vbias,gen,train,nps,filter,BI_analytic,BI_mc,sigma_BI,rp,sigma_rp,nsim,ratio
31,3,1.0,fit,sim,clean,wiener,5.2235757070955985e-05,5.389584166036224e-05,5.227533393478997e-07,0.79706,0.001968381222354766,50000,1.031780617004387
31,7,1.8,fit,sim,clean,wiener,6.515801833935848e-05,6.754640961809664e-05,5.8586999934923e-07,0.74566,0.002206041394013061,50000,1.036655370123426
31,5,1.4,fit,sim,clean,wiener,5.0029901787158204e-05,5.1388811280576e-05,5.108427946739216e-07,0.8065,0.001923533125327741,50000,1.0271619460537618
31,1,0.6,fit,sim,clean,wiener,9.106180659366077e-05,9.365776840417535e-05,6.609203896425824e-07,0.64734,0.002488636966081739,50000,1.0285076906292707
34,5,1.4,fit,sim,clean,wiener,0.0001450993190411761,0.0001798528722244531,1.0492474374043637e-06,0.32278,0.003950847939043214,50000,1.239515618770166
34,3,1.0,fit,sim,clean,wiener,0.00015901743906661178,0.00024248613967877374,4.716109220004789e-07,0.08694,0.0017758089968036678,50000,1.5249028100446094
34,9,2.0,fit,sim,clean,wiener,0.00012735660529162115,0.00013544869007400188,7.812534104775794e-07,0.48998,0.002941740257466356,50000,1.0635387914419632
34,7,1.8,fit,sim,clean,wiener,0.00013400334890310448,0.00015094235028128254,8.733033118616935e-07,0.43164,0.0032883459771545745,50000,1.1264072988983758
34,17,6.0,fit,sim,clean,wiener,8.82047367883482e-05,8.909518557316607e-05,6.469750085293671e-07,0.66452,0.002436126873356027,50000,1.010095249044896
34,15,5.0,fit,sim,clean,wiener,9.328857662885902e-05,9.502813670499072e-05,6.673558009660714e-07,0.64218,0.0025128689352607145,50000,1.0186470856239174
34,13,4.0,fit,sim,clean,wiener,0.00010180040160591021,0.0001040523837712128,6.91870198202655e-07,0.6082,0.002605175718528766,50000,1.0221215450015657
34,11,3.0,fit,sim,clean,wiener,0.0001130654547465052,0.0001169593410230784,7.228321342295058e-07,0.5596,0.002721760135873718,50000,1.0344392218233533
31,9,2.0,fit,sim,clean,wiener,6.605289664010302e-05,6.877867878782208e-05,5.879900955098573e-07,0.74102,0.00221402442761237,50000,1.0412666557618329
31,11,3.0,fit,sim,clean,wiener,6.785579569937846e-05,7.027652320964351e-05,5.896391981212574e-07,0.73538,0.0022202339768771636,50000,1.0356745873409192
31,23,20.0,fit,sim,clean,wiener,5.431081304287334e-05,5.6238215383848946e-05,5.334850741595564e-07,0.78824,0.002008790615650861,50000,1.0354883720752643
34,25,26.0,fit,sim,clean,wiener,6.56130892963676e-05,6.619197583240704e-05,5.623462488328298e-07,0.75076,0.002117464802893431,50000,1.0088227294621759
34,23,20.0,fit,sim,clean,wiener,6.796565255820095e-05,6.851310353572608e-05,5.70306755730227e-07,0.74202,0.0021474393838627434,50000,1.0080548182342004
31,21,10.0,fit,sim,clean,wiener,6.313191515359509e-05,6.476849248117247e-05,5.666800180089027e-07,0.75612,0.002133783225419135,50000,1.025923137664931
71,3,1.0,fit,sim,clean,wiener,6.841286020186424e-05,7.102013391551231e-05,5.927080358018692e-07,0.73258,0.002231789412319253,50000,1.0381108713472122
71,1,0.6,fit,sim,clean,wiener,0.00013345295654269273,0.00016922986214061312,1.0602343039462616e-06,0.36278,0.003992218008186278,50000,1.2680862719326496
34,29,40.0,fit,sim,clean,wiener,6.310955991600546e-05,6.387084812908801e-05,5.57370076914726e-07,0.7595,0.00209872746995736,50000,1.0120629618412136
31,15,5.0,fit,sim,clean,wiener,7.24806190753785e-05,7.38564776078976e-05,6.024707936175926e-07,0.7219,0.002268550208886978,50000,1.0189824335121673
34,27,30.0,fit,sim,clean,wiener,6.30558384873846e-05,6.36849454526208e-05,5.551862857534654e-07,0.7602,0.0020905045984961615,50000,1.0099769819944915
31,17,6.0,fit,sim,clean,wiener,6.828891507152129e-05,6.981442227099648e-05,5.881147310363541e-07,0.73712,0.0022144937316062973,50000,1.0223390164842636
31,13,4.0,fit,sim,clean,wiener,7.635463255644927e-05,7.802600906580479e-05,6.146969988900723e-07,0.7062,0.002314586897832905,50000,1.0218896542802411
31,19,8.0,fit,sim,clean,wiener,6.308086495623161e-05,6.470475442066943e-05,5.658509551069812e-07,0.75636,0.0021306614627722834,50000,1.0257429803089186
31,27,30.0,fit,sim,clean,wiener,5.708932094756114e-05,5.8978951985479695e-05,5.437298419051539e-07,0.77792,0.002047366377754983,50000,1.0330995535864624
34,1,0.6,fit,sim,clean,wiener,0.00015110082773178154,0.00023916113752253182,5.107406569755718e-07,0.09946,0.0019231485349054645,50000,1.5827917100961604
31,29,40.0,fit,sim,clean,wiener,5.39474306147568e-05,5.618510033342975e-05,5.325347215471427e-07,0.78844,0.0020052121473827776,50000,1.041478707941669
31,25,26.0,fit,sim,clean,wiener,5.585310678067772e-05,5.782635539138305e-05,5.388529655212147e-07,0.78226,0.00202900293332464,50000,1.0353292542607133
71,5,1.4,fit,sim,clean,wiener,9.906178408799946e-05,0.00010234207914771456,6.893972270756056e-07,0.61464,0.0025958639656168065,50000,1.0331136279233688
71,7,1.8,fit,sim,clean,wiener,9.545688033724734e-05,9.814599016459775e-05,6.716027184859008e-07,0.63044,0.002528860325596642,50000,1.0281709376825414
71,11,3.0,fit,sim,clean,wiener,8.432372666007288e-05,8.675812335472127e-05,6.420471062115377e-07,0.67332,0.0024175712953082348,50000,1.0288696526004117
34,19,8.0,fit,sim,clean,wiener,8.136488096516389e-05,8.223272105900544e-05,6.230357004033334e-07,0.69036,0.002345985537003722,50000,1.0106660279416266
34,21,10.0,fit,sim,clean,wiener,7.766900497123414e-05,7.857840559016449e-05,6.105387410256641e-07,0.70412,0.0022989293475469126,50000,1.0117086683325884
71,9,2.0,fit,sim,clean,wiener,9.642301917317979e-05,9.969163813179649e-05,6.75891647799845e-07,0.62462,0.002545009907608123,50000,1.0338987410542095
71,15,5.0,fit,sim,clean,wiener,7.843963342340341e-05,8.007093850694399e-05,6.111165150375144e-07,0.6985,0.0023011049042197967,50000,1.0207969493525688
71,13,4.0,fit,sim,clean,wiener,7.276659515772531e-05,7.436638209192193e-05,5.979397053660101e-07,0.71998,0.002251488798925689,50000,1.0219851833211242
71,17,6.0,fit,sim,clean,wiener,6.929229284987159e-05,7.058459050207488e-05,5.840890335025429e-07,0.73422,0.0021993353254594924,50000,1.0186499479098372
71,19,8.0,fit,sim,clean,wiener,6.551822299162364e-05,6.669125730634752e-05,5.68149427062939e-07,0.74888,0.002139316154569872,50000,1.0179039397157315
71,23,20.0,fit,sim,clean,wiener,4.6361240693016725e-05,4.781416838736383e-05,4.892950762392077e-07,0.81996,0.0018423971073266178,50000,1.0313392754945396
71,21,10.0,fit,sim,clean,wiener,5.949161659933763e-05,6.062020704343296e-05,5.453969334296066e-07,0.77174,0.0020536436626725175,50000,1.0189705795304929
83,1,0.6,fit,sim,clean,wiener,0.00014757548314132363,0.00021552494008598785,9.851649230857287e-07,0.18846,0.003709550928825295,50000,1.4604386548380355
71,29,40.0,fit,sim,clean,wiener,4.4303233112590984e-05,4.5254022957158395e-05,4.7451661312412996e-07,0.8296,0.0017867501183905568,50000,1.021460958439559
83,7,1.8,fit,sim,clean,wiener,0.00010558768515477806,0.00010896021442994688,7.071906570699902e-07,0.58972,0.0026628635442821885,50000,1.0319405550962228
83,13,4.0,fit,sim,clean,wiener,8.115701564216283e-05,8.24080007253888e-05,6.275303106311701e-07,0.6897,0.0023629095922097845,50000,1.0154143800548534
83,9,2.0,fit,sim,clean,wiener,9.986791023554473e-05,0.00010223053754183422,6.912935626113452e-07,0.61506,0.0026030044484772127,50000,1.0236575222282822
83,11,3.0,fit,sim,clean,wiener,8.842504411293925e-05,9.019466711684352e-05,6.553128658711616e-07,0.66038,0.00246752233387424,50000,1.020012690088614
91,1,0.6,fit,sim,clean,wiener,0.00011236496689108554,0.00012493722159604223,7.863664094354207e-07,0.52956,0.0029609928004555386,50000,1.1118876732918266
91,3,1.0,fit,sim,clean,wiener,0.00013526125742517757,0.00017269827493298688,1.043245401725422e-06,0.34972,0.0039282478073232145,50000,1.276775613508682
71,25,26.0,fit,sim,clean,wiener,4.504826127586535e-05,4.664032577309952e-05,4.819905481927716e-07,0.82438,0.0018148925563988242,50000,1.0353413084577165
71,27,30.0,fit,sim,clean,wiener,4.4830795349856236e-05,4.6241962894955535e-05,4.787559120589851e-07,0.82588,0.0018027128216221164,50000,1.0314776379514718
83,3,1.0,fit,sim,clean,wiener,0.00013180426469587173,0.0001472827233073997,8.497127902835357e-07,0.44542,0.003199517965538378,50000,1.1174351880589246
83,5,1.4,fit,sim,clean,wiener,0.00011732532065729173,0.00012212743542886658,7.458393947991677e-07,0.54014,0.0028083919300189992,50000,1.040929909627964
91,5,1.4,fit,sim,clean,wiener,0.00013887160653031511,0.0001745413671825331,9.868257099653747e-07,0.34278,0.0037158044741633436,50000,1.2568542378346537
91,11,3.0,fit,sim,clean,wiener,0.00013263686571321248,0.00014204026783102463,8.105129585555364e-07,0.46516,0.003051914484345675,50000,1.070895840815058
91,15,5.0,fit,sim,clean,wiener,0.00013394409901512573,0.00014575832136036864,8.173826352109035e-07,0.45116,0.0030777816410221706,50000,1.0882026340250255
91,13,4.0,fit,sim,clean,wiener,0.00013293176964402845,0.00014315037238478594,8.146361893703377e-07,0.46098,0.0030674401433905575,50000,1.076871035179336
83,15,5.0,fit,sim,clean,wiener,7.599850796259355e-05,7.712836471372032e-05,6.072389121335531e-07,0.70958,0.0022865041352348927,50000,1.0148668280656628
83,17,6.0,fit,sim,clean,wiener,7.28254097339436e-05,7.410611834486783e-05,5.941485132771052e-07,0.72096,0.0022372134021822663,50000,1.017586013118266
83,19,8.0,fit,sim,clean,wiener,6.458777180528994e-05,6.610699175173632e-05,5.675826544013324e-07,0.75108,0.0021371820225032224,50000,1.02352178909386
91,19,8.0,fit,sim,clean,wiener,0.00013866568032333795,0.00015680625184756226,8.380341132685149e-07,0.40956,0.0031555429455662636,50000,1.1308223598075924
83,21,10.0,fit,sim,clean,wiener,6.318161984188076e-05,6.442855615848961e-05,5.609286699761151e-07,0.7574,0.0021121270357425882,50000,1.0197357446632336
83,27,30.0,fit,sim,clean,wiener,5.952774351807648e-05,6.082735574006784e-05,5.439478012530259e-07,0.77096,0.0020481870843010626,50000,1.0218320424256753
83,23,20.0,fit,sim,clean,wiener,6.0825605745000845e-05,6.201713286945791e-05,5.494121443642453e-07,0.76648,0.002068762582462481,50000,1.0195892356494123
83,25,26.0,fit,sim,clean,wiener,6.049508539741967e-05,6.17993611627392e-05,5.485953618846315e-07,0.7673,0.002065687060654001,50000,1.0215600285006814
91,17,6.0,fit,sim,clean,wiener,0.0001366010203877364,0.00014985349174768896,8.26064350196939e-07,0.43574,0.0031104718669280737,50000,1.0970159031194346
83,29,40.0,fit,sim,clean,wiener,5.6010468024705716e-05,5.761389518970624e-05,5.321326482291277e-07,0.78306,0.0020036981760513314,50000,1.028627276677875
91,21,10.0,fit,sim,clean,wiener,0.00014182018678243646,0.0001626701534138419,8.402472441471795e-07,0.38748,0.0031638762931248104,50000,1.1470169170161293
91,23,20.0,fit,sim,clean,wiener,0.00014180880535859014,0.00022204215677242364,7.330328239544344e-07,0.16392,0.0027601699261099,50000,1.565785398240599
91,25,26.0,fit,sim,clean,wiener,0.00014537611400275676,0.00023279264297726976,6.147733551876914e-07,0.12344,0.0023148744106829032,50000,1.6013128743615703
91,27,30.0,fit,sim,clean,wiener,0.000145312162747765,0.00023778014621163263,5.438065481704531e-07,0.10466,0.0020476552083771656,50000,1.6363402878007873
91,29,40.0,fit,sim,clean,wiener,0.00014451167982358718,0.00023640977791081726,5.741079721365422e-07,0.10982,0.0021617525262821323,50000,1.6359215960911588
91,7,1.8,fit,sim,clean,wiener,0.0001374125523158707,0.00016485849349111295,9.401875922397345e-07,0.37924,0.0035401927883697386,50000,1.199733872289572
91,9,2.0,fit,sim,clean,wiener,0.00013499348528917741,0.00016568708827765247,9.794866520956416e-07,0.37612,0.0036881699042559035,50000,1.2273709944055782
