channel,wp,vbias,gen,seed,train,nps,filter,BI_analytic,BI_mc,sigma_BI,rp,sigma_rp,nsim,ratio
31,3,1.0,fit,1234,sim,clean,wiener,5.2235757070955985e-05,5.3391248681379835e-05,5.22700576069025e-07,0.79896,0.001968182546919242,50000,1.0221207018949539
31,5,1.4,fit,1234,sim,clean,wiener,5.0029901787158204e-05,5.0894841311677447e-05,5.097126621552144e-07,0.80836,0.0019192777118063836,50000,1.0172884513785165
31,1,0.6,fit,1234,sim,clean,wiener,9.106180659366077e-05,9.395521268652287e-05,6.680062379147154e-07,0.64622,0.002515318097761778,50000,1.0317740905995108
31,7,1.8,fit,1234,sim,clean,wiener,6.515801833935848e-05,6.806693711220479e-05,5.877769999634975e-07,0.7437,0.0022132220352784537,50000,1.044644064490973
31,11,3.0,fit,1234,sim,clean,wiener,6.785579569937846e-05,7.050491792644609e-05,5.963191427468649e-07,0.73452,0.0022453867144642974,50000,1.0390404710425036
31,9,2.0,fit,1234,sim,clean,wiener,6.605289664010302e-05,6.907081156512767e-05,5.901830665133743e-07,0.73992,0.002222281864953423,50000,1.0456893653198605
31,3,1.0,fit,1235,sim,clean,wiener,5.2235757070955985e-05,5.2376751218373106e-05,5.16465881083207e-07,0.80278,0.0019447063572644759,50000,1.0026991883591463
31,1,0.6,fit,1235,sim,clean,wiener,9.106180659366077e-05,9.223959655798271e-05,6.638627427672689e-07,0.65268,0.0024997161351739813,50000,1.0129339621997344
31,5,1.4,fit,1235,sim,clean,wiener,5.0029901787158204e-05,5.019372264614399e-05,5.066265328622001e-07,0.811,0.001907657166335156,50000,1.0032744589362323
31,7,1.8,fit,1235,sim,clean,wiener,6.515801833935848e-05,6.664345376097025e-05,5.796397062603913e-07,0.74906,0.002182581779310007,50000,1.0227974309144159
31,9,2.0,fit,1235,sim,clean,wiener,6.605289664010302e-05,6.748798306263553e-05,5.800353776541833e-07,0.74588,0.002184071644764974,50000,1.021726320805456
31,11,3.0,fit,1235,sim,clean,wiener,6.785579569937846e-05,6.899113898949888e-05,5.8714716667372e-07,0.74022,0.0022108504540230218,50000,1.0167317069738646
31,13,4.0,fit,1234,sim,clean,wiener,7.635463255644927e-05,7.900863749855999e-05,6.175390574531618e-07,0.7025,0.002325288416670444,50000,1.0347589249434028
31,15,5.0,fit,1234,sim,clean,wiener,7.24806190753785e-05,7.480192550535937e-05,6.061006578888111e-07,0.71834,0.002282218140076238,50000,1.0320265811687777
31,17,6.0,fit,1234,sim,clean,wiener,6.828891507152129e-05,7.062177103736832e-05,5.845025230916591e-07,0.73408,0.0022008922837447728,50000,1.0341615614101316
31,21,10.0,fit,1234,sim,clean,wiener,6.313191515359509e-05,6.556521823746048e-05,5.689833404847054e-07,0.75312,0.0021424561814179493,50000,1.038543153299648
31,23,20.0,fit,1234,sim,clean,wiener,5.431081304287334e-05,5.634444548468736e-05,5.3240800976313e-07,0.78784,0.0020047350254257705,50000,1.037444338021761
31,19,8.0,fit,1234,sim,clean,wiener,6.308086495623161e-05,6.523590492486143e-05,5.646354207477465e-07,0.75436,0.0021260844762133273,50000,1.034163132831566
31,13,4.0,fit,1235,sim,clean,wiener,7.635463255644927e-05,7.689465849187584e-05,6.101503174493553e-07,0.71046,0.0022974667731042895,50000,1.007072602111304
31,17,6.0,fit,1235,sim,clean,wiener,6.828891507152129e-05,6.898582748445695e-05,5.816726020153374e-07,0.74024,0.002190236467534538,50000,1.010205351955083
31,23,20.0,fit,1235,sim,clean,wiener,5.431081304287334e-05,5.5000634709081587e-05,5.29637922091011e-07,0.7929,0.0019943045065793927,50000,1.0127013687985797
31,15,5.0,fit,1235,sim,clean,wiener,7.24806190753785e-05,7.299601379110655e-05,5.996065032382287e-07,0.72514,0.002257764978121844,50000,1.0071107935100838
31,21,10.0,fit,1235,sim,clean,wiener,6.313191515359509e-05,6.39770782299264e-05,5.655981265807e-07,0.7591,0.0021297094594350525,50000,1.0133872554677787
31,19,8.0,fit,1235,sim,clean,wiener,6.308086495623161e-05,6.37646180282496e-05,5.628110597344974e-07,0.7599,0.0021192150070182473,50000,1.0108393103438327
31,17,6.0,fit,1236,sim,clean,wiener,6.828891507152129e-05,6.927796026176256e-05,5.809976578854967e-07,0.73914,0.002187695025421563,50000,1.0144832465006275
31,13,4.0,fit,1236,sim,clean,wiener,7.635463255644927e-05,7.798351702546944e-05,6.109109804736791e-07,0.70636,0.0023003309820933443,50000,1.021333145278591
31,23,20.0,fit,1236,sim,clean,wiener,5.431081304287334e-05,5.564332681915393e-05,5.305137357798331e-07,0.79048,0.0019976023051577986,50000,1.024534962774884
31,21,10.0,fit,1236,sim,clean,wiener,6.313191515359509e-05,6.439137562319616e-05,5.651323230099662e-07,0.75754,0.0021279555175031236,50000,1.0199496635978316
31,19,8.0,fit,1236,sim,clean,wiener,6.308086495623161e-05,6.41682924114355e-05,5.648271947322239e-07,0.75838,0.0021268065841016336,50000,1.0172386262610444
31,5,1.4,fit,1236,sim,clean,wiener,5.0029901787158204e-05,5.202088038056449e-05,5.097816090963494e-07,0.80412,0.0019195373253832924,50000,1.0397957725737
31,3,1.0,fit,1236,sim,clean,wiener,5.2235757070955985e-05,5.395957972086528e-05,5.194830250111259e-07,0.79682,0.0019560671444767883,50000,1.0330008168076839
31,9,2.0,fit,1236,sim,clean,wiener,6.605289664010302e-05,6.828470881892352e-05,5.808848295890701e-07,0.74288,0.002187270180502708,50000,1.0337882559637133
31,11,3.0,fit,1236,sim,clean,wiener,6.785579569937846e-05,7.035088428023041e-05,5.910329185072195e-07,0.7351,0.0022254819070775967,50000,1.036770456453063
31,15,5.0,fit,1236,sim,clean,wiener,7.24806190753785e-05,7.380336255747841e-05,5.986027114153474e-07,0.7221,0.0022539852892579197,50000,1.0182496162280883
31,7,1.8,fit,1236,sim,clean,wiener,6.515801833935848e-05,6.765795122397695e-05,5.824074677180207e-07,0.74524,0.0021930035390025438,50000,1.038367233202186
31,1,0.6,fit,1236,sim,clean,wiener,9.106180659366077e-05,9.362589937392383e-05,6.638001051404972e-07,0.64746,0.0024994802787593595,50000,1.028157719203888
31,17,6.0,fit,1237,sim,clean,wiener,6.828891507152129e-05,6.986753732141567e-05,5.849048118317615e-07,0.73692,0.002202407066228936,50000,1.0231168154925443
31,13,4.0,fit,1237,sim,clean,wiener,7.635463255644927e-05,7.761702317757695e-05,6.200989346890035e-07,0.70774,0.002334927406808412,50000,1.0165332551393575
31,23,20.0,fit,1237,sim,clean,wiener,5.431081304287334e-05,5.523965243596799e-05,5.281330052261654e-07,0.792,0.0019886378759239815,50000,1.017102292178197
31,19,8.0,fit,1237,sim,clean,wiener,6.308086495623161e-05,6.473662345092095e-05,5.688988871395971e-07,0.75624,0.0021421381798555233,50000,1.0262481894602773
31,21,10.0,fit,1237,sim,clean,wiener,6.313191515359509e-05,6.412048886605823e-05,5.646456794373125e-07,0.75856,0.002126123104396808,50000,1.0156588582820276
31,9,2.0,fit,1237,sim,clean,wiener,6.605289664010302e-05,6.70365051340723e-05,5.807565307006762e-07,0.74758,0.0021867870824452598,50000,1.0148912242157764
31,11,3.0,fit,1237,sim,clean,wiener,6.785579569937846e-05,6.946917444327169e-05,5.866508687956391e-07,0.73842,0.0022089816884879655,50000,1.0237765798376453
31,15,5.0,fit,1237,sim,clean,wiener,7.24806190753785e-05,7.425484048604159e-05,6.031893742991574e-07,0.7204,0.002271255960555831,50000,1.0244785631427615
31,5,1.4,fit,1237,sim,clean,wiener,5.0029901787158204e-05,5.001313147471873e-05,5.050863859751316e-07,0.81168,0.0019018578801632967,50000,0.9996647942162505
31,3,1.0,fit,1237,sim,clean,wiener,5.2235757070955985e-05,5.267950700576255e-05,5.174451345739058e-07,0.80164,0.001948393649220222,50000,1.0084951374248061
31,7,1.8,fit,1237,sim,clean,wiener,6.515801833935848e-05,6.654784667021568e-05,5.78913686928512e-07,0.74942,0.00217984801806475,50000,1.02133011970405
31,1,0.6,fit,1237,sim,clean,wiener,9.106180659366077e-05,9.264327094116864e-05,6.607137858657075e-07,0.65116,0.0024878590179286475,50000,1.0173669335879172
31,13,4.0,fit,1238,sim,clean,wiener,7.635463255644927e-05,7.782948337925375e-05,6.13434785572238e-07,0.70694,0.0023098341458054755,50000,1.0193158001476088
31,17,6.0,fit,1238,sim,clean,wiener,6.828891507152129e-05,6.9846291301248e-05,5.846591135653754e-07,0.737,0.0022014819112514037,50000,1.022805695889232
31,11,3.0,fit,1238,sim,clean,wiener,6.785579569937846e-05,6.90230080197504e-05,5.86783215232783e-07,0.7401,0.0022094800272303722,50000,1.017201365164783
31,21,10.0,fit,1238,sim,clean,wiener,6.313191515359509e-05,6.458258980470526e-05,5.660810209645198e-07,0.75682,0.002131527755304147,50000,1.0229784673501634
31,23,20.0,fit,1238,sim,clean,wiener,5.431081304287334e-05,5.6424118060316156e-05,5.342685176231997e-07,0.78754,0.0020117406023588092,50000,1.0389113124816334
31,9,2.0,fit,1238,sim,clean,wiener,6.605289664010302e-05,6.799257604161792e-05,5.867589090223227e-07,0.74398,0.0022093885043559004,50000,1.0293655464056857
31,19,8.0,fit,1238,sim,clean,wiener,6.308086495623161e-05,6.450291722907648e-05,5.631242279044278e-07,0.75712,0.002120394213918961,50000,1.0225433223503126
31,15,5.0,fit,1238,sim,clean,wiener,7.24806190753785e-05,7.449385821292799e-05,6.055857470067117e-07,0.7195,0.0022802792889293952,50000,1.027776240921118
31,5,1.4,fit,1238,sim,clean,wiener,5.0029901787158204e-05,5.139943429065985e-05,5.107786653819848e-07,0.80646,0.001923291652180561,50000,1.0273742792725846
31,3,1.0,fit,1238,sim,clean,wiener,5.2235757070955985e-05,5.342842921667328e-05,5.20462906214141e-07,0.79882,0.0019597568000274527,50000,1.022832485113544
31,7,1.8,fit,1238,sim,clean,wiener,6.515801833935848e-05,6.698339008365312e-05,5.782975492247055e-07,0.74778,0.0021775280063206447,50000,1.0280145374401608
31,1,0.6,fit,1238,sim,clean,wiener,9.106180659366077e-05,9.343999669745665e-05,6.635582649821275e-07,0.64816,0.002498569651144546,50000,1.0261162192224882
31,13,4.0,fit,1239,sim,clean,wiener,7.635463255644927e-05,7.773918779354112e-05,6.115881211205963e-07,0.70728,0.0023028806949960826,50000,1.018133218519102
31,17,6.0,fit,1239,sim,clean,wiener,6.828891507152129e-05,6.908674608025345e-05,5.845219658442547e-07,0.73986,0.002200965493701055,50000,1.011683170070817
31,11,3.0,fit,1239,sim,clean,wiener,6.785579569937846e-05,6.971350367519999e-05,5.912207874622777e-07,0.7375,0.002226189310924813,50000,1.0273772926346887
31,23,20.0,fit,1239,sim,clean,wiener,5.431081304287334e-05,5.5298078991429105e-05,5.307969562228124e-07,0.79178,0.001998668746555271,50000,1.01817807344877
31,19,8.0,fit,1239,sim,clean,wiener,6.308086495623161e-05,6.371681448287233e-05,5.620462114412815e-07,0.76008,0.0021163350387712835,50000,1.0100814966167944
31,21,10.0,fit,1239,sim,clean,wiener,6.313191515359509e-05,6.417891542151936e-05,5.670911957540245e-07,0.75834,0.002135331478661395,50000,1.0165843260952403
31,9,2.0,fit,1239,sim,clean,wiener,6.605289664010302e-05,6.797664152649215e-05,5.83018887028607e-07,0.74404,0.0021953057840564815,50000,1.0291243077025203
31,15,5.0,fit,1239,sim,clean,wiener,7.24806190753785e-05,7.325096603311871e-05,5.982431236917562e-07,0.72418,0.0022526312936549664,50000,1.010628316473664
31,5,1.4,fit,1239,sim,clean,wiener,5.0029901787158204e-05,5.0698315625126385e-05,5.111682914017335e-07,0.8091,0.00192475875431705,50000,1.0133602868303002
31,3,1.0,fit,1239,sim,clean,wiener,5.2235757070955985e-05,5.262108045030143e-05,5.1433167383103e-07,0.80186,0.0019366701896045256,50000,1.007376620938451
31,1,0.6,fit,1239,sim,clean,wiener,9.106180659366077e-05,9.223428505294082e-05,6.721220452593523e-07,0.6527,0.0025308158043897628,50000,1.0128756336288376
31,7,1.8,fit,1239,sim,clean,wiener,6.515801833935848e-05,6.667532279122174e-05,5.768359166138261e-07,0.74894,0.002172024358675227,50000,1.0232865346512041
31,13,4.0,fit,1240,sim,clean,wiener,7.635463255644927e-05,7.771794177337344e-05,6.16559037940028e-07,0.70736,0.002321598240325324,50000,1.017854964018277
31,17,6.0,fit,1240,sim,clean,wiener,6.828891507152129e-05,6.89114664138701e-05,5.84844021067162e-07,0.74052,0.0022021781640096227,50000,1.0091164333434905
