channel,wp,vbias,signal_amp,sigma_analytic,SNR,beta_Hz,rho_t,lambda_wiener,template,use_R,beta_R,n_events,s1,s2,s_penalty,BI,J_final
31,1,0.6,0.004763267,0.00020628143101930618,23.091108322143555,1808.0661466960003,41750.25124695804,0.9976798892021179,sim,0,,37,0.06409033162882945,0.05413586255142757,,9.106180659366077e-05,0.3428851366043091
31,3,1.0,0.004304359,0.00017095710791181773,25.178007125854492,2877.5938012562347,72452.07723334419,1.0709952116012573,sim,0,,36,0.05613735252196988,0.04465433944036786,,5.2235757070955985e-05,0.19668909907341003
31,29,40.0,0.000618823,2.774705717456527e-05,22.30229377746582,2940.590688408304,65581.91741216245,6.323450088500977,sim,0,,38,0.058340402906251324,0.05165168316761776,,5.39474306147568e-05,0.20313425362110138
34,1,0.6,0.001562028,3.867391205858439e-05,40.38970947265625,304.92503851570825,12315.833716587973,1.0109738468599971e-07,sim,0,,37,63.254518236731165,62.99852065308119,,0.00015110082773178154,0.568956732749939
34,17,6.0,0.002072425,1.4690699572383892e-05,141.070556640625,459.2900741017187,64792.30641304336,3.8158090114593506,sim,0,,37,0.034695648513779334,0.025246804325744387,,8.82047367883482e-05,0.33212709426879883
34,15,5.0,0.002204652,1.7790449419408105e-05,123.92333984375,467.7893215038151,57970.015063994506,2.0658719539642334,sim,0,,38,0.042759770238987284,0.032239724753853116,,9.328857662885902e-05,0.35126984119415283
34,23,20.0,0.0011531739999999999,9.117338777286932e-06,126.4814224243164,720.6674963942794,91151.05003891938,6.281058311462402,sim,0,,36,0.03299431959601921,0.023436727243077184,,6.796565255820095e-05,0.25591862201690674
34,25,26.0,0.000980923,8.47708997753216e-06,115.71458435058594,784.5259179429877,90781.0905070347,6.287543773651123,sim,0,,38,0.03471648519490369,0.024692498690826827,,6.56130892963676e-05,0.24706025421619415
31,15,5.0,0.002313303,0.00010827172081917524,21.365718841552734,2299.946568344927,49140.011729851765,1.3451824188232422,sim,0,,38,0.06595021498223955,0.053862744116408255,,7.24806190753785e-05,0.27291932702064514
31,13,4.0,0.002568738,0.0001196714147226885,21.464927673339844,2182.73759994505,46852.3047126999,1.0596635341644287,sim,0,,39,0.0673991103181752,0.05328226684772392,,7.635463255644927e-05,0.2875065803527832
