channel,wp,vbias,gen,seed,train,nps,filter,BI_analytic,BI_mc,sigma_BI,rp,sigma_rp,nsim,ratio
34,5,1.4,fit,1234,sim,clean,wiener,0.00014960758175724248,0.00015663097218117887,8.13575400211326e-07,0.41022,0.0030634458361249533,50000,1.0469454177484985
34,13,4.0,fit,1234,sim,clean,wiener,0.00010162987020243837,0.00010403644925608703,6.931925099653168e-07,0.60826,0.00261015476590696,50000,1.0236798398822606
34,3,1.0,fit,1234,sim,clean,wiener,0.00016669056074691645,0.00018118074848493313,8.251016950217337e-07,0.31778,0.0031068470744535955,50000,1.0869286639452662
34,7,1.8,fit,1234,sim,clean,wiener,0.00013703444843549118,0.00014192341472010238,7.840828773931275e-07,0.4656,0.0029523943635745764,50000,1.0356769143848723
34,1,0.6,fit,1234,sim,clean,wiener,0.00018793339474910023,0.00021178564053647616,7.332794399596552e-07,0.20254,0.0027610985367514202,50000,1.1269186129438027
34,11,3.0,fit,1234,sim,clean,wiener,0.00011338356475153351,0.00011616792677183232,7.282734191511656e-07,0.56258,0.002742248810472407,50000,1.0245570160578423
34,19,8.0,fit,1234,sim,clean,wiener,8.125239640626006e-05,8.339062915814399e-05,6.269126164505324e-07,0.686,0.0023605837196905544,50000,1.0263159346241657
34,21,10.0,fit,1234,sim,clean,wiener,7.747876581715221e-05,7.956634552796159e-05,6.15452802576124e-07,0.7004,0.00231743280941573,50000,1.0269438947406055
34,15,5.0,fit,1234,sim,clean,wiener,9.317064671556976e-05,9.552210667388927e-05,6.698522104614536e-07,0.64032,0.002522268943264773,50000,1.0252382058213894
34,23,20.0,fit,1234,sim,clean,wiener,6.772166427384067e-05,6.949042046343936e-05,5.76516705679627e-07,0.73834,0.0021708223982829095,50000,1.0261180260196576
34,17,6.0,fit,1234,sim,clean,wiener,8.802113811730317e-05,9.033807775297536e-05,6.535538852501683e-07,0.65984,0.002460899048733359,50000,1.0263225366682316
34,9,2.0,fit,1234,sim,clean,wiener,0.00012899458055437547,0.00013252205079590398,7.696897086020921e-07,0.501,0.0028981981661599446,50000,1.0273458793878676
34,27,30.0,fit,1234,sim,clean,wiener,6.291070950382564e-05,6.482160753159167e-05,5.579126751656694e-07,0.75592,0.0021007705754299555,50000,1.0303747651685573
34,25,26.0,fit,1234,sim,clean,wiener,6.553694931208286e-05,6.728083436600064e-05,5.672576849386536e-07,0.74666,0.002135958378883894,50000,1.0266091887434905
34,29,40.0,fit,1234,sim,clean,wiener,6.290144527808704e-05,6.502875622822655e-05,5.581095998130976e-07,0.75514,0.0021015120776816678,50000,1.0338197467599461
