channel,wp,vbias,gen,train,nps,filter,BI_analytic,BI_mc,sigma_BI,rp,sigma_rp,nsim,ratio
31,3,1.0,fit,sim,clean,wiener,5.12639196083411e-05,5.291852473264896e-05,5.173615578579415e-07,0.80074,0.0019480789485268977,50000,1.0322762117479334
31,1,0.6,fit,sim,clean,wiener,9.066153347253475e-05,9.26060904058752e-05,6.611315885275643e-07,0.6513,0.0024894322167058657,50000,1.0214485334502923
31,27,30.0,fit,sim,clean,wiener,5.616131937922496e-05,5.811317666364672e-05,5.401818195629273e-07,0.78118,0.002034006615072939,50000,1.03475447703146
31,25,26.0,fit,sim,clean,wiener,5.4968414775128034e-05,5.691808802921471e-05,5.340292092958132e-07,0.78568,0.002010839508128463,50000,1.035468973628995
34,5,1.4,fit,sim,clean,wiener,0.0001517653034324719,0.00015606264114169342,8.128236646861093e-07,0.41236,0.0030606152428400606,50000,1.0283156796186528
34,3,1.0,fit,sim,clean,wiener,0.00017127996557513332,0.00018003877490092033,8.02460409652315e-07,0.32208,0.0030215933273867028,50000,1.0511373837353142
34,7,1.8,fit,sim,clean,wiener,0.00013830413411937463,0.0001411266889638144,7.754141920898893e-07,0.4686,0.0029197531997808028,50000,1.0204083186841222
34,9,2.0,fit,sim,clean,wiener,0.00013003442162873405,0.00013295759420934143,7.554355776069898e-07,0.49936,0.002844525503204325,50000,1.0224799906362751
31,5,1.4,fit,sim,clean,wiener,4.93893840628119e-05,5.102762893772543e-05,5.086321952999381e-07,0.80786,0.001915209309925,50000,1.0331699798651075
31,11,3.0,fit,sim,clean,wiener,6.744804313073174e-05,6.95063549785651e-05,5.872640288468066e-07,0.73828,0.002211290488145796,50000,1.0305169987488565
31,7,1.8,fit,sim,clean,wiener,6.458015780686146e-05,6.681873342735361e-05,5.794639654713386e-07,0.7484,0.002181920042993593,50000,1.0346635204451964
31,13,4.0,fit,sim,clean,wiener,7.596897799571556e-05,7.735675943052287e-05,6.099789489901204e-07,0.70872,0.002296821500407069,50000,1.0182677386404433
31,15,5.0,fit,sim,clean,wiener,7.201396486816139e-05,7.320316248774144e-05,5.98912290605266e-07,0.72436,0.002255150982173488,50000,1.0165134307180164
31,9,2.0,fit,sim,clean,wiener,6.570711663662776e-05,6.826877430379775e-05,5.861783577833014e-07,0.74294,0.002207202490281022,50000,1.0389860002735536
34,29,40.0,fit,sim,clean,wiener,6.311160983865928e-05,6.382835608875264e-05,5.555516453273982e-07,0.75966,0.0020918803274884126,50000,1.0113568050621062
34,21,10.0,fit,sim,clean,wiener,7.773303537381871e-05,7.82384692674816e-05,6.089623914153727e-07,0.7054,0.002292993743239469,50000,1.0065021762141702
34,23,20.0,fit,sim,clean,wiener,6.796560506964526e-05,6.841749644497151e-05,5.70652531502861e-07,0.74238,0.0021487413717923604,50000,1.0066488244291092
34,25,26.0,fit,sim,clean,wiener,6.564503326482636e-05,6.613886078198785e-05,5.619742751722015e-07,0.75096,0.0021160641691457733,50000,1.007522694293859
34,19,8.0,fit,sim,clean,wiener,8.141608945771297e-05,8.224334406908927e-05,6.213083072705952e-07,0.69032,0.0023394811917414843,50000,1.0101608246832583
34,27,30.0,fit,sim,clean,wiener,6.310364759082243e-05,6.355215782657279e-05,5.535505267813516e-07,0.7607,0.002084345293518744,50000,1.0071075168056622
34,17,6.0,fit,sim,clean,wiener,8.825138637955135e-05,8.881367580594433e-05,6.440191031983976e-07,0.66558,0.0024249966746359257,50000,1.0063714514803732
34,15,5.0,fit,sim,clean,wiener,9.34738373993531e-05,9.46828888772659e-05,6.661090889044159e-07,0.64348,0.002508174551835241,50000,1.0129346511446546
31,23,20.0,fit,sim,clean,wiener,5.331045078780916e-05,5.538837457714175e-05,5.294560940417114e-07,0.79144,0.001993619849225725,50000,1.0389777943841314
31,21,10.0,fit,sim,clean,wiener,6.240555395008533e-05,6.388147113917183e-05,5.606569915833708e-07,0.75946,0.0021111040549090954,50000,1.0236504140363374
31,19,8.0,fit,sim,clean,wiener,6.25749852020171e-05,6.414173488622591e-05,5.638800457968752e-07,0.75848,0.002123240178994706,50000,1.0250379553291258
31,17,6.0,fit,sim,clean,wiener,6.773285574346423e-05,6.91292381205888e-05,5.853394838341093e-07,0.7397,0.0022040437850079538,50000,1.0206160269162918
71,1,0.6,fit,sim,clean,wiener,0.00013958040488298,0.00014265109091084543,7.894329678852154e-07,0.46286,0.0029725396536566277,50000,1.0219994062235298
71,3,1.0,fit,sim,clean,wiener,6.799598191576634e-05,7.017560461384705e-05,5.87322895603572e-07,0.73576,0.0022115121456846697,50000,1.0320551690948567
31,29,40.0,fit,sim,clean,wiener,5.3106443909957664e-05,5.547867016285439e-05,5.287732810867678e-07,0.7911,0.0019910487777514267,50000,1.0446692732226404
34,1,0.6,fit,sim,clean,wiener,0.0001973219138674475,0.00020735053382647296,7.494603190306642e-07,0.21924,0.0028220261982835272,50000,1.0508236503613189
