channel,wp,vbias,gen,seed,train,nps,filter,BI_analytic,BI_mc,sigma_BI,rp,sigma_rp,nsim,ratio
31,1,0.6,fit,1234,sim,clean,wiener,9.06500887306142e-05,9.269638599158784e-05,6.639283754750313e-07,0.65096,0.0024999632692997873,50000,1.0225735825483264
31,3,1.0,fit,1234,sim,clean,wiener,5.124632114107945e-05,5.249360432929535e-05,5.182391092374129e-07,0.80234,0.0019513832902249497,50000,1.0243389800563862
31,5,1.4,fit,1234,sim,clean,wiener,4.929668640211097e-05,5.0076869535221746e-05,5.049149376329314e-07,0.81144,0.0019012123066738727,50000,1.0158262794125117
31,7,1.8,fit,1234,sim,clean,wiener,6.456356055664887e-05,6.760483617355776e-05,5.877520401961125e-07,0.74544,0.0022131280514934887,50000,1.0471051408981764
31,11,3.0,fit,1234,sim,clean,wiener,6.740250160582795e-05,6.978786474578689e-05,5.929883931980719e-07,0.73722,0.0022328450731686354,50000,1.0353898309874108
31,9,2.0,fit,1234,sim,clean,wiener,6.571219395470664e-05,6.825815129371392e-05,5.866586971695137e-07,0.74298,0.002209011165533785,50000,1.0387440623389037
31,13,4.0,fit,1234,sim,clean,wiener,7.595473934376874e-05,7.82862728128589e-05,6.136433539161331e-07,0.70522,0.002310619491361016,50000,1.030696352712603
31,15,5.0,fit,1234,sim,clean,wiener,7.20355959052768e-05,7.411142984990974e-05,6.013895508152945e-07,0.72094,0.0022644788852460716,50000,1.0288167803506834
31,17,6.0,fit,1234,sim,clean,wiener,6.778830654698803e-05,7.013311257351167e-05,5.817038645002721e-07,0.73592,0.002190354183642074,50000,1.0345901254355472
31,19,8.0,fit,1234,sim,clean,wiener,6.251034536296788e-05,6.457727829966337e-05,5.616854964833827e-07,0.75684,0.002114976798667765,50000,1.0330654538011876
31,21,10.0,fit,1234,sim,clean,wiener,6.242631436367981e-05,6.457727829966337e-05,5.635570741599735e-07,0.75684,0.0021220240580107188,50000,1.0344560456260896
31,23,20.0,fit,1234,sim,clean,wiener,5.321343562592037e-05,5.5483981667896315e-05,5.277477260060211e-07,0.79108,0.0019871871412749376,50000,1.042668660936261
31,25,26.0,fit,1234,sim,clean,wiener,5.5040450956725495e-05,5.744923853340671e-05,5.361803564795743e-07,0.78368,0.0020189394615946978,50000,1.04376395060017
31,29,40.0,fit,1234,sim,clean,wiener,5.314731572688557e-05,5.5622080798986226e-05,5.301951158500716e-07,0.79056,0.001996402570140146,50000,1.0465642533071289
31,27,30.0,fit,1234,sim,clean,wiener,5.616356321348116e-05,5.856465459220993e-05,5.404936858103751e-07,0.77948,0.0020351809197002952,50000,1.0427517636230108
34,1,0.6,fit,1234,sim,clean,wiener,0.0001973492989345603,0.00020772233917940735,7.527649581682709e-07,0.21784,0.0028344695231472916,50000,1.0525618297143617
34,3,1.0,fit,1234,sim,clean,wiener,0.0001713015095498966,0.000179794445668992,8.121067970019764e-07,0.323,0.003057915941310738,50000,1.0495788749405128
34,9,2.0,fit,1234,sim,clean,wiener,0.00013006118142986365,0.0001321555569480115,7.660099810532826e-07,0.50238,0.0028843424792321603,50000,1.0161030024110405
34,7,1.8,fit,1234,sim,clean,wiener,0.00013829210368526725,0.0001412382305696947,7.8464506497633e-07,0.46818,0.002954511230936145,50000,1.0213036522398444
34,11,3.0,fit,1234,sim,clean,wiener,0.00011406702004498011,0.00011576425238864638,7.26780725375527e-07,0.5641,0.002736628204772675,50000,1.0148792555727064
34,13,4.0,fit,1234,sim,clean,wiener,0.00010214430581143583,0.00010346811821660158,6.896106961440866e-07,0.6104,0.002596667764415061,50000,1.012960217357682
34,5,1.4,fit,1234,sim,clean,wiener,0.00015173356524775448,0.0001558608039501005,8.156269745752782e-07,0.41312,0.0030711708569910188,50000,1.0272005649877596
34,19,8.0,fit,1234,sim,clean,wiener,8.141038291627126e-05,8.302944681529344e-05,6.301094657358287e-07,0.68736,0.0023726211714488257,50000,1.0198876831311228
34,21,10.0,fit,1234,sim,clean,wiener,7.772546094918664e-05,7.896083395318273e-05,6.13566254304096e-07,0.70268,0.0023103291796266632,50000,1.0158940582520795
34,17,6.0,fit,1234,sim,clean,wiener,8.824154041900559e-05,8.97963042386995e-05,6.538711482622368e-07,0.66188,0.0024620936743980793,50000,1.0176194093202735
34,15,5.0,fit,1234,sim,clean,wiener,9.346253512309961e-05,9.472538091760128e-05,6.63433840183855e-07,0.64332,0.002498101140629012,50000,1.0135117862236283
34,23,20.0,fit,1234,sim,clean,wiener,6.796434662291955e-05,6.900176199958273e-05,5.74597036226932e-07,0.74018,0.0021635940536327797,50000,1.0152641116734187
34,27,30.0,fit,1234,sim,clean,wiener,6.312908958453171e-05,6.44073101383219e-05,5.579521436795979e-07,0.75748,0.002100919190610086,50000,1.020247726716835
34,25,26.0,fit,1234,sim,clean,wiener,6.564131332796422e-05,6.68718484777728e-05,5.649794213569655e-07,0.7482,0.0021273797799229313,50000,1.0187463517626536
34,29,40.0,fit,1234,sim,clean,wiener,6.312930328303231e-05,6.454009776436993e-05,5.583608408078336e-07,0.75698,0.0021024581033100087,50000,1.0223476960455669
71,1,0.6,fit,1234,sim,clean,wiener,0.0001396026136975229,0.00014277325552680963,7.981487707668217e-07,0.4624,0.003005358234502616,50000,1.0227119087910241
71,5,1.4,fit,1234,sim,clean,wiener,9.922916541727739e-05,0.00010073800462505472,6.843496696868163e-07,0.62068,0.002576857837037609,50000,1.0152056021174054
71,3,1.0,fit,1234,sim,clean,wiener,6.790170130320918e-05,7.02977692298112e-05,5.872180371613343e-07,0.7353,0.002211117310543179,50000,1.0352873032724554
71,7,1.8,fit,1234,sim,clean,wiener,9.559019654257918e-05,9.737051042847742e-05,6.739062085328418e-07,0.63336,0.0025375339125696793,50000,1.0186244400607047
71,13,4.0,fit,1234,sim,clean,wiener,7.306759345318777e-05,7.422297145579006e-05,5.983217558328149e-07,0.72052,0.002252927375991095,50000,1.0158124545779998
71,11,3.0,fit,1234,sim,clean,wiener,8.459005039512457e-05,8.657753218329599e-05,6.411623144134096e-07,0.674,0.0024142396904574624,50000,1.0234954557762737
71,15,5.0,fit,1234,sim,clean,wiener,7.915189052587414e-05,8.037900579937537e-05,6.142606187042109e-07,0.69734,0.0023129437470407383,50000,1.0155032970829685
71,9,2.0,fit,1234,sim,clean,wiener,9.660260506126928e-05,9.838500789148417e-05,6.795589748118094e-07,0.62954,0.002558818901416924,50000,1.018450877479799
