channel,wp,vbias,gen,seed,train,nps,filter,BI_analytic,BI_mc,sigma_BI,rp,sigma_rp,nsim,ratio
34,7,1.8,fit,1234,sim,clean,wiener,0.00013764266602721108,0.00014214118642682112,7.851096704538126e-07,0.46478,0.0029562606615544567,50000,1.032682601474173
34,5,1.4,fit,1234,sim,clean,wiener,0.00015123487209496724,0.0001563653969290829,8.193480028554282e-07,0.41122,0.0030851820581506996,50000,1.0339242184229438
34,1,0.6,fit,1234,sim,clean,wiener,0.00019671393371850602,0.00020790824185587455,7.556565608465023e-07,0.21714,0.002845357595945529,50000,1.056906533898038
34,3,1.0,fit,1234,sim,clean,wiener,0.00017138493111272003,0.0001801396934967168,8.197479674580198e-07,0.3217,0.003086688089301701,50000,1.0510824512234318
34,21,10.0,fit,1234,sim,clean,wiener,7.755398768936035e-05,7.939106586157823e-05,6.157864315608111e-07,0.70106,0.0023186890596952796,50000,1.023687733241729
34,13,4.0,fit,1234,sim,clean,wiener,0.00010180331423732568,0.00010395677668045823,6.938770511618889e-07,0.60856,0.002612732344921456,50000,1.0211531663705207
34,17,6.0,fit,1234,sim,clean,wiener,8.808671189794757e-05,9.010437153113088e-05,6.533857161826523e-07,0.66072,0.0024602658230612044,50000,1.0229053802748462
34,19,8.0,fit,1234,sim,clean,wiener,8.132507764073894e-05,8.344905571360514e-05,6.275595762274334e-07,0.68578,0.002363019789210568,50000,1.0261171355070704
34,15,5.0,fit,1234,sim,clean,wiener,9.320468018047874e-05,9.550086065372161e-05,6.691408354055352e-07,0.6404,0.002519590323738654,50000,1.0246358924122332
34,11,3.0,fit,1234,sim,clean,wiener,0.00011357233176038914,0.00011607231968107776,7.290241140581375e-07,0.56294,0.0027450754854018186,50000,1.0220122972024823
34,23,20.0,fit,1234,sim,clean,wiener,6.786253115952673e-05,6.966038862478079e-05,5.780444122284162e-07,0.7377,0.0021765748414670242,50000,1.026492637903938
34,9,2.0,fit,1234,sim,clean,wiener,0.00012938748503461074,0.00013244768972531712,7.659622076268958e-07,0.50128,0.0028841625926425414,50000,1.0236514736327689
34,25,26.0,fit,1234,sim,clean,wiener,6.554699709899029e-05,6.723834232566527e-05,5.665737392344309e-07,0.74682,0.002133383042142896,50000,1.0258035501477007
34,29,40.0,fit,1234,sim,clean,wiener,6.304096269731566e-05,6.483754204671745e-05,5.584601483998248e-07,0.75586,0.0021028320372184113,50000,1.0284986026946936
34,27,30.0,fit,1234,sim,clean,wiener,6.305699008486e-05,6.483223054167552e-05,5.595226064882326e-07,0.75588,0.002106832628689275,50000,1.0281529526611792
