channel,wp,vbias,gen,train,nps,filter,BI_analytic,BI_mc,sigma_BI,rp,sigma_rp,nsim,ratio
31,5,1.4,root,root,clean,wiener,0.07329107854914321,9.700136082806399e-05,1.0810942607024993e-06,0.63475,0.004070764320734621,20000,0.001323508437156134
31,7,1.8,root,root,clean,wiener,0.07145394420204002,9.058771848994559e-05,1.0393776233641575e-06,0.6589,0.003913684031780355,20000,0.0012677777203425435
31,17,6.0,root,root,clean,wiener,0.062245642737772895,6.87574327676544e-05,9.218433918747434e-07,0.7411,0.0034711193328417363,20000,0.001104614391360922
31,19,8.0,root,root,clean,wiener,0.060764957744820464,6.456134378453759e-05,9.036610136928635e-07,0.7569,0.0034026552043569503,20000,0.001062476568413984
31,1,0.6,root,root,clean,wiener,0.10609327699409918,0.00012790104140943362,1.219502385049013e-06,0.5184,0.004591927807370349,20000,0.0012055527459722765
31,13,4.0,root,root,clean,wiener,0.06670648350901315,7.376352626966402e-05,9.530774676737371e-07,0.72225,0.003588728468303286,20000,0.0011057924565862829
31,3,1.0,root,root,clean,wiener,0.07742861438189143,0.0001054466538447168,1.1011962842668747e-06,0.60295,0.004146456703235341,20000,0.0013618563974893767
31,11,3.0,root,root,clean,wiener,0.06906603427433948,7.99912659313152e-05,9.895973082379188e-07,0.6988,0.003726240681041319,20000,0.0011581853044229998
31,15,5.0,root,root,clean,wiener,0.064099837665425,7.08953135470272e-05,9.390761749258749e-07,0.73305,0.003536007845288303,20000,0.0011060139327820425
31,25,26.0,root,root,clean,wiener,0.056470323922264976,5.707212167543039e-05,8.551713079472589e-07,0.7851,0.0032200715284951783,20000,0.0010106568850923156
31,9,2.0,root,root,clean,wiener,0.07050498640021774,8.77327845299136e-05,1.0218023637046974e-06,0.66965,0.0038475059541140414,20000,0.0012443486483623045
31,27,30.0,root,root,clean,wiener,0.057752278805340194,5.658080745905279e-05,8.52020049452987e-07,0.78695,0.0032082057448071227,20000,0.0009797155823021986
31,21,10.0,root,root,clean,wiener,0.059617024251098,6.29546135093568e-05,8.926109766716787e-07,0.76295,0.0033610472723904945,20000,0.001055983828448085
31,23,20.0,root,root,clean,wiener,0.05582893364826757,5.73111394023168e-05,8.551778783477176e-07,0.7842,0.003220096268753944,20000,0.0010265490608039802
31,29,40.0,root,root,clean,wiener,0.05686022118797776,5.526620996117758e-05,8.457961590857293e-07,0.7919,0.0031847702389829285,20000,0.0009719661444592268
91,11,3.0,root,root,clean,wiener,0.35953981041946886,0.0002222732072417472,1.0995908467440306e-06,0.16305,0.004140411570979329,20000,0.0006182158436987128
34,11,3.0,root,root,clean,wiener,0.0001073590161966606,0.0002092600198890432,1.1028575390569275e-06,0.21205,0.004152712010448425,20000,1.9491611166193996
34,9,2.0,root,root,clean,wiener,0.00011807877408182089,0.000219829914922464,9.200079300972666e-07,0.17225,0.0034642080647059037,20000,1.8617225376182869
34,17,6.0,root,root,clean,wiener,8.81269426193737e-05,9.085329374204159e-05,1.037904525888834e-06,0.6579,0.003908137214207192,20000,1.0309366357396872
34,19,8.0,root,root,clean,wiener,8.12627568261591e-05,8.27532485531136e-05,9.986624891928176e-07,0.6884,0.0037603748139597797,20000,1.018341633795947
34,21,10.0,root,root,clean,wiener,7.659188538066128e-05,7.831814184311041e-05,9.72093798970296e-07,0.7051,0.0036603327730962833,20000,1.022538372751495
34,23,20.0,root,root,clean,wiener,6.599270093839016e-05,6.668594580130559e-05,8.930387266118195e-07,0.7489,0.003362657926759698,20000,1.0105048717973013
34,27,30.0,root,root,clean,wiener,6.281251900018358e-05,6.360527287699201e-05,8.769265246091154e-07,0.7605,0.0033019888626223516,20000,1.012620953425003
71,1,0.6,root,root,clean,wiener,0.29133362823393116,0.00019375042516663678,1.2674213679519423e-06,0.27045,0.004772362477109861,20000,0.0006650465527826457
34,25,26.0,root,root,clean,wiener,6.366459824011526e-05,6.39637994673216e-05,8.785037662807855e-07,0.75915,0.0033079278259076058,20000,1.0046996483992232
34,29,40.0,root,root,clean,wiener,6.156201473541804e-05,6.218444527827839e-05,8.701084639731171e-07,0.76585,0.003276316061477712,20000,1.0101106265858166
71,3,1.0,root,root,clean,wiener,0.08881597298677524,0.0001161626152667904,1.1611094012234474e-06,0.5626,0.004372054218379242,20000,0.0013079022991065706
71,5,1.4,root,root,clean,wiener,0.07350965307333975,9.98297372628864e-05,1.0889853209187233e-06,0.6241,0.004100477406400343,20000,0.0013580493593581158
34,3,1.0,root,root,clean,wiener,0.0001480285397920957,0.0002431474220564928,7.988393335233751e-07,0.08445,0.0030079584871658565,20000,1.6425712392893317
34,1,0.6,root,root,clean,wiener,0.00015235219866268837,0.0002407174084998144,7.59884329947277e-07,0.0936,0.0028612768846119534,20000,1.5800061345538494
