channel,wp,vbias,gen,train,nps,filter,BI_analytic,BI_mc,sigma_BI,rp,sigma_rp,nsim,ratio
31,11,3.0,fit,root,clean,wiener,7.684617076684634e-05,7.356434483059201e-05,5.973624134564466e-07,0.723,0.0022493150575661034,50000,0.9572935657885739
31,9,2.0,fit,root,clean,wiener,8.511369086916602e-05,7.753203909690623e-05,6.118586963541378e-07,0.70806,0.0023038995219816774,50000,0.9109232404935411
34,1,0.6,fit,root,clean,wiener,0.0001913119838729669,0.00021165285291042816,7.190160307374395e-07,0.20304,0.0027073909374565144,50000,1.1063230260105807
31,27,30.0,fit,root,clean,wiener,5.2647166258390606e-05,5.9324199813204485e-05,5.465382261110968e-07,0.77662,0.0020579410987946064,50000,1.126826076868852
31,29,40.0,fit,root,clean,wiener,5.1509815349688134e-05,5.6131985283010556e-05,5.331278405425173e-07,0.78864,0.0020074454842268306,50000,1.0897337701939638
31,25,26.0,fit,root,clean,wiener,5.271575556232112e-05,5.792727398717951e-05,5.399416836626501e-07,0.78188,0.00203310240469045,50000,1.0988607365913077
31,3,1.0,fit,root,clean,wiener,0.00010126697848939726,9.681280239907583e-05,6.611369243786708e-07,0.63546,0.002489452308378807,50000,0.9560155130846747
31,1,0.6,fit,root,clean,wiener,0.00011738267891780229,0.00011405925927019007,7.135039668007391e-07,0.57052,0.002686635750769511,50000,0.9716873078868863
34,21,10.0,fit,root,clean,wiener,7.694903889322356e-05,8.034713676912384e-05,6.148750377749048e-07,0.69746,0.0023152572874246585,50000,1.044160368014675
34,19,8.0,fit,root,clean,wiener,8.17658743293845e-05,8.370400795561728e-05,6.280400874752447e-07,0.68482,0.002364829111592902,50000,1.0237034538201748
34,13,4.0,fit,root,clean,wiener,0.0001013630320080334,0.00010626196986865153,6.951338738517577e-07,0.59988,0.0026174647990185513,50000,1.0483306168291204
34,11,3.0,fit,root,clean,wiener,0.00011410606355251406,0.00011965758558437374,7.291675404121021e-07,0.54944,0.0027456155445859205,50000,1.0486522964601679
34,17,6.0,fit,root,clean,wiener,8.882870475103761e-05,9.101795039834112e-05,6.519599219796165e-07,0.65728,0.0024548971217542,50000,1.024645700434779
34,15,5.0,fit,root,clean,wiener,9.385368252677445e-05,9.686060594445313e-05,6.684752859731246e-07,0.63528,0.0025170842565235877,50000,1.0320384169989374
34,25,26.0,fit,root,clean,wiener,6.387650009034972e-05,6.724365383070719e-05,5.686025622223337e-07,0.7468,0.0021410223947252267,50000,1.0527134976962549
34,23,20.0,fit,root,clean,wiener,6.619162654078317e-05,6.977724173570304e-05,5.783529908106099e-07,0.73726,0.0021777367666831666,50000,1.0541702233697283
31,7,1.8,fit,root,clean,wiener,8.693899265458678e-05,7.985847830526719e-05,6.146901742736977e-07,0.6993,0.0023145612003467094,50000,0.9185576674732032
31,5,1.4,fit,root,clean,wiener,9.309646959158674e-05,8.626415338582272e-05,6.336483081812032e-07,0.67518,0.0023859463680454395,50000,0.9266103619639141
31,17,6.0,fit,root,clean,wiener,6.620766975784608e-05,7.06164595323264e-05,5.881233427011e-07,0.7341,0.002214526158064252,50000,1.0665903178680873
31,19,8.0,fit,root,clean,wiener,6.257781868583975e-05,6.48269190366336e-05,5.672851675825301e-07,0.7559,0.0021360618623359837,50000,1.0359408556901772
31,15,5.0,fit,root,clean,wiener,6.826860579920585e-05,7.471162991964673e-05,6.075502647024267e-07,0.71868,0.0022876765056512485,50000,1.0943775553201034
31,13,4.0,fit,root,clean,wiener,7.130587884383184e-05,7.89555224481408e-05,6.192111701911986e-07,0.7027,0.0023315846085213035,50000,1.1072792836767718
34,27,30.0,fit,root,clean,wiener,6.303678766179485e-05,6.450291722907648e-05,5.578964222158562e-07,0.75712,0.0021007093763924516,50000,1.0232583166380196
34,29,40.0,fit,root,clean,wiener,6.178854306080406e-05,6.455072077445378e-05,5.589873810376955e-07,0.75694,0.0021048172848411083,50000,1.0447037197645452
31,21,10.0,fit,root,clean,wiener,5.9969236705538784e-05,6.524652793494528e-05,5.676233181053253e-07,0.75432,0.0021373351380652786,50000,1.0879999733082992
31,23,20.0,fit,root,clean,wiener,5.390605621061454e-05,5.612667377796863e-05,5.320797824775828e-07,0.78866,0.0020034991147640777,50000,1.041194213108041
34,3,1.0,fit,root,clean,wiener,0.0001677174849341282,0.00018377807445043199,8.017840386098795e-07,0.308,0.003019046512361216,50000,1.0957597803390127
34,5,1.4,fit,root,clean,wiener,0.00014943579982180423,0.00015928141319709698,8.083927514011891e-07,0.40024,0.0030439310328093817,50000,1.0658852389255669
34,7,1.8,fit,root,clean,wiener,0.0001370268819256184,0.00014445700262509823,7.814792369030925e-07,0.45606,0.002942590586793847,50000,1.0542238179477301
34,9,2.0,fit,root,clean,wiener,0.00013157373150228944,0.00013635164593112832,7.684153428664309e-07,0.48658,0.0028933996552836356,50000,1.0363135891510058
71,3,1.0,fit,root,clean,wiener,0.00010852787576206137,0.00010270857299560702,6.860389848190969e-07,0.61326,0.002583218802974563,50000,0.9463796492321227
71,1,0.6,fit,root,clean,wiener,0.00013700066824287919,0.00015128759810900737,8.033479158157388e-07,0.43034,0.0030249351529386672,50000,1.104283650943949
71,5,1.4,fit,root,clean,wiener,9.454369915566513e-05,0.00010465789534599167,6.938489682096246e-07,0.60592,0.0026126266010615042,50000,1.1069790613298685
71,7,1.8,fit,root,clean,wiener,8.585409285564054e-05,0.00010125853211916286,6.818410540042414e-07,0.61872,0.0025674118677209046,50000,1.179425799646199
71,9,2.0,fit,root,clean,wiener,8.34660200262923e-05,0.00010245893225863681,6.955227868842134e-07,0.6142,0.0026189292164647787,50000,1.2275526283194242
71,11,3.0,fit,root,clean,wiener,7.346898255537244e-05,8.913767761350145e-05,6.530017498423471e-07,0.66436,0.002458820031944469,50000,1.2132695256303536
71,19,8.0,fit,root,clean,wiener,5.701015356785135e-05,6.876274427269633e-05,5.780886039536175e-07,0.74108,0.0021767412414792713,50000,1.206149079932884
71,17,6.0,fit,root,clean,wiener,6.105702143424299e-05,7.206118890372864e-05,5.88911571646252e-07,0.72866,0.0022174941640773537,50000,1.180227715191395
71,21,10.0,fit,root,clean,wiener,5.426700485025213e-05,6.179404965769728e-05,5.511952650966529e-07,0.76732,0.0020754767650466434,50000,1.1387038925073487
71,23,20.0,fit,root,clean,wiener,4.6382725307085426e-05,4.826564631592704e-05,4.908507635922586e-07,0.81826,0.0018482549097414626,50000,1.0405953077654533
71,25,26.0,fit,root,clean,wiener,4.4093590926131296e-05,4.728301788317183e-05,4.850035567949789e-07,0.82196,0.001826237772409833,50000,1.072333118942018
71,27,30.0,fit,root,clean,wiener,4.283142426356496e-05,4.68474744697344e-05,4.815124309040675e-07,0.8236,0.0018130922482566662,50000,1.0937641060324426
71,29,40.0,fit,root,clean,wiener,4.117722770166392e-05,4.626852042016513e-05,4.801704272029638e-07,0.82578,0.0018080390526350402,50000,1.1236434068701393
83,1,0.6,fit,root,clean,wiener,0.00014691996694813953,0.00017114731546074625,8.062347401344254e-07,0.35556,0.003035805233248873,50000,1.1649016741281912
83,17,6.0,fit,root,clean,wiener,7.065555473273617e-05,7.687341247170818e-05,6.081063643319551e-07,0.71054,0.0022897704493645256,50000,1.0880023907885497
83,15,5.0,fit,root,clean,wiener,7.386440392905912e-05,8.019310312290816e-05,6.157072016459065e-07,0.69804,0.0023183907264948808,50000,1.0856799602678342
71,15,5.0,fit,root,clean,wiener,6.503635661706816e-05,8.328971056234752e-05,6.290322555628918e-07,0.68638,0.002368565032315246,50000,1.2806638454972883
71,13,4.0,fit,root,clean,wiener,6.677277961314115e-05,7.573143888769535e-05,5.990112969386731e-07,0.71484,0.002255523781719476,50000,1.134166337337724
91,1,0.6,fit,root,clean,wiener,0.0001625465035939318,0.00014772357822587906,7.860023826478574e-07,0.44376,0.002959622089951867,50000,0.9088080946663554
91,3,1.0,fit,root,clean,wiener,0.0001492267868587074,0.00015129290961404926,7.933552080936619e-07,0.43032,0.0029873085004429563,50000,1.013845521965826
83,3,1.0,fit,root,clean,wiener,0.00012416062549388938,0.00014497753011920642,7.904069112047783e-07,0.4541,0.0029762069506350784,50000,1.1676610804956162
83,5,1.4,fit,root,clean,wiener,0.0001089422608989857,0.00012670064126995965,7.491392081345656e-07,0.52292,0.002820817083753599,50000,1.1630072684781163
91,5,1.4,fit,root,clean,wiener,0.00014463453271714932,0.00015099546533170173,8.075106319718196e-07,0.43144,0.0030406094905255747,50000,1.0439793491571754
91,9,2.0,fit,root,clean,wiener,0.00014180196700657122,0.00014590173199650048,8.006944567549757e-07,0.45062,0.0030149437887591318,50000,1.0289119049366873
91,11,3.0,fit,root,clean,wiener,0.00014052126397776841,0.00013978818969325054,7.958427479521386e-07,0.47364,0.002996675110617829,50000,0.9947831789740103
91,7,1.8,fit,root,clean,wiener,0.00014243633496295607,0.0001481431871241907,7.998213911950367e-07,0.44218,0.0030116563380157037,50000,1.0400659857101688
83,9,2.0,fit,root,clean,wiener,9.658035667292995e-05,0.00010666564425183743,7.018640316413168e-07,0.59836,0.0026428066098101916,50000,1.104423797201965
83,7,1.8,fit,root,clean,wiener,9.999460178735823e-05,0.00011200370681896704,7.160459361883716e-07,0.57826,0.0026962073104971986,50000,1.1200975334363203
83,11,3.0,fit,root,clean,wiener,8.624210601464007e-05,9.300445328401919e-05,6.631357325488609e-07,0.6498,0.002496978642833599,50000,1.078411202855264
83,13,4.0,fit,root,clean,wiener,7.801665285789973e-05,8.563739579087615e-05,6.390046277543373e-07,0.67754,0.0024061151131783555,50000,1.0976809777632592
91,13,4.0,fit,root,clean,wiener,0.00014075438529763566,0.00014045212782349056,7.934797047705631e-07,0.47114,0.002987777281611076,50000,0.9978525892922913
91,17,6.0,fit,root,clean,wiener,0.00014262985082738038,0.00014531746644188927,8.032709914579079e-07,0.45282,0.0030246455011084467,50000,1.0188432898086783
91,15,5.0,fit,root,clean,wiener,0.00014126322517182133,0.00014178000408397056,7.92524362799197e-07,0.46614,0.0029841800263554516,50000,1.0036582692453797
91,19,8.0,fit,root,clean,wiener,0.00014512852450292355,0.0001493329642535808,8.127420972762013e-07,0.4377,0.0030603081080100483,50000,1.0289704574966072
91,21,10.0,fit,root,clean,wiener,0.00014657019790598658,0.00015430984447785984,8.088900007857064e-07,0.41896,0.0030458033811573276,50000,1.052805049610683
91,23,20.0,fit,root,clean,wiener,0.0001466722191531207,0.00015941951232818685,8.208187109826888e-07,0.39972,0.003090719878846165,50000,1.0869100723277283
91,25,26.0,fit,root,clean,wiener,0.00015120913329778491,0.0001669193574473779,8.264362408625928e-07,0.37148,0.0031118721881655343,50000,1.1038973229127234
