channel,wp,vbias,signal_amp,sigma_analytic,SNR,beta_Hz,rho_t,lambda_wiener,template,use_R,beta_R,n_events,s1,s2,s_penalty,BI,J_final
34,7,1.8,0.0024120219999999998,2.6737316147773527e-05,90.21182250976562,343.1661448267076,30957.64334846747,2.8574373722076416,root,0,,39,0.04324441161239645,0.036041541609128244,wna:1.0,0.0001370268819256184,0.515962541103363
34,5,1.4,0.0023085469999999998,2.8548700356623158e-05,80.86347198486328,321.49321490143575,25997.05757650588,1.309180736541748,root,0,,36,0.05687625326987165,0.050224661548534916,wna:1.0,0.00014943579982180423,0.5626872181892395
34,1,0.6,0.001562028,3.8671943912049755e-05,40.391761779785156,357.3376042851685,14433.49538724566,1.6916896104812622,root,0,,37,0.08145861063023822,0.0782649291372374,wna:1.0,0.0001913119838729669,0.7203682661056519
34,3,1.0,0.002058465,3.366656164871529e-05,61.14271545410156,331.6757756600251,20279.55757419934,0.7656792998313904,root,0,,36,0.07562683163331495,0.07247454682256406,wna:1.0,0.0001677174849341282,0.6315252780914307
34,13,4.0,0.002317061,1.941311711561866e-05,119.35543060302734,428.96216748760736,51198.96421289131,4.69962739944458,root,0,,39,0.031235323502615164,0.024254436067198484,wna:1.0,0.0001013630320080334,0.3816734850406647
34,9,2.0,0.002440126,2.510967169655487e-05,97.17872619628906,338.06201643974526,32852.436132963376,3.2995481491088867,root,0,,38,0.03946615087285251,0.03236955917143576,wna:1.0,0.00013157373150228944,0.4954291880130768
34,11,3.0,0.0024210790000000005,2.6689627702580765e-05,90.71235656738281,443.7037304611388,40249.41100786874,3.943296432495117,root,0,,38,0.03594802671086395,0.028344385775865035,wna:1.0,0.00011410606355251406,0.4296562373638153
34,15,5.0,0.002204652,1.778026853571646e-05,123.99430084228516,466.35377057227686,57825.20972727293,5.10542631149292,root,0,,38,0.028894717616462957,0.021864594321194204,wna:1.0,9.385368252677445e-05,0.3533976972103119
34,19,8.0,0.0018584769999999999,1.2434205018507782e-05,149.46487426757812,495.70245141966154,74090.10457556996,7.49701452255249,root,0,,38,0.02591664603826333,0.019332976259378912,wna:1.0,8.17658743293845e-05,0.3078821301460266
34,17,6.0,0.002072425,1.4701159670948982e-05,140.9701690673828,456.292352895642,64323.610131852554,6.464000225067139,root,0,,37,0.02671421086302368,0.020082442238018926,wna:1.0,8.882870475103761e-05,0.3344765901565552
34,27,30.0,0.0008928300000000001,8.880214409145992e-06,100.54148864746094,880.6039276945695,88537.22979921308,10.200729370117188,root,0,,38,0.02919739509006123,0.02101301331764062,wna:1.0,6.303678766179485e-05,0.237359419465065
34,25,26.0,0.000980923,8.438542863586918e-06,116.24317169189453,785.2685384926409,91282.10554424315,8.639225959777832,root,0,,38,0.029844530753705124,0.02130718849201845,wna:1.0,6.387650009034972e-05,0.24052128195762634
34,21,10.0,0.001688306,1.2543815500976052e-05,134.5926971435547,586.240041655473,78903.62837995996,7.195940017700195,root,0,,37,0.026812832517182944,0.019785485187886146,wna:1.0,7.694903889322356e-05,0.2897447645664215
34,23,20.0,0.0011531739999999999,9.102121111936867e-06,126.69287872314453,721.3149139461188,91385.46291377107,9.793220520019531,root,0,,36,0.027088767470323363,0.01964288081556483,wna:1.0,6.619162654078317e-05,0.24923868477344513
91,1,0.6,0.002080556,7.300858851522207e-05,28.497413635253906,600.067124058877,17100.361043223038,7.411698341369629,root,0,,37,0.07762042192717862,0.07468364299764645,wna:1.0,0.0001625465035939318,0.6120544075965881
34,29,40.0,0.000737938,8.156031981343403e-06,90.47756958007812,930.9915968329027,84233.856980917,9.72612476348877,root,0,,38,0.03197093505097723,0.022547195935653665,wna:1.0,6.178854306080406e-05,0.2326592653989792
91,5,1.4,0.001870085,5.714819781132974e-05,32.72343063354492,625.8115075673771,20478.699457555238,24.62624168395996,root,0,,36,0.052034997050043254,0.04684023235725535,wna:1.0,0.00014463453271714932,0.544608473777771
91,3,1.0,0.001998614,6.210347783053294e-05,32.18199920654297,608.5245136106582,19583.53541418015,17.99625015258789,root,0,,36,0.05882456205996939,0.054602555072316865,wna:1.0,0.0001492267868587074,0.5619001984596252
91,29,40.0,0.000280232,2.5868603188428096e-05,10.832900047302246,1474.4405096274768,15972.46666648784,111.80618286132812,root,0,,38,0.0984398884834268,0.09797695515114181,wna:1.0,0.000149347597744375,0.562355101108551
91,27,30.0,0.00035906,2.9819710107403807e-05,12.041029930114746,1287.7919636954302,15506.341578617918,98.99363708496094,root,0,,38,0.09076089753955044,0.08990522048932797,wna:1.0,0.0001531734657447385,0.5767610669136047
91,13,4.0,0.001322959,5.022058030590415e-05,26.342966079711914,811.6635535311964,21381.62545881074,87.52123260498047,root,0,,39,0.04508812657270564,0.04339827704927621,wna:1.0,0.00014075438529763566,0.5299981236457825
91,11,3.0,0.0014831010000000001,5.2195046009728685e-05,28.414594650268555,748.6230890787934,21271.821622005802,58.49741744995117,root,0,,38,0.04633220802143754,0.04327354414174247,wna:1.0,0.00014052126397776841,0.5291203260421753
91,21,10.0,0.000809598,4.5119388232706115e-05,17.943462371826172,1042.8592680413108,18712.506035209444,136.63961791992188,root,0,,37,0.06125723257555573,0.06085771373700474,wna:1.0,0.00014657019790598658,0.5518970489501953
91,19,8.0,0.000927844,4.741003067465499e-05,19.57062530517578,986.3701057672706,19303.87975219786,157.44674682617188,root,0,,38,0.05645184280692788,0.055973765909943525,wna:1.0,0.00014512852450292355,0.5464685559272766
91,23,20.0,0.0005004920000000001,3.2499785447726026e-05,15.399855613708496,1142.7935110487876,17598.855066434317,122.7903823852539,root,0,,37,0.07212461252442794,0.0717536313244058,wna:1.0,0.0001466722191531207,0.5522812008857727
91,25,26.0,0.00040550199999999997,3.17344929499086e-05,12.777957916259766,1269.5862829860073,16222.720095055864,106.55244445800781,root,0,,38,0.08538065095742726,0.08497694781786896,wna:1.0,0.00015120913329778491,0.5693645477294922
91,15,5.0,0.001194072,4.802468538400717e-05,24.863712310791016,855.3435197341717,21267.01520156984,119.37826538085938,root,0,,38,0.04549230803048301,0.04446587418788393,wna:1.0,0.00014126322517182133,0.5319141149520874
91,17,6.0,0.001091107,4.566873758449219e-05,23.891769409179688,877.941251059811,20975.569925127736,146.12448120117188,root,0,,37,0.046799519605134086,0.0460128090104739,wna:1.0,0.00014262985082738038,0.537060022354126
91,9,2.0,0.00169956,5.226924258749932e-05,32.5154914855957,647.8023411877518,21063.61150923931,38.20574951171875,root,0,,38,0.04724428201521579,0.04271511661032431,wna:1.0,0.00014180196700657122,0.533942699432373
91,7,1.8,0.001754325,5.121219146531075e-05,34.25600051879883,611.4272606471421,20945.052557936247,33.29218673706055,root,0,,39,0.04818670717209591,0.04394604609290487,wna:1.0,0.00014243633496295607,0.5363313555717468
71,5,1.4,0.005011591,0.0001396780280629173,35.87959671020508,1289.6394952977992,46271.744992837455,2.05157470703125,root,0,,36,0.03971935292190522,0.03379324898847415,wna:1.0,9.454369915566513e-05,0.35599589347839355
71,3,1.0,0.004887824000000001,0.00014364712114911526,34.02660369873047,1128.6477587812624,38404.050003510354,4.423116683959961,root,0,,36,0.03895101150491583,0.035404735653559956,wna:1.0,0.00010852787576206137,0.40865206718444824
71,11,3.0,0.004643936,0.00012439966667443514,37.33077621459961,1680.334091678651,62728.17594221822,0.812225341796875,root,0,,38,0.04134940949096308,0.03193950128495104,wna:1.0,7.346898255537244e-05,0.276640921831131
71,13,4.0,0.004298046000000001,0.00010253296204609796,41.918678283691406,1687.6944664743062,70745.92138130266,0.5880776643753052,root,0,,39,0.041025376572445815,0.029402225024087895,wna:1.0,6.677277961314115e-05,0.25142696499824524
71,21,10.0,0.0030173459999999997,8.168055501300842e-05,36.94081115722656,2278.949569378161,84186.24567924145,0.8491203188896179,root,0,,37,0.04304968470595431,0.031165680977034475,wna:1.0,5.426700485025213e-05,0.20433758199214935
71,19,8.0,0.0033632650000000003,8.43474263092503e-05,39.87395095825195,2061.0381402946205,82181.7337291945,0.7186657190322876,root,0,,38,0.04216413461482193,0.02984318269250748,wna:1.0,5.701015356785135e-05,0.21466666460037231
71,15,5.0,0.004079936,0.00010860482143471017,37.566802978515625,1900.144597401033,71382.3577212555,0.7032630443572998,root,0,,38,0.04089733408001337,0.03098279858977519,wna:1.0,6.503635661706816e-05,0.24488861858844757
71,17,6.0,0.003818313,9.832047362579033e-05,38.83537673950195,1953.1742858199482,75852.25922772536,0.6349937319755554,root,0,,37,0.042218997921251826,0.03050430276383576,wna:1.0,6.105702143424299e-05,0.22990478575229645
31,23,20.0,0.00101821,4.301370427128859e-05,23.671756744384766,2813.193799499715,66593.23929656879,11.906224250793457,root,0,,37,0.04664106666360929,0.045465670955963614,wna:1.0,5.390605621061454e-05,0.2029784619808197
31,21,10.0,0.001585504,7.009227556409314e-05,22.6202392578125,2606.309093108022,58955.33526591577,13.471687316894531,root,0,,37,0.04770695888217049,0.04720379490734353,wna:1.0,5.9969236705538784e-05,0.22580882906913757
71,27,30.0,0.001507635,3.4554017474874854e-05,43.63125228881836,2594.543151281307,113203.16680778052,1.4171104431152344,root,0,,38,0.04010655620306015,0.027468666081746758,wna:1.0,4.283142426356496e-05,0.1612779200077057
71,29,40.0,0.0012151240000000002,2.8354048481560312e-05,42.85539627075195,2697.6600636831854,115609.29103292486,1.672987937927246,root,0,,38,0.04030225493616351,0.02781845810263469,wna:1.0,4.117722770166392e-05,0.1550491899251938
31,27,30.0,0.0007646230000000001,3.399434353923425e-05,22.492652893066406,2920.4940579051604,65689.65912072375,13.522459983825684,root,0,,38,0.048862777262865205,0.047900866093293956,wna:1.0,5.2647166258390606e-05,0.19823822379112244
31,25,26.0,0.0008496350000000001,3.7154663004912436e-05,22.86751937866211,2899.2769220298555,66299.27119862556,19.617448806762695,root,0,,38,0.04772822425627272,0.047262993247232085,wna:1.0,5.271575556232112e-05,0.1984964907169342
71,25,26.0,0.001679975,4.036060272483155e-05,41.62413024902344,2616.7807301003845,108921.22194283306,1.4587838649749756,root,0,,38,0.040024137893261626,0.028217744100870315,wna:1.0,4.4093590926131296e-05,0.16603049635887146
71,23,20.0,0.002002852,4.814024214283563e-05,41.604530334472656,2495.2677945601868,103814.44465141198,1.0908156633377075,root,0,,37,0.041842157249629426,0.02859898605909585,wna:1.0,4.6382725307085426e-05,0.17465002834796906
83,1,0.6,0.0033347790000000004,8.302804053528234e-05,40.164493560791016,608.1982184118814,24427.97342708858,0.7447601556777954,root,0,,37,0.06727624702813077,0.06467521099846432,wna:1.0,0.00014691996694813953,0.5532140731811523
83,5,1.4,0.003395297,5.709174365620129e-05,59.47089767456055,637.9850222232209,37941.5419745394,4.279951572418213,root,0,,36,0.03402353275493492,0.029604985919354936,wna:1.0,0.0001089422608989857,0.4102123975753784
83,3,1.0,0.003472437,6.843596929684281e-05,50.73994064331055,621.5227631148379,31536.028108913233,3.6543760299682617,root,0,,36,0.039196957346372595,0.03469257718465562,wna:1.0,0.00012416062549388938,0.4675157964229584
83,7,1.8,0.0032488990000000004,5.065934965386987e-05,64.13227081298828,661.9498894641011,42452.34957573939,4.221304893493652,root,0,,39,0.03390148515510594,0.028416040689332518,wna:1.0,9.999460178735823e-05,0.3765207827091217
83,13,4.0,0.002496163,3.190409188391641e-05,78.23958587646484,774.4655959218153,60593.867500492386,4.015502452850342,root,0,,39,0.032873679805850625,0.025462959508697827,wna:1.0,7.801665285789973e-05,0.29376477003097534
83,15,5.0,0.002248808,2.803654206218198e-05,80.20989990234375,821.1526630334404,65864.57290645526,4.147998809814453,root,0,,38,0.03323868378735699,0.02524076444759957,wna:1.0,7.386440392905912e-05,0.27812984585762024
83,9,2.0,0.0031705730000000003,4.7104756959015504e-05,67.30897521972656,669.74742942421,45080.013130589716,3.4685020446777344,root,0,,38,0.034692015956222615,0.028422404772437314,wna:1.0,9.658035667292995e-05,0.36366474628448486
83,11,3.0,0.002789885,3.670461956062354e-05,76.00910186767578,712.3128049748257,54142.256554981395,3.725752115249634,root,0,,38,0.03436008758654675,0.026581607697497293,wna:1.0,8.624210601464007e-05,0.32473698258399963
31,11,3.0,0.002915397,0.00013994105393067002,20.833036422729492,2245.3238493300264,46776.91353391563,4.3267388343811035,root,0,,38,0.052948748648661954,0.05067912863254684,wna:1.0,7.684617076684634e-05,0.28935742378234863
31,9,2.0,0.0034196770000000003,0.0001709058997221291,20.00912094116211,2170.5583979813414,43430.96549506374,5.237964630126953,root,0,,38,0.053883732664588374,0.052346841853649885,wna:1.0,8.511369086916602e-05,0.3204880356788635
31,13,4.0,0.002568738,0.00011792441364377737,21.78291893005371,2283.7762416420182,49747.312726070835,6.6002726554870605,root,0,,39,0.04996022886761339,0.04851572924634936,wna:1.0,7.130587884383184e-05,0.26849594712257385
31,15,5.0,0.002313303,0.00010729562200140208,21.560089111328125,2382.298761128682,51362.57357974098,8.225342750549316,root,0,,38,0.05017021571516104,0.049110093754746086,wna:1.0,6.826860579920585e-05,0.25705936551094055
71,7,1.8,0.004993932,0.00014758922043256462,33.83669662475586,1508.6546093914499,51047.88832951804,1.9556926488876343,root,0,,39,0.039170058720077415,0.034232357428938036,wna:1.0,8.585409285564054e-05,0.32327595353126526
71,9,2.0,0.00494817,0.0001454711309634149,34.01478958129883,1572.320602778504,53482.15445785175,1.4945472478866577,root,0,,38,0.04031035667943423,0.034077551701017124,wna:1.0,8.34660200262923e-05,0.3142838776111603
31,3,1.0,0.004304359,0.0001973947510123253,21.805843353271484,1787.3510125602963,38974.696197200996,5.063940048217773,root,0,,36,0.04962498001991365,0.048202287502551955,wna:1.0,0.00010126697848939726,0.3813118040561676
31,1,0.6,0.004763267,0.00021973776165395975,21.677053451538086,1572.180498669317,34080.24070512059,8.852336883544922,root,0,,37,0.049606067803280245,0.04857891999999219,wna:1.0,0.00011738267891780229,0.4419940412044525
31,7,1.8,0.003555786,0.00017380666395183653,20.458284378051758,2092.601650513618,42811.03965618808,7.150587558746338,root,0,,39,0.05203333218914838,0.05098089909236206,wna:1.0,8.693899265458678e-05,0.3273610472679138
31,5,1.4,0.003880032,0.00018392904894426465,21.095264434814453,1949.7337584341458,41130.14921165295,6.394043922424316,root,0,,36,0.05091379123724176,0.04961022184990531,wna:1.0,9.309646959158674e-05,0.3505464792251587
31,17,6.0,0.002113314,0.00010050863056676462,21.026195526123047,2502.1243631849484,52610.15609100284,9.976041793823242,root,0,,37,0.05135211844239533,0.05063119137793405,wna:1.0,6.620766975784608e-05,0.249299094080925
31,19,8.0,0.001809979,8.164199971361086e-05,22.16970443725586,2538.814666544551,56284.77077826299,9.163886070251465,root,0,,38,0.04929433312261171,0.048251158757383304,wna:1.0,6.257781868583975e-05,0.23563121259212494
