channel,wp,vbias,gen,train,nps,filter,BI_analytic,BI_mc,sigma_BI,rp,sigma_rp,nsim,ratio
34,11,3.0,fit,sim,clean,wiener,0.0001065668516844873,0.0002048514707042496,1.145278249578388e-06,0.22865,0.004312443424375979,20000,1.9222813423329215
34,9,2.0,fit,sim,clean,wiener,0.00011637587404868324,0.0002215827115862976,9.223460799876866e-07,0.16565,0.0034730121602380235,20000,1.9040261858192655
34,7,1.8,fit,sim,clean,wiener,0.0001239883845024128,0.00021852859618719359,9.189881907571677e-07,0.17715,0.0034603683268837576,20000,1.7624924872131151
34,5,1.4,fit,sim,clean,wiener,0.00013456776621696248,0.00022364091979004157,8.888706456553068e-07,0.1579,0.003346963388493738,20000,1.6619204292168095
34,3,1.0,fit,sim,clean,wiener,0.00014776209733565477,0.0002430544707182592,8.150174540421897e-07,0.0848,0.0030688757616149326,20000,1.6449040389981695
34,1,0.6,fit,sim,clean,wiener,0.00014911629681914243,0.0002409697049893056,7.589427669741462e-07,0.09265,0.0028577315129491208,20000,1.6159850407334668
34,27,30.0,fit,sim,clean,wiener,6.233096525861969e-05,6.355215782657279e-05,8.720669970563636e-07,0.7607,0.003283690743673395,20000,1.0195920689321303
34,15,5.0,fit,sim,clean,wiener,9.084681007254739e-05,9.66428342377344e-05,1.0572593835983275e-06,0.6361,0.0039810162101103835,20000,1.0637999744906672
34,21,10.0,fit,sim,clean,wiener,7.59959277510679e-05,7.8743062246464e-05,9.608661343593143e-07,0.7035,0.003618056000232962,20000,1.0361484434323192
34,23,20.0,fit,sim,clean,wiener,6.687897985317574e-05,6.88636628684928e-05,8.98004535576998e-07,0.7407,0.0033813562389178784,20000,1.0296757369755667
34,25,26.0,fit,sim,clean,wiener,6.482171230274277e-05,6.619463158492799e-05,8.883707770244092e-07,0.75075,0.003345081177606419,20000,1.0211799292769859
34,17,6.0,fit,sim,clean,wiener,8.623023387571832e-05,8.920672717904639e-05,1.0192738957154595e-06,0.6641,0.003837985232701626,20000,1.034517977854705
34,19,8.0,fit,sim,clean,wiener,7.974615439698136e-05,8.23814432001792e-05,9.823088440375305e-07,0.6898,0.0036987966170976133,20000,1.0330459672083898
34,13,4.0,fit,sim,clean,wiener,9.868166194400326e-05,0.0001075048620484608,1.0980348202735891e-06,0.5952,0.0041345524916481,20000,1.0894107368141435
34,29,40.0,fit,sim,clean,wiener,6.24338808735526e-05,6.373806050304e-05,8.743106098566226e-07,0.76,0.0032921388681976184,20000,1.0208889726417738
