channel,wp,vbias,signal_amp,sigma_analytic,SNR,beta_Hz,rho_t,lambda_wiener,template,use_R,beta_R,n_events,BI,J_final
34,7,1.8,0.0024120219999999998,2.6730465833679773e-05,90.23493957519531,344.5019596064121,31086.11350862097,0.008189327083528042,sim,0,,39,0.0001239883845024128,0.46686723828315735
34,9,2.0,0.002440126,2.507794852135703e-05,97.3016586303711,346.2391854930268,33689.64703130023,0.009469791315495968,sim,0,,38,0.00011637587404868324,0.43820300698280334
34,15,5.0,0.002204652,1.7790480342227966e-05,123.92312622070312,470.5024994747739,58306.14062956871,0.14748524129390717,sim,0,,38,9.084681007254739e-05,0.3420755863189697
34,17,6.0,0.002072425,1.4690388525195885e-05,141.0735321044922,461.3553086227736,65085.02294257275,0.9139692783355713,sim,0,,37,8.623023387571832e-05,0.3246922791004181
34,1,0.6,0.001562028,3.867880514007993e-05,40.38459777832031,353.81176946056155,14288.545998900572,4.167621625583706e-07,sim,0,,37,0.00014911629681914243,0.561484158039093
34,3,1.0,0.002058465,3.366194141563028e-05,61.1511116027832,332.8542398946445,20354.406771256978,3.780997576541267e-05,sim,0,,36,0.00014776209733565477,0.5563850402832031
34,5,1.4,0.0023085469999999998,2.854349440895021e-05,80.87821960449219,323.98785841876196,26203.561162381753,0.005916627589613199,sim,0,,36,0.00013456776621696248,0.5067029595375061
34,13,4.0,0.002317061,1.9399340089876205e-05,119.44019317626953,433.715301132051,51803.039350716084,0.08057747781276703,sim,0,,39,9.868166194400326e-05,0.37157702445983887
34,11,3.0,0.0024210790000000005,2.666438558662776e-05,90.79822540283203,451.2540092806596,40973.06324859699,0.01616726443171501,sim,0,,38,0.0001065668516844873,0.40126800537109375
34,21,10.0,0.001688306,1.254688231711043e-05,134.559814453125,589.5899867478734,79335.11922021427,1.7691439390182495,sim,0,,37,7.59959277510679e-05,0.28615590929985046
34,19,8.0,0.0018584769999999999,1.2430473361746408e-05,149.50975036621094,499.77409325018687,74721.09992133487,1.7490657567977905,sim,0,,38,7.974615439698136e-05,0.30027705430984497
34,27,30.0,0.0008928300000000001,8.887684089131653e-06,100.45699310302734,889.6530103120574,89371.86632100586,3.1473183631896973,sim,0,,38,6.233096525861969e-05,0.2347017079591751
34,29,40.0,0.000737938,8.192350833269302e-06,90.07646179199219,936.7877787950944,84382.52856384155,3.1338651180267334,sim,0,,38,6.24338808735526e-05,0.2350892275571823
34,25,26.0,0.000980923,8.475276445096824e-06,115.73934173583984,785.5961010947188,90924.37561094505,4.814379692077637,sim,0,,38,6.482171230274277e-05,0.24408039450645447
34,23,20.0,0.0011531739999999999,9.11919505597325e-06,126.45568084716797,722.0481504167813,91307.09046539242,3.3155248165130615,sim,0,,36,6.687897985317574e-05,0.25182685256004333
