channel,wp,vbias,gen,train,nps,filter,BI_analytic,BI_mc,sigma_BI,rp,sigma_rp,nsim,ratio
34,9,2.0,root,sim,clean,wiener,0.00011614440691350576,0.0002170280960128512,1.0279783179604767e-06,0.1828,0.003870760960772368,20000,1.8686056589403812
34,11,3.0,root,sim,clean,wiener,0.00010863639502656533,0.00013107466567198082,1.2620859111533299e-06,0.50645,0.004752272288899539,20000,1.206544691030373
34,5,1.4,root,sim,clean,wiener,0.00013208423347592417,0.00021591267995404797,9.53027772997166e-07,0.187,0.0035885413474169123,20000,1.6346589920090935
34,7,1.8,root,sim,clean,wiener,0.00012076630974333106,0.00021446529483012478,1.00641818117146e-06,0.19245,0.0037895781825622084,20000,1.7758702347197286
34,3,1.0,root,sim,clean,wiener,0.00014642512036836292,0.0002411954439535872,8.417707608802416e-07,0.0918,0.003169612959930313,20000,1.6472272199388314
34,19,8.0,root,sim,clean,wiener,8.015103390800902e-05,8.366948317284481e-05,1.007468606462721e-06,0.68495,0.0037935334656052275,20000,1.0438977402197205
34,15,5.0,root,sim,clean,wiener,9.142747638720958e-05,9.936498057171839e-05,1.0695005935043544e-06,0.62585,0.0040271093976699,20000,1.086817491832458
34,13,4.0,root,sim,clean,wiener,9.79712252361672e-05,0.00010771732225013758,1.1052911085971823e-06,0.5944,0.004161875400188427,20000,1.0994791786106244
34,17,6.0,root,sim,clean,wiener,8.660212467006211e-05,9.18359221747968e-05,1.03457718676165e-06,0.6542,0.0038956084145508846,20000,1.0604349780640427
34,1,0.6,root,sim,clean,wiener,0.00015087758403149718,0.0002403987181972992,8.161701391373944e-07,0.0948,0.0030732160948579866,20000,1.5933362118730214
34,21,10.0,root,sim,clean,wiener,7.551831951700567e-05,7.94468366645184e-05,9.71465433858525e-07,0.70085,0.0036579667201346016,20000,1.0520207172595795
34,23,20.0,root,sim,clean,wiener,6.527003197008507e-05,6.681873342735361e-05,8.96792333378509e-07,0.7484,0.003376791799313955,20000,1.0237276037796081
34,25,26.0,root,sim,clean,wiener,6.306769083940812e-05,6.465429512277121e-05,8.834428848850923e-07,0.75655,0.0033265256378849106,20000,1.0251571646630147
34,29,40.0,root,sim,clean,wiener,6.117326154642573e-05,6.2609365681632e-05,8.747619786215144e-07,0.76425,0.0032938384571515192,20000,1.0234760105788439
34,27,30.0,root,sim,clean,wiener,6.231885963429916e-05,6.384429060387838e-05,8.787088493065196e-07,0.7596,0.003308700047807483,20000,1.0244778383065862
