channel,wp,vbias,model,n_real,nzer,bessel_order,fcut,n_pulses,rms,chi,cond,railing,t0,zeros,real_poles,param_errors
91,1,0.6,3p z1,3,1,6,2500,37,6.787640e-03,7.2270,5.806e+05,"",0.50077752,"-8.77531","-646.058 -76.4114 -7.66933","7.53175e-06 0.0721831 2.54081 0.0743521 0.063529"
91,1,0.6,6p z2,6,2,6,2500,37,2.120763e-03,5.7035,5.309e+07,"",0.49998634,"-11.0556 -406.642","-280.011 -82.4166 -3660.78 -3641.01 -3641.11 -9.58169","2.76281e-05 0.0696823 4.49658 2.70265 0.129813 139.892 66.4671 334.066 0.0595922"
91,1,0.6,7p z3,7,3,6,2500,37,1.284626e-03,1.9535,2.017e+09,"",0.49991792,"-2.87465 -40.0384 -271.172","-2995.61 -3705.1 -134.118 -3381.44 -33.0726 -134.139 -2.57355","0.000441521 0.02951 0.158478 0.645631 1202.04 2792.23 111.711 3440.89 0.117322 111.761 0.0271536"
91,1,0.6,9p z4,9,4,6,2500,37,1.786357e-03,1.8536,4.009e+09,"",0.50000582,"-42.2021 -302.477 -948.178 -3.02857","-2280.09 -2522.55 -2.71167 -137.826 -1801.91 -3346.22 -34.5104 -1692.94 -137.875","0.000151765 0.171425 2.33915 69.2193 0.027535 4469.99 5867.01 0.0252686 238.192 3028.64 3066.32 0.121393 2571.15 238.454"
91,3,1,3p z1,3,1,6,2500,36,5.159722e-03,6.5871,9.557e+05,"",0.50046271,"-22.3137","-108.037 -820.467 -18.8928","4.62087e-06 0.154187 0.134902 3.09902 0.125279"
91,3,1,6p z2,6,2,6,2500,36,1.448418e-03,5.7632,1.752e+09,"",0.50007187,"-660.447 -27.2553","-115.933 -3880.77 -3875.36 -450.205 -3858.36 -22.5945","1.17945e-05 12.0252 0.174142 0.258527 172.521 4515.87 6.2931 4180.56 0.131927"
91,3,1,7p z3,7,3,6,2500,36,5.717501e-04,1.6346,5.088e+09,"",0.50003041,"-414.857 -65.4736 -4.55147","-3409.53 -3417.76 -3472.99 -238.534 -172.102 -48.9098 -4.13249","4.25504e-06 2.31031 0.285556 0.029981 3745.78 626.596 3324.17 2.81628 1.54695 0.147183 0.0273962"
91,3,1,9p z4,9,4,6,2500,36,4.633094e-04,1.5349,2.028e+10,"",0.50004905,"-660.799 -660.111 -63.3669 -4.46357","-5724.45 -1356 -5574.42 -47.941 -5529.32 -293.85 -157.621 -1355.89 -4.05392","0.000109513 1499.74 1499.33 0.244923 0.028216 15423.9 566.519 5960.61 0.133386 8758.49 2.00599 0.643121 561.091 0.0258146"
91,5,1.4,3p z1,3,1,6,2500,36,4.597113e-03,7.4158,1.735e+06,"",0.50026556,"-37.9089","-139.324 -975.316 -30.2852","6.1511e-06 0.208965 0.248826 6.57763 0.148755"
91,5,1.4,6p z2,6,2,6,2500,36,4.817835e-03,3.2928,4.257e+08,"pole3=-3.142e+04; pole4=-3.142e+04",0.50035226,"-61.0717 -4.40168","-871.672 -47.3333 -31415.9 -31415.9 -155.03 -4.029","2.49778e-06 0.260624 0.0537809 2.35864 0.172057 451.976 581.658 0.237877 0.0497113"
91,5,1.4,7p z3,7,3,6,2500,36,9.987745e-04,2.1657,1.319e+09,"",0.50002085,"-75.5221 -731.266 -5.39405","-4314.89 -4288.68 -4309.15 -54.9962 -4.91542 -181.095 -461.102","6.03147e-06 0.264693 7.0323 0.034704 760.083 1302.36 460.969 0.136964 0.0317054 0.534545 3.66794"
