channel,wp,vbias,ap_source,model,n_real,nzer,bessel_order,fcut,n_pulses,rms,chi,cond,railing,t0,zeros,real_poles,param_errors
91,1,0.6,octopus,9p z4,9,4,6,2500,37,1.323860e-03,6.0418,3.462e+09,"",0.50209629,"-12.4795 -567.122 -569.371 -567.948","-934.509 -6624.74 -5208.14 -932.58 -247.165 -930.87 -86.6094 -4565.65 -10.7524","0.00125766 0.080076 623.816 1229.91 1427.52 2011.09 9776.78 2290.83 1983.31 1.71938 2487.06 0.152849 3030.64 0.0675739"
91,3,1,octopus,9p z4,9,4,6,2500,36,4.710349e-04,1.5033,7.976e+10,"",0.50173068,"-651.922 -64.0403 -651.681 -4.46743","-6528.45 -1341.34 -160.061 -5560.63 -5087.09 -48.251 -287.238 -4.05629 -1339.27","2.84905e-05 13128.8 0.245107 13115.5 0.0277677 26199.5 12002.7 0.711345 50733.2 27283.5 0.131602 2.25268 0.0254037 11982.3"
91,5,1.4,octopus,9p z4,9,4,6,2500,36,4.158962e-04,2.1247,7.199e+10,"",0.50150579,"-1055.84 -76.2703 -1056.07 -5.41789","-2499.69 -55.3585 -2457.04 -181.814 -4.93483 -5645.94 -5837.13 -489.617 -2474.12","1.15206e-05 6549.14 0.248025 6557.77 0.0338723 1813.89 0.129265 23514.2 0.463218 0.030946 41976.2 42838.1 3.07901 25903.7"
91,7,1.8,octopus,9p z4,9,4,6,2500,39,3.339409e-04,0.9077,5.164e+09,"",0.50139106,"-762.152 -33.2472 -151.078 -2.57592","-4822.91 -5055.97 -4883.2 -358.37 -94.6276 -2.35964 -29.4599 -357.815 -4711.38","2.20887e-06 2.01743 0.179306 0.372007 0.027603 971.995 1772.87 1845.48 44.5264 0.208274 0.0258604 0.144937 44.3135 736.223"
91,9,2,octopus,9p z4,9,4,6,2500,38,3.236632e-04,0.8977,6.010e+09,"",0.50132831,"-36.1018 -839.501 -164.497 -2.72418","-4859.35 -4772.41 -5008.02 -100.807 -391.492 -31.6478 -389.984 -5497.86 -2.49654","2.17002e-06 0.225663 8.19288 1.02037 0.0288873 996.004 2312.97 1985.75 0.384925 528.728 0.173976 525.468 1575.8 0.0270191"
91,11,3,octopus,9p z4,9,4,6,2500,38,3.807005e-04,1.0800,3.582e+09,"",0.50118166,"-1414.51 -42.7644 -3.31057 -186.535","-5604.35 -6357.37 -777.424 -373.243 -113.989 -6249.62 -3.0457 -5608.99 -36.7166","2.74383e-06 22.9126 0.316941 0.0395728 1.17635 1844.73 384.767 10.0323 2.74568 0.52328 1570.67 0.0368721 798.738 0.232872"
91,13,4,octopus,9p z4,9,4,6,2500,39,3.120110e-04,0.7871,4.194e+09,"",0.50108129,"-206.157 -1967.41 -47.022 -3.32706","-6301.5 -39.6468 -6716.64 -124.384 -6979.58 -6727.19 -3.05872 -1026.22 -417.768","1.60135e-06 0.927736 30.0936 0.257732 0.0340955 184.451 0.182819 1651.25 0.434273 271.444 1308.08 0.0318437 9.2258 1.86963"
91,15,5,octopus,9p z4,9,4,6,2500,38,1.480318e-03,0.8679,4.568e+09,"pole1=-3.142e+04; pole2=-3.141e+04; pole3=-3.141e+04",0.50102184,"-257.468 -84.2565 -22.6854 -1.79683","-31415.7 -31412.7 -31412.5 -21.1051 -471.433 -1392.6 -66.9244 -163.727 -1.64856","1.39583e-06 2.77478 1.31845 0.32024 0.0561176 1577.08 1707.44 2108.39 0.276526 2.97691 7.92284 0.816603 1.88549 0.0534805"
91,17,6,octopus,9p z4,9,4,6,2500,37,1.128666e-03,0.7652,8.566e+10,"pole1=-3.139e+04",0.50097598,"-97.5985 -303.063 -25.0472 -1.78013","-31390.4 -190.728 -74.1011 -31351.6 -540.297 -23.1302 -31337.2 -1.62071 -1473.75","1.59359e-06 1.8339 4.11692 0.692326 0.0867659 31398 2.70165 1.13108 45996 4.62197 0.596859 2627 0.0820148 11.1753"
91,19,8,octopus,9p z4,9,4,6,2500,38,5.720198e-04,0.6214,2.403e+11,"",0.50089274,"-112.548 -348.512 -30.2384 -2.31115","-26833 -27143.1 -218.339 -615.843 -26805.2 -82.4873 -27.5538 -1676.67 -2.11153","1.07665e-06 1.83689 4.42702 0.667772 0.0658957 8993.85 90438.1 2.89065 4.78501 74970.1 1.09457 0.550237 10.0834 0.0617735"
91,21,10,octopus,9p z4,9,4,6,2500,37,3.700115e-04,0.6784,6.237e+12,"",0.50084280,"-125.737 -395.303 -31.9663 -1.93566","-19724 -679.897 -22731.8 -28.781 -1826.89 -246.764 -88.6012 -26045.5 -1.75327","0.000117551 1.67537 5.30581 0.636637 0.0756142 847928 7.06093 2.60993e+06 0.516889 18.9726 2.96875 0.970079 1.98429e+06 0.0713572"
