channel,wp,vbias,rank,model,n_real,cc,nzer,bessel_order,fcut,rms,rms_over_sigma,sigma,t0,zeros,real_poles,cc_sigma,cc_omega
91,1,0.6,1,3p z2,3,0,2,6,2500,4.666169e-03,28.528,1.635617e-04,0.502697,"-10539.5 -369.127","-938.35 -330.403 -70.8027",,
91,1,0.6,2,5p z4,5,0,4,6,2500,4.758646e-03,29.094,1.635617e-04,0.502483,"-3814.15 -9.1885 -738.355 -784.571","-2110.82 -567.956 -643.447 -74.9606 -8.03574",,
91,1,0.6,3,5p z3,5,0,3,6,2500,5.015187e-03,30.662,1.635617e-04,0.502905,"-2142.95 -716.903 -240.956","-4287.17 -923.209 -523.119 -69.2388 -258.307",,
91,1,0.6,4,3p z1,3,0,1,6,2500,5.109059e-03,31.236,1.635617e-04,0.502645,"-80437","-18044.2 -831.393 -67.9206",,
91,1,0.6,5,2p z1,2,0,1,6,2500,5.120616e-03,31.307,1.635617e-04,0.502713,"-7463.28","-816.894 -68.1245",,
91,3,1,1,5p z3,5,0,3,6,2500,2.336494e-03,16.226,1.439968e-04,0.501959,"-5612.75 -478.96 -82.9047","-3459.17 -1989.18 -227.102 -230.34 -53.9934",,
91,3,1,2,3p+cc z2,3,1,2,6,2500,4.021686e-03,27.929,1.439968e-04,0.501767,"-12281 -783.971","-2206.64 -641.511 -93.177",-3313.92,990.131
91,3,1,3,4p z2,4,0,2,6,2500,4.141694e-03,28.762,1.439968e-04,0.501939,"-3466.06 -713.467","-4075.49 -1274.85 -636.342 -94.3826",,
91,3,1,4,3p z1,3,0,1,6,2500,4.158802e-03,28.881,1.439968e-04,0.501951,"-1803.66","-967.613 -2563.06 -93.7788",,
91,3,1,5,2p+cc z1,2,1,1,6,2500,4.298897e-03,29.854,1.439968e-04,0.501879,"-1336.55","-22453.6 -92.2657",-1254.28,93.4268
91,5,1.4,1,4p+cc z3,4,1,3,6,2500,3.460613e-03,23.312,1.484472e-04,0.501639,"-2485.85 -945.513 -233.253","-12311.4 -404.41 -405.964 -97.1585",-1369.7,1173.77
91,5,1.4,2,5p z3,5,0,3,6,2500,3.780997e-03,25.470,1.484472e-04,0.501808,"-2768.29 -918.031 -261.037","-5026.16 -1304.11 -478.219 -467.724 -96.9547",,
91,5,1.4,3,4p+cc z2,4,1,2,6,2500,3.947862e-03,26.594,1.484472e-04,0.501646,"-2293.88 -194.12","-16560.2 -422.885 -373.403 -88.9357",-853.963,1655.66
91,5,1.4,4,3p z2,3,0,2,6,2500,4.005746e-03,26.984,1.484472e-04,0.501924,"-16027.7 -258.574","-824.148 -363.021 -97.0052",,
91,5,1.4,5,3p z0,3,0,0,6,2500,4.303569e-03,28.991,1.484472e-04,0.501647,"","-5132.32 -1418.64 -111.812",,
