channel,wp,vbias,model,npol,cc,nzer,t0,amp,baseline,tilt,rms,sigma_baseline,params
31,1,0.6,6p+cc-z4,6,1,4,0.499024,47.2042,0.00130125,0.00423411,0.00130677,0.00019157,0.49902381;47.204218;0.001301246;0.0042341091;-1163.1638;-1161.8858;-43245.448;-36.076726;-1746.4151;-348.45866;-162.78837;-20.550828;-1175.6708;1093.7167
31,3,1,4p-z2,4,0,2,0.499416,1073.36,0.000478457,0.00174152,0.00151518,0.00025045,0.49941615;1073.3555;0.00047845746;0.001741524;-61.55021;-13.531625;-597.24945;-250.8753;-39.191715;-10.758979
31,5,1.4,4p-z2,4,0,2,0.499508,1263.89,0.000566059,0.00197562,0.0013261,0.000101077,0.49950843;1263.89;0.00056605912;0.0019756215;-103.11398;-21.622352;-495.75112;-495.96032;-64.988093;-15.076928
31,7,1.8,6p+cc-z4,6,1,4,0.499419,113.354,0.000682012,0.00228113,0.000744756,0.000116891,0.49941857;113.35368;0.00068201221;0.0022811257;-56219.282;-862.17807;-33.121032;-276.69506;-2458.89;-2459.2211;-130.61259;-20.126873;-430.89058;350.3169
31,9,2,6p+cc-z4,6,1,4,0.499453,99.3399,0.000714538,0.0023517,0.000776463,9.21335e-05,0.49945254;99.339906;0.00071453826;0.0023516958;-309.21516;-1029.9205;-70541.68;-34.687078;-2605.7741;-2605.4877;-141.06658;-20.827088;-493.88994;389.95989
31,11,3,6p+cc-z4,6,1,4,0.499541,91.1644,0.000318925,0.00116842,0.000453074,0.000105682,0.49954143;91.164361;0.0003189254;0.0011684248;-488.4375;-62.438567;-100000;-13.557061;-3913.91;-220.88908;-39.763682;-10.99598;-982.03095;442.38502
31,13,4,6p+cc-z4,6,1,4,0.499537,16.1832,0.000512962,0.00160885,0.000557997,0.000109873,0.49953729;16.183151;0.00051296159;0.0016088475;-256.29941;-100000;-100000;-36.868021;-15793.395;-569.67895;-150.24993;-22.406542;-2378.4315;1025.8441
31,15,5,6p+cc-z4,6,1,4,0.499644,157.785,0.000636163,0.00196948,0.000698906,9.06346e-05,0.4996443;157.78532;0.00063616253;0.0019694825;-47.467363;-30742.232;-530.89036;-30994.597;-6843.6669;-6834.1489;-234.888;-26.851806;-1363.2059;4.4315084
31,17,6,6p+cc-z4,6,1,4,0.499715,572.282,0.000511321,0.00159955,0.00066153,8.64553e-05,0.4997149;572.28243;0.00051132136;0.0015995458;-29256.296;-201.81534;-369.25515;-44.195767;-746.58919;-3277.4267;-3277.4981;-25.750067;-201.30543;4.7007239
31,19,8,6p+cc-z4,6,1,4,0.499709,291.416,0.000615098,0.00176525,0.000826653,0.000102712,0.49970906;291.41611;0.00061509795;0.0017652535;-56.288266;-31733.08;-763.85028;-31693.485;-8588.7055;-299.26374;-8589.2484;-30.683994;-1755.1577;11.64689
