channel,wp,vbias,signal_amp,sigma_analytic,SNR,BI,J_final,beta_Hz,rho_t,sigma_t_ms
31,1,0.6,0.004763267,0.000301840249449,15.780755043029783,0.0001410805208685,0.5312261581420898,271.1686217407398,4279.245595046616,0.03719228998590851
31,3,1.0,0.004304359,0.0002542468428146,16.92984390258789,0.0001190840434876,0.4484003782272339,292.30295537290544,4948.6434067284035,0.03216132786522887
31,5,1.4,0.003880032,0.0002328968839719,16.659870147705078,0.0001088475054008,0.4098556041717529,315.22549469569896,5251.6158088764405,0.030305899914248646
31,7,1.8,0.003555786,0.0002148769126506,16.54801368713379,0.0001012245237206,0.38115194439888,337.0597027079845,5577.668573792974,0.028534313393896307
31,9,2.0,0.003419677,0.000210534533835,16.24283218383789,9.874812217768715e-05,0.3718272745609283,349.2774909490955,5673.255671078116,0.028053546732127156
31,11,3.0,0.002915397,0.0001703497255221,17.114187240600586,8.88850815813973e-05,0.3346888720989227,359.74418172250586,6156.729284715609,0.025850567035163547
31,13,4.0,0.002568738,0.0001421061751898,18.076189041137695,8.234102405682771e-05,0.3100478053092956,363.3180224251283,6567.405255408923,0.024234067626756416
31,15,5.0,0.002313303,0.0001298463175771,17.81570053100586,7.929114280066684e-05,0.2985637485980987,378.9301361684244,6750.905828149921,0.023575346352522234
31,17,6.0,0.002113314,0.000121864315588,17.341533660888672,7.747657342883133e-05,0.2917311489582062,398.1711787880035,6904.898899747884,0.02304956892239313
31,19,8.0,0.001809979,9.805812442209572e-05,18.45822525024414,7.291546386504462e-05,0.2745566964149475,403.11915365466297,7440.864140845548,0.021389309101645507
31,21,10.0,0.001585504,8.446811989415437e-05,18.770442962646484,7.038876402688689e-05,0.265042632818222,413.76378628096916,7766.529550395581,0.02049241454103383
31,23,20.0,0.00101821,5.198911458137445e-05,19.585060119628903,6.377477168930899e-05,0.2401382327079773,447.82834292803403,8770.745019519336,0.018146114467778418
31,25,26.0,0.000849635,4.492268635658547e-05,18.913270950317383,6.275698509168733e-05,0.2363058477640152,462.0872914630356,8739.582146138673,0.018210818369870607
31,27,30.0,0.000764623,4.1113864426733926e-05,18.597692489624023,6.248747566602496e-05,0.2352910339832306,466.7348770392752,8680.19171735892,0.01833541795783292
31,29,40.0,0.000618823,3.3462867577327415e-05,18.492826461791992,6.165776749320149e-05,0.2321668416261673,474.40099269292335,8773.015231172083,0.018141418759469324
34,1,0.6,0.001562028,4.789804734173231e-05,32.611515045166016,0.0002074430864229,0.7811084985733032,68.56856853434229,2236.124904383201,0.07117444234887034
34,3,1.0,0.002058465,4.043200897285715e-05,50.911766052246094,0.0001891235212726,0.7121278047561646,56.30297268797312,2866.483773536089,0.055522708539725005
