channel,wp,vbias,signal_amp,sigma_analytic,SNR,beta_Hz,rho_t,template,BI,J_final
34,1,0.6,0.001562028,3.870498403557576e-05,40.35728454589844,416.91902961302264,16825.719910692613,sim,0.00018228440943687758,0.6863757371902466
31,29,40.0,0.000618823,2.780384420475457e-05,22.256742477416992,2974.4075503358094,66200.62287070883,sim,5.4308854139951254e-05,0.2044951617717743
34,17,6.0,0.002072425,1.4670714335807133e-05,141.26272583007812,466.1495552238759,65849.55681540324,sim,8.831737172767837e-05,0.3325512111186981
34,15,5.0,0.002204652,1.779754165909253e-05,123.87396240234375,476.58186421996146,59036.0839300224,sim,9.247911836765638e-05,0.34822189807891846
34,27,30.0,0.0008928300000000001,8.883249392965809e-06,100.50714874267578,895.49960000154,90004.11149636144,sim,6.561735535162015e-05,0.24707631766796112
34,29,40.0,0.000737938,8.191644155886024e-06,90.08423614501953,943.833049814134,85024.47934093043,sim,6.505085249869159e-05,0.24494320154190063
71,5,1.4,0.005011591,0.00014365171955432743,34.8870964050293,1265.2307867922286,44140.22843343155,sim,9.520507227071729e-05,0.35848623514175415
71,7,1.8,0.004993932,0.00015347347653005272,32.53937911987305,1434.4646543911565,46676.58922329151,sim,9.156784464306092e-05,0.34479057788848877
71,3,1.0,0.004887824000000001,0.00013891355774831027,35.18608093261719,1515.3015796836912,53317.52402007303,sim,6.70962083364064e-05,0.252644807100296
71,1,0.6,0.004321273,0.00015250136493705213,28.335962295532227,973.1366434681377,27574.763237713934,sim,0.00012985672736811276,0.4889639616012573
71,11,3.0,0.004643936,0.0001293890381930396,35.89126205444336,1541.9065207720046,55340.97100048303,sim,8.25044796655022e-05,0.31066328287124634
71,9,2.0,0.00494817,0.0001534110924694687,32.25431823730469,1448.0937948385797,46707.27809618975,sim,9.278441437740851e-05,0.34937146306037903
31,25,26.0,0.0008496350000000001,3.718493098858744e-05,22.848905563354492,2890.633885651298,66047.82067147896,sim,5.5731037448284415e-05,0.2098502665758133
31,27,30.0,0.0007646230000000001,3.413734884816222e-05,22.39842987060547,2872.730270347396,64344.64749754164,sim,5.6537915497961394e-05,0.21288849413394928
34,3,1.0,0.002058465,3.3670330594759434e-05,61.13587188720703,362.6206545598688,22169.129880827295,sim,0.00016102243754675195,0.6063156723976135
34,5,1.4,0.0023085469999999998,2.8548822228913195e-05,80.86312866210938,342.56568425710526,27700.93300130584,sim,0.00014255309349187173,0.5367709994316101
34,7,1.8,0.0024120219999999998,2.6726826035883278e-05,90.24723052978516,359.8214649700173,32472.890698714167,sim,0.0001301726924733759,0.4901537001132965
34,9,2.0,0.002440126,2.5070436095120385e-05,97.330810546875,358.96006406109365,34937.87398902442,sim,0.0001235006058026743,0.4650305509567261
71,13,4.0,0.004298046000000001,0.00010434749128762633,41.18974304199219,1613.3019643134921,66451.49335921399,sim,7.291658776086254e-05,0.27456092834472656
71,15,5.0,0.004079936,0.00011171537335030735,36.520809173583984,1748.8352221668415,63868.87742479757,sim,7.855476151190714e-05,0.29579097032546997
71,17,6.0,0.003818313,9.951317770173773e-05,38.36991882324219,1886.009717130216,72366.03974613234,sim,6.961181168205196e-05,0.26211708784103394
71,19,8.0,0.0033632650000000003,8.565602911403403e-05,39.26477813720703,1973.3969708761003,77484.99423808648,sim,6.639978866725727e-05,0.2500225007534027
34,19,8.0,0.0018584769999999999,1.242433881998295e-05,149.5835723876953,503.8300030312146,75364.69172951243,sim,8.311666255162196e-05,0.3129684031009674
34,21,10.0,0.001688306,1.2534756933746394e-05,134.68997192382812,593.3906526124166,79923.77034022844,sim,7.959256057837119e-05,0.29969871044158936
34,23,20.0,0.0011531739999999999,9.124894859269261e-06,126.3766860961914,726.1278753745503,91765.63457190394,sim,7.036722005212356e-05,0.26496151089668274
34,25,26.0,0.000980923,8.48126092023449e-06,115.65768432617188,790.328110635083,91407.51913393228,sim,6.802910518335799e-05,0.2561575472354889
31,1,0.6,0.004763267,0.00020627418416552246,23.091920852661133,1875.4538733029476,43307.83240512843,sim,8.64806014560592e-05,0.32563501596450806
31,3,1.0,0.004304359,0.00017117438255809247,25.146047592163086,2911.9364550243413,73223.69268339674,sim,5.2092476183689175e-05,0.19614958763122559
31,5,1.4,0.003880032,0.00016497836622875184,23.518430709838867,3203.707922017847,75346.1827785386,sim,5.006935290479514e-05,0.18853169679641724
31,7,1.8,0.003555786,0.0001781761966412887,19.956571578979492,2574.2851440881127,51373.905742697956,sim,6.4908295811899e-05,0.24440641701221466
71,23,20.0,0.002002852,4.8110690840985626e-05,41.63008117675781,2537.1010245204257,105619.72160442073,sim,4.807256203002952e-05,0.18101295828819275
71,21,10.0,0.0030173459999999997,8.227594662457705e-05,36.67348861694336,2248.1811955619655,82448.64748426786,sim,6.0385216666458265e-05,0.22737516462802887
31,11,3.0,0.002915397,0.00014153348456602544,20.5986385345459,2453.6012239510533,50540.844720087145,sim,6.692308089189035e-05,0.2519929111003876
31,9,2.0,0.0034196770000000003,0.00017323587962891906,19.74000358581543,2587.720164560134,51081.60532750394,sim,6.582943132655879e-05,0.24787487089633942
34,11,3.0,0.0024210790000000005,2.6656169211491942e-05,90.82621765136719,462.41623080564966,41999.517224678784,sim,0.00011021994840450239,0.41502341628074646
34,13,4.0,0.002317061,1.939456160471309e-05,119.4696273803711,440.97918786273294,52683.619256459366,sim,0.00010023206831007083,0.3774149417877197
31,15,5.0,0.002313303,0.00010822822514455765,21.374305725097656,2363.7255991321495,50522.99360609019,sim,7.03343183977918e-05,0.2648376226425171
31,13,4.0,0.002568738,0.00011955425725318491,21.4859619140625,2247.8952759608396,48298.19228609561,sim,7.391429857156753e-05,0.27831771969795227
31,21,10.0,0.001585504,7.007129170233384e-05,22.627012252807617,2625.445300580596,59405.98298531332,sim,6.195920901518368e-05,0.23330189287662506
31,23,20.0,0.00101821,4.28230814577546e-05,23.777130126953125,2896.885752594817,68879.6295023635,sim,5.411032823290196e-05,0.20374763011932373
83,7,1.8,0.0032488990000000004,5.05964235344436e-05,64.21202850341797,669.8070854294944,43009.671661390006,sim,0.00010194410197541893,0.3838614523410797
83,9,2.0,0.0031705730000000003,4.703225567936897e-05,67.41273498535156,680.926374852804,45903.10925248823,sim,9.783885088718983e-05,0.36840349435806274
83,13,4.0,0.002496163,3.189637209288776e-05,78.2585220336914,784.4304962261753,61388.37127281562,sim,8.142507270949709e-05,0.30659887194633484
83,11,3.0,0.002789885,3.665839176392183e-05,76.10494995117188,725.5288113497957,55216.33387590942,sim,8.684790169001992e-05,0.32701805233955383
31,19,8.0,0.001809979,8.100771810859442e-05,22.343290328979492,2634.4638528540913,58862.59072552087,sim,6.221732118748118e-05,0.2342737913131714
31,17,6.0,0.002113314,0.00010046197712654248,21.035959243774414,2543.3051832279393,53500.86417886315,sim,6.709239342243288e-05,0.25263044238090515
91,1,0.6,0.002080556,7.260275742737576e-05,28.656709671020508,896.8375793855488,25700.414134512477,sim,0.00010899547974039221,0.4104127883911133
91,3,1.0,0.001998614,6.229832797544077e-05,32.08134460449219,716.4744148973422,22985.462604623546,sim,0.00013150745330806903,0.4951796233654022
91,29,40.0,0.000280232,2.585217407613527e-05,10.839783668518066,1808.4714132887507,19603.438890749185,sim,0.00013823196734424903,0.5205001831054688
91,21,10.0,0.000809598,4.48788923677057e-05,18.039615631103516,1234.0544831741759,22261.868544302233,sim,0.00013397458666787677,0.5044693946838379
91,23,20.0,0.0005004920000000001,3.226948683732189e-05,15.509759902954102,1356.6171450283662,21040.806199621024,sim,0.0001358541362134106,0.5115466713905334
71,25,26.0,0.001679975,4.046067988383584e-05,41.521175384521484,2642.324033887416,109712.3996337757,sim,4.693276546070917e-05,0.17672115564346313
71,27,30.0,0.001507635,3.47286113537848e-05,43.41189956665039,2584.981216232842,112218.94494077792,sim,4.675235248027481e-05,0.17604182660579681
83,1,0.6,0.0033347790000000004,8.301366324303672e-05,40.17144775390625,612.7904604891861,24616.679967633492,sim,0.00014649355137710783,0.5516084432601929
71,29,40.0,0.0012151240000000002,2.8587199267349206e-05,42.50587844848633,2644.186651108081,112393.47638711022,sim,4.65516895882196e-05,0.17528624832630157
83,3,1.0,0.003472437,6.842060975031927e-05,50.7513313293457,625.4851667758904,31744.20494063427,sim,0.00012785007470328283,0.48140808939933777
83,5,1.4,0.003395297,5.698645691154525e-05,59.580772399902344,639.2120394341168,38084.74703680152,sim,0.00011382395778745574,0.4285939931869507
83,15,5.0,0.002248808,2.7999267331324518e-05,80.3166732788086,832.2774436574576,66845.75551955805,sim,7.662860194896658e-05,0.2885381877422333
83,17,6.0,0.002058808,2.6260926460963674e-05,78.39814758300781,894.057966739075,70092.48842417389,sim,7.364486433611835e-05,0.27730318903923035
83,21,10.0,0.001586739,1.9372593669686466e-05,81.9063720703125,987.5370031154256,80885.5732103734,sim,6.50681145886838e-05,0.2450082004070282
83,19,8.0,0.001788618,2.1719401047448628e-05,82.35116577148438,946.6345102931075,77956.45548215562,sim,6.677913516484391e-05,0.25145089626312256
83,25,26.0,0.0008937270000000001,1.3860156286682468e-05,64.48174285888672,1254.2582422789105,80876.75745726794,sim,6.235962064459713e-05,0.23480960726737976
83,23,20.0,0.001055093,1.4644844668509904e-05,72.04535675048828,1158.9657741396302,83498.10265949549,sim,6.322611266117979e-05,0.23807230591773987
83,29,40.0,0.000670369,1.155189147539204e-05,58.031105041503906,1392.1712443796791,80789.23571835837,sim,5.755451883907051e-05,0.21671642363071442
83,27,30.0,0.000813756,1.3134003893355839e-05,61.95795440673828,1289.4534837262408,79891.90015432028,sim,6.134026296725818e-05,0.2309713065624237
91,11,3.0,0.0014831010000000001,5.220487582846545e-05,28.409244537353516,873.0469200820147,24802.603445193286,sim,0.00012477295876043548,0.4698214828968048
91,9,2.0,0.00169956,5.2410050557227805e-05,32.428131103515625,736.7261632884173,23890.652610506855,sim,0.00013128387718789485,0.4943377673625946
91,5,1.4,0.001870085,5.722419882658869e-05,32.679969787597656,709.8955178754868,23199.3640765219,sim,0.00013484476696228444,0.5077459812164307
91,7,1.8,0.001754325,5.126167161506601e-05,34.222938537597656,697.0900735542783,23856.470742417496,sim,0.00013172621725460025,0.4960033595561981
91,15,5.0,0.001194072,4.801200338988565e-05,24.87027931213379,991.9751582265473,24670.69925579234,sim,0.00012566082062707726,0.4731646478176117
91,13,4.0,0.001322959,5.004612830816768e-05,26.434791564941406,932.9880896218058,24663.34568172531,sim,0.000125389526423197,0.47214311361312866
91,19,8.0,0.000927844,4.7514913603663445e-05,19.527427673339844,1165.0014019989658,22749.48061687432,sim,0.00013102309378433996,0.49335581064224243
91,17,6.0,0.001091107,4.5533710363088176e-05,23.96261978149414,1009.8532561869723,24198.729613112213,sim,0.00012843811757359504,0.48362231254577637
91,25,26.0,0.00040550199999999997,3.1662559194955975e-05,12.806987762451172,1552.0878635777415,19877.570275089118,sim,0.0001418817002915696,0.5342429280281067
91,27,30.0,0.00035906,2.9723827537964098e-05,12.07987117767334,1604.3132521734128,19379.89741488899,sim,0.0001412785639753082,0.5319718718528748
