channel,wp,vbias,gen,train,nps,filter,BI_analytic,BI_mc,sigma_BI,rp,sigma_rp,nsim,ratio
31,1,0.6,fit,sim,clean,optimum,9.185049652650966e-05,9.341343917224705e-05,6.58486029282146e-07,0.64826,0.0024794705985786538,50000,1.0170161589195799
31,3,1.0,fit,sim,clean,optimum,5.301128871649994e-05,5.399144875111681e-05,5.219414449948093e-07,0.7967,0.001965324106352117,50000,1.0184896473628229
31,5,1.4,fit,sim,clean,optimum,5.0958461346023716e-05,5.2031503390648315e-05,5.115618393956618e-07,0.80408,0.0019262406242986176,50000,1.0210571908232926
31,15,5.0,fit,sim,clean,optimum,7.334977836583891e-05,7.436107058688e-05,6.033809361822682e-07,0.72,0.002271977269795298,50000,1.0137872566703225
31,13,4.0,fit,sim,clean,optimum,7.71100330117616e-05,7.810037013639168e-05,6.111513508905792e-07,0.70592,0.0023012360755273256,50000,1.0128431682097585
34,3,1.0,fit,sim,clean,optimum,0.00017617954981957875,0.00017808945255053566,8.146084859462817e-07,0.32942,0.003067335828610331,50000,1.0108406607515616
31,27,30.0,fit,sim,clean,optimum,5.8081657636714225e-05,5.966413613588735e-05,5.434517823631467e-07,0.77534,0.0020463193692712755,50000,1.027245753023633
34,15,5.0,fit,sim,clean,optimum,9.691253120520088e-05,9.794946447804673e-05,6.768904662032948e-07,0.63118,0.0025487708695033557,50000,1.0106996820736245
34,7,1.8,fit,sim,clean,optimum,0.0001404344390684541,0.00014201902181085695,7.735689668172186e-07,0.46524,0.0029128051680718703,50000,1.0112834341270835
34,5,1.4,fit,sim,clean,optimum,0.00015455793126771728,0.00015598828007110655,7.966770691860685e-07,0.41264,0.0029998166730463506,50000,1.009254451011716
34,11,3.0,fit,sim,clean,optimum,0.00011618373535237384,0.00011751173754743807,7.223637852709781e-07,0.55752,0.0027199966095103564,50000,1.0114301902158382
34,17,6.0,fit,sim,clean,optimum,9.128701315424687e-05,9.179343013446142e-05,6.533986001752556e-07,0.65436,0.0024603143365898622,50000,1.005547524918565
31,7,1.8,fit,sim,clean,optimum,6.696582850676788e-05,6.89698929693312e-05,5.903031029561428e-07,0.7403,0.002222733851506466,50000,1.0299266731592933
34,21,10.0,fit,sim,clean,optimum,8.167973800412765e-05,8.197245731195136e-05,6.221880062730468e-07,0.69134,0.002342793620122927,50000,1.0035837444509057
34,19,8.0,fit,sim,clean,optimum,8.531842986225103e-05,8.570644535642112e-05,6.330783811794966e-07,0.67728,0.0023838003585915897,50000,1.0045478508546928
31,11,3.0,fit,sim,clean,optimum,6.947395240489275e-05,7.108387197601536e-05,5.958819279613954e-07,0.73234,0.0022437404210615087,50000,1.02317299527944
31,9,2.0,fit,sim,clean,optimum,6.793482457080083e-05,6.994720989704446e-05,5.919603465478684e-07,0.73662,0.0022289740549088772,50000,1.0296222937051431
34,23,20.0,fit,sim,clean,optimum,7.177425846857222e-05,7.182217117684224e-05,5.855239589500479e-07,0.72956,0.0022047384096557047,50000,1.0006675472417592
31,21,10.0,fit,sim,clean,optimum,6.38115594904478e-05,6.479505000638207e-05,5.639065200270042e-07,0.75602,0.0021233398653544857,50000,1.0154124193764844
31,17,6.0,fit,sim,clean,optimum,6.915640434777339e-05,7.036681879535615e-05,5.863565062563625e-07,0.73504,0.002207873292517507,50000,1.0175025647877214
31,19,8.0,fit,sim,clean,optimum,6.383530376829128e-05,6.519341288452609e-05,5.656126141531413e-07,0.75452,0.002129764011101019,50000,1.0212752040965365
34,25,26.0,fit,sim,clean,optimum,6.968856901756064e-05,6.946386293822977e-05,5.760747152478726e-07,0.73844,0.0021691581226086286,50000,0.9967755676074472
31,25,26.0,fit,sim,clean,optimum,5.69215201360413e-05,5.8469047501455364e-05,5.390548864786999e-07,0.77984,0.0020297632487376598,50000,1.0271870350917458
31,23,20.0,fit,sim,clean,optimum,5.520406090320596e-05,5.6870284483837437e-05,5.320818343323222e-07,0.78586,0.0020035068408406726,50000,1.0301829893194454
31,29,40.0,fit,sim,clean,optimum,5.534222489859751e-05,5.704025264517887e-05,5.340899357682099e-07,0.78522,0.0020110681682612027,50000,1.0306823180617084
34,1,0.6,fit,sim,clean,optimum,0.00020145908517985752,0.00020418487682148862,7.596364125897549e-07,0.23116,0.002860343373844043,50000,1.0135302492771552
34,27,30.0,fit,sim,clean,optimum,6.702002877832526e-05,6.691434051810815e-05,5.653838258432748e-07,0.74804,0.0021289025290613306,50000,0.9984230346936037
71,5,1.4,fit,sim,clean,optimum,0.00010079542504618512,0.00010215617647124735,6.853826859109242e-07,0.61534,0.0025807475677860695,50000,1.0135001308287428
71,3,1.0,fit,sim,clean,optimum,6.960365156523309e-05,7.140256227853056e-05,5.920084777127167e-07,0.73114,0.002229155288530867,50000,1.0258450623328508
71,9,2.0,fit,sim,clean,optimum,9.811419744782204e-05,9.894802742592769e-05,6.760816336882282e-07,0.62742,0.0025457252825795626,50000,1.0084985659547292
71,7,1.8,fit,sim,clean,optimum,9.716010487551552e-05,9.839031939652608e-05,6.683751406302416e-07,0.62952,0.0025167071681386852,50000,1.0126617249187488
34,13,4.0,fit,sim,clean,optimum,0.00010455928882234003,0.00010513061929472255,6.914780471168178e-07,0.60414,0.002603699108480419,50000,1.0054641771077202
34,9,2.0,fit,sim,clean,optimum,0.00013199501830930694,0.00013291510216900608,7.498114403946983e-07,0.49952,0.0028233483145622953,50000,1.0069705953412809
