channel,wp,vbias,signal_amp,sigma_analytic,SNR,beta_Hz,rho_t,template,BI,J_final,n_trials,train_s
31,1,0.6,0.004763267,0.00020628143101930618,23.091108322143555,1808.0661466960003,41750.25124695804,sim,9.109755756133377e-05,0.3430197536945343,500,2198.2
31,9,2.0,0.0034196770000000003,0.00017327901150565594,19.735092163085938,2526.272675834798,49856.22408668546,sim,6.694652440888114e-05,0.2520811855792999,500,2174.4
31,11,3.0,0.002915397,0.0001416070736013353,20.587932586669922,2392.7489652832464,49261.75439407569,sim,6.83968328143199e-05,0.2575421929359436,500,2173.3
31,17,6.0,0.002113314,0.00010046664101537317,21.034982681274414,2490.2181803740077,52381.69629676194,sim,6.831518415757546e-05,0.25723475217819214,500,2897.4
31,13,4.0,0.002568738,0.0001196714147226885,21.464927673339844,2182.73759994505,46852.3047126999,sim,7.638773999452236e-05,0.28763124346733093,500,2899.2
31,15,5.0,0.002313303,0.00010827172081917524,21.365718841552734,2299.946568344927,49140.011729851765,sim,7.244930828766223e-05,0.2728014290332794,500,2900.0
31,5,1.4,0.003880032,0.00016479201440233737,23.545024871826172,3166.262352615693,74549.72584306334,sim,4.972208492657503e-05,0.18722409009933472,500,3715.1
31,7,1.8,0.003555786,0.00017813527665566653,19.961156845092773,2511.3189684066574,50128.83181642187,sim,6.585699447575542e-05,0.24797865748405457,500,3716.9
31,3,1.0,0.004304359,0.00017095710791181773,25.178007125854492,2877.5938012562347,72452.07723334419,sim,5.1774413667216546e-05,0.19495195150375366,500,3718.1
31,19,8.0,0.001809979,8.112609793897718e-05,22.310686111450195,2584.382917039772,57659.35605386839,sim,6.298277734446022e-05,0.23715604841709137,500,2220.5
31,21,10.0,0.001585504,7.007622480159625e-05,22.62541961669922,2578.598765639894,58341.87909570525,sim,6.291985105079537e-05,0.236919105052948,500,2219.7
31,27,30.0,0.0007646230000000001,3.412245132494718e-05,22.4082088470459,2825.3472729565883,63310.971757842824,sim,5.6872159739784355e-05,0.21414706110954285,500,2904.6
31,23,20.0,0.00101821,4.2752431909320876e-05,23.816421508789062,2857.8281167065916,68063.239027153,sim,5.396213623750119e-05,0.20318962633609772,500,2905.4
31,25,26.0,0.0008496350000000001,3.714914055308327e-05,22.870920181274414,2854.909283615692,65294.40235035381,sim,5.572243806232544e-05,0.20981788635253906,500,2906.6
34,5,1.4,0.0023085469999999998,2.854041667887941e-05,80.8869400024414,312.381205394254,25267.559818615347,sim,0.0001538396985219893,0.5792697072029114,500,2263.7
34,7,1.8,0.0024120219999999998,2.6728010197984986e-05,90.24323272705078,336.63308515034794,30378.85784684795,sim,0.00013953606640148693,0.5254106521606445,500,2263.7
34,3,1.0,0.002058465,3.365476004546508e-05,61.16415786743164,312.17540980019396,19093.94604734923,sim,0.00017556297424205794,0.6610667705535889,500,3706.9
34,1,0.6,0.001562028,3.867391205858439e-05,40.38970947265625,304.92503851570825,12315.833716587973,sim,0.00020111088326004223,0.7572651505470276,500,3710.2
31,29,40.0,0.000618823,2.774705717456527e-05,22.30229377746582,2940.590688408304,65581.91741216245,sim,5.4011631184665916e-05,0.20337599515914917,500,3710.9
34,15,5.0,0.002204652,1.7790449419408105e-05,123.92333984375,467.7893215038151,57970.015063994506,sim,9.412746987982829e-05,0.35442861914634705,500,2228.1
34,17,6.0,0.002072425,1.4690699572383892e-05,141.070556640625,459.2900741017187,64792.30641304336,sim,8.895963861382582e-05,0.3349696099758148,500,2228.1
34,9,2.0,0.002440126,2.5073728465940803e-05,97.31803894042969,339.5260977451928,33042.01400165881,sim,0.0001310008533107599,0.493272066116333,500,2913.0
34,11,3.0,0.0024210790000000005,2.6656431145966053e-05,90.8253173828125,444.9572506191231,40413.3835092655,sim,0.00011480950361314558,0.4323049783706665,500,2913.9
34,13,4.0,0.002317061,1.9397766664042138e-05,119.44989013671875,430.07999193401014,51373.0077865184,sim,0.00010278821105275448,0.3870398700237274,500,2920.1
34,27,30.0,0.0008928300000000001,8.886190698831342e-06,100.473876953125,888.5537299995817,89276.43813421823,sim,6.387218258916184e-05,0.24050502479076385,500,2149.3
34,25,26.0,0.000980923,8.47708997753216e-06,115.71458435058594,784.5259179429877,90781.0905070347,sim,6.666794071170292e-05,0.2510322034358978,500,2151.8
34,21,10.0,0.001688306,1.2547421647468582e-05,134.55401611328125,587.6611305244462,79072.16522573541,sim,7.848246018587375e-05,0.2955187261104584,500,3668.2
34,23,20.0,0.0011531739999999999,9.117338777286932e-06,126.4814224243164,720.6674963942794,91151.05003891938,sim,6.900616638709843e-05,0.2598365843296051,500,3668.5
34,19,8.0,0.0018584769999999999,1.242934558831621e-05,149.5233154296875,498.1729423674718,74488.47000014702,sim,8.219545580412865e-05,0.30949968099594116,500,3669.2
71,1,0.6,0.004321273,0.00015242415247485042,28.350317001342773,884.6023347426682,25078.756610082575,sim,0.00014031855116305937,0.5283570289611816,500,2851.4
34,29,40.0,0.000737938,8.190912922145799e-06,90.09227752685547,935.7533831223525,84304.1534889529,sim,6.397634873606116e-05,0.2408972531557083,500,2851.9
71,3,1.0,0.004887824000000001,0.00013874554133508354,35.22869110107422,1481.314568259598,52184.7733487385,sim,6.831748735252627e-05,0.25724342465400696,500,2858.1
71,7,1.8,0.004993932,0.00015364713908638805,32.502601623535156,1386.6659224572045,45070.25006255841,sim,9.58933476525661e-05,0.3610778748989105,500,2550.3
71,5,1.4,0.005011591,0.0001433993165846914,34.9484977722168,1223.9409141080037,42774.896310028555,sim,9.956994329288695e-05,0.3749217689037323,500,2551.2
71,13,4.0,0.004298046000000001,0.00010439966717967764,41.16915512084961,1588.8736425100337,65412.58545592493,sim,7.358870911901852e-05,0.27709174156188965,500,3640.3
71,9,2.0,0.00494817,0.00015350976900663227,32.23358154296875,1402.671062848678,45213.112082295505,sim,9.694426938991833e-05,0.3650350272655487,500,3641.3
71,11,3.0,0.004643936,0.0001296185073442757,35.82772445678711,1508.9078740014195,54060.7355403993,sim,8.495165200240287e-05,0.31987789273262024,500,3643.8
71,17,6.0,0.003818313,9.955225687008351e-05,38.3548583984375,1861.3601939698679,71392.20666820245,sim,7.026585573000977e-05,0.2645798325538635,500,2808.8
71,15,5.0,0.004079936,0.00011163324234075844,36.54767990112305,1720.1802128138297,62868.59579016557,sim,7.971595959032374e-05,0.3001633584499359,500,2819.6
71,19,8.0,0.0033632650000000003,8.564603194827214e-05,39.26935958862305,1954.1333437090266,76737.56495822807,sim,6.656511215912212e-05,0.2506450116634369,500,2819.7
71,23,20.0,0.002002852,4.813056511920877e-05,41.612892150878906,2521.1824038769587,104913.6914652255,sim,4.694455449465846e-05,0.1767655462026596,500,2571.6
71,21,10.0,0.0030173459999999997,8.230554522015154e-05,36.66029739379883,2225.1592128911398,81574.9984931405,sim,6.018532942081261e-05,0.22662250697612762,500,2572.0
83,1,0.6,0.0033347790000000004,8.301048364955932e-05,40.1729850769043,541.7358276385323,21763.145319347157,sim,0.00015901014165855455,0.5987385511398315,500,2848.9
83,5,1.4,0.003395297,5.70671254536137e-05,59.49654769897461,609.9976860827057,36292.75642628384,sim,0.00011959443465464417,0.4503222107887268,500,2855.3
83,3,1.0,0.003472437,6.83945618220605e-05,50.770660400390625,581.2491820362769,29510.404829168645,sim,0.00013657466423933014,0.5142597556114197,500,2856.7
71,29,40.0,0.0012151240000000002,2.8576117983902805e-05,42.52236557006836,2630.0923394501074,111837.74794113378,sim,4.494808812502336e-05,0.16924802958965302,500,3584.9
71,27,30.0,0.001507635,3.473936885711737e-05,43.39845657348633,2572.328323965225,111635.07906035369,sim,4.546233377979807e-05,0.17118437588214874,500,3594.8
71,25,26.0,0.001679975,4.045665264129639e-05,41.52531051635742,2628.267505678598,109139.62429335597,sim,4.5604118777560743e-05,0.17171825468540192,500,3597.0
83,9,2.0,0.0031705730000000003,4.707560219685547e-05,67.35066223144531,658.9638890325558,44381.65431295128,sim,0.00010077999918034615,0.3794781267642975,500,2401.2
83,7,1.8,0.0032488990000000004,5.062552372692153e-05,64.17512512207031,644.4627690689018,41358.47884151268,sim,0.00010668848570512015,0.40172600746154785,500,2401.8
83,11,3.0,0.002789885,3.6669112887466326e-05,76.08269500732422,708.1803607635179,53880.27039814757,sim,8.915459496443931e-05,0.33570370078086853,500,2831.5
83,13,4.0,0.002496163,3.187324182363227e-05,78.31531524658203,770.9967341746001,60380.852290969015,sim,8.182851964909486e-05,0.3081180155277252,500,2837.2
83,15,5.0,0.002248808,2.8019258024869487e-05,80.25936889648438,820.1113798003357,65821.62176759995,sim,7.66340947919077e-05,0.28855887055397034,500,2838.3
83,25,26.0,0.0008937270000000001,1.385552513966104e-05,64.5032958984375,1241.4861912730794,80079.95114951162,sim,6.126978995061874e-05,0.23070594668388367,500,2589.9
83,23,20.0,0.001055093,1.4627768905484118e-05,72.12945556640625,1146.8964810103416,82725.01876630312,sim,6.15977142571557e-05,0.23194071650505066,500,2595.2
83,21,10.0,0.001586739,1.941468144650571e-05,81.72882080078125,978.0369983558733,79933.81057516116,sim,6.37163963822308e-05,0.23991842567920685,500,3626.3
83,19,8.0,0.001788618,2.1729108993895352e-05,82.31437683105469,936.4917480111303,77086.7346449613,sim,6.50251255736482e-05,0.24484632909297943,500,3629.8
83,17,6.0,0.002058808,2.6242705644108355e-05,78.45258331298828,881.3224612478526,69142.02381665504,sim,7.344866536829771e-05,0.27656441926956177,500,3635.4
83,29,40.0,0.000670369,1.1541617823240813e-05,58.082759857177734,1378.518476808223,80068.15764713446,sim,5.659796873400718e-05,0.21311461925506592,500,2802.6
83,27,30.0,0.000813756,1.3130492334312294e-05,61.974525451660156,1277.3754182207285,79164.73536784558,sim,6.0251916290645e-05,0.2268732339143753,500,2805.3
91,1,0.6,0.002080556,7.241459388751537e-05,28.731170654296875,797.8533251351656,22923.260041556652,sim,0.00011538366399567866,0.4344669282436371,500,2808.8
91,3,1.0,0.001998614,6.211977597558871e-05,32.17355728149414,621.4467507006982,19994.15263106732,sim,0.00014247915381066713,0.5364925861358643,500,2254.1
91,5,1.4,0.001870085,5.723529466195032e-05,32.67363357543945,611.4388464874846,19977.928823921447,sim,0.00014627424922694548,0.5507826805114746,500,2253.4
91,7,1.8,0.001754325,5.12332990183495e-05,34.24189376831055,604.4090484750512,20696.110430488363,sim,0.0001437878909168438,0.5414205193519592,500,3684.6
91,9,2.0,0.00169956,5.227583460509777e-05,32.51138687133789,645.2218868389172,20977.058380874634,sim,0.0001415195209068638,0.5328791737556458,500,3686.8
91,11,3.0,0.0014831010000000001,5.2088620577706024e-05,28.47264862060547,768.4158447827215,21878.834343004142,sim,0.00013567255580598225,0.5108629465103149,500,3693.2
91,21,10.0,0.000809598,4.5092529035173357e-05,17.95414924621582,1042.318318050006,18713.938644334456,sim,0.00014570414911592366,0.5486360192298889,500,2261.8
91,19,8.0,0.000927844,4.735560287372209e-05,19.593120574951172,998.206984309567,19557.98980233574,sim,0.00014197909931928354,0.5346096754074097,500,2263.7
91,17,6.0,0.001091107,4.562981484923512e-05,23.912151336669922,886.3657775669385,21194.912612825745,sim,0.00013952292790108021,0.525361180305481,500,2853.4
91,15,5.0,0.001194072,4.792997060576454e-05,24.912843704223633,870.537859989046,21687.57364451642,sim,0.0001365017059882764,0.5139850378036499,500,2859.7
91,13,4.0,0.001322959,5.01216491102241e-05,26.394962310791016,828.4418362718728,21866.691045078584,sim,0.00013548222167478896,0.5101462602615356,500,2863.0
91,29,40.0,0.000280232,2.584914727776777e-05,10.84105396270752,1464.005726531558,15871.365083041446,sim,0.00014979505074557602,0.564039945602417,500,1965.2
91,27,30.0,0.00035906,2.9808355975546874e-05,12.045616149902344,1288.0126481601817,15514.90595595677,sim,0.0001528575718723089,0.575571596622467,500,3622.0
91,23,20.0,0.0005004920000000001,3.248040593462065e-05,15.40904426574707,1131.5803810187938,17436.57218136953,sim,0.000148222815473411,0.5581198334693909,500,3622.7
91,25,26.0,0.00040550199999999997,3.1747233151691034e-05,12.77283000946045,1254.3119125535177,16021.112837887302,sim,0.0001530622317178011,0.5763422250747681,500,3624.2
