channel,wp,vbias,gen,seed,train,nps,filter,BI_analytic,BI_mc,sigma_BI,rp,sigma_rp,nsim,ratio
31,3,1.0,fit,1234,sim,clean,wiener,5.12639196083411e-05,5.228114412761857e-05,5.177018720181348e-07,0.80314,0.0019493603712404505,50000,1.019842893931036
31,5,1.4,fit,1234,sim,clean,wiener,4.93893840628119e-05,5.0177788131018236e-05,5.058066633133914e-07,0.81106,0.0019045700204420883,50000,1.015963026937199
31,1,0.6,fit,1234,sim,clean,wiener,9.066153347253475e-05,9.27707470621747e-05,6.642981307828018e-07,0.65068,0.002501355550036988,50000,1.0232647023368397
31,7,1.8,fit,1234,sim,clean,wiener,6.458015780686146e-05,6.755172112313857e-05,5.855275810436012e-07,0.74564,0.0022047520483269465,50000,1.0460135654230531
31,11,3.0,fit,1234,sim,clean,wiener,6.744804313073174e-05,6.997376742225408e-05,5.941814855929739e-07,0.73652,0.002237337556506167,50000,1.0374469617543511
31,9,2.0,fit,1234,sim,clean,wiener,6.570711663662776e-05,6.840156192984577e-05,5.863967311356456e-07,0.74244,0.0022080247557241337,50000,1.0410069020090893
31,3,1.0,fit,1235,sim,clean,wiener,5.12639196083411e-05,5.161189449233663e-05,5.111856819773585e-07,0.80566,0.0019248242369834048,50000,1.006787910223293
31,1,0.6,fit,1235,sim,clean,wiener,9.066153347253475e-05,9.094890083279616e-05,6.567889110508382e-07,0.65754,0.002473080250766071,50000,1.0031696723985863
31,5,1.4,fit,1235,sim,clean,wiener,4.93893840628119e-05,4.9636014616742384e-05,5.03207688708231e-07,0.8131,0.0018947838126360198,50000,1.0049935944456572
31,7,1.8,fit,1235,sim,clean,wiener,6.458015780686146e-05,6.604325369123328e-05,5.766594008339695e-07,0.75132,0.0021713597041998437,50000,1.0226555018454349
31,9,2.0,fit,1235,sim,clean,wiener,6.570711663662776e-05,6.673374934668286e-05,5.760923168935674e-07,0.74872,0.002169224400040565,50000,1.0156243762107622
31,11,3.0,fit,1235,sim,clean,wiener,6.744804313073174e-05,6.826877430379775e-05,5.840286497064942e-07,0.74294,0.0021991079556440743,50000,1.012168346700218
31,13,4.0,fit,1234,sim,clean,wiener,7.596897799571556e-05,7.824378077252351e-05,6.132551684801421e-07,0.70538,0.002309157813614587,50000,1.0299438380879133
