channel,wp,vbias,signal_amp,sigma_analytic,SNR,beta_Hz,rho_t,lambda_wiener,template,use_R,beta_R,n_events,BI,J_final
91,3,1.0,0.001998614,7.775626727379858e-05,25.703575134277344,548.1554419717368,14089.55458798354,3.743974957615137e-05,fit,0,,36,0.00015758516839757476,0.5933729410171509
91,5,1.4,0.001870085,6.821961869718507e-05,27.412715911865234,542.5574011651266,14872.971904019516,1.872273969638627e-05,fit,0,,36,0.0001554454132259136,0.5853158831596375
91,7,1.8,0.001754325,6.139742617961019e-05,28.573266983032227,568.6381494272041,16247.849660320877,0.06133648753166199,fit,0,,39,0.00015044415598374237,0.5664840936660767
91,9,2.0,0.00169956,6.216741894604638e-05,27.338436126708984,601.8573111747397,16453.837658943434,0.0756664127111435,fit,0,,38,0.00014906584814348433,0.5612941980361938
34,19,8.0,0.0018584769999999999,1.4687067960039712e-05,126.538330078125,483.25516992430016,61150.30220384148,2.1840758323669434,fit,0,,38,9.066040166195755e-05,0.3413736820220947
34,17,6.0,0.002072425,1.7028942238539457e-05,121.70016479492188,440.18233158590937,53570.262293818116,1.3743371963500977,fit,0,,37,9.841997625789032e-05,0.3705916702747345
34,9,2.0,0.002440126,2.9624063245137222e-05,82.36972045898438,324.3370266473117,26715.55021943723,0.016302039846777916,fit,0,,38,0.00013941671183152705,0.5249612331390381
34,11,3.0,0.0024210790000000005,2.3828881239751354e-05,101.60271453857422,347.1250637607234,35268.84876246515,0.03456210717558861,fit,0,,38,0.00012335293222400645,0.46447449922561646
34,5,1.4,0.0023085469999999998,3.4989254345418885e-05,65.97874450683594,306.8970907191531,20248.68473845025,0.003092758823186159,fit,0,,36,0.00015667126697289796,0.5899317264556885
34,7,1.8,0.0024120219999999998,3.461371306912042e-05,69.68399810791016,346.2264277935389,24126.441739273458,0.009489870630204678,fit,0,,39,0.00014675507085327587,0.5525931715965271
91,11,3.0,0.0014831010000000001,6.235761247808114e-05,23.78380012512207,722.1137132882179,17174.60822445668,0.11878637969493866,fit,0,,38,0.00014654004267312536,0.5517835021018982
91,13,4.0,0.001322959,6.0547146858880296e-05,21.85006332397461,774.2799302632683,16918.065506735056,0.09452853351831436,fit,0,,39,0.00014815875341178932,0.5578786134719849
34,23,20.0,0.0011531739999999999,1.0741080586740281e-05,107.36107635498047,698.244048253475,74964.232578952,7.176594257354736,fit,0,,36,7.573668772557283e-05,0.2851797640323639
34,21,10.0,0.001688306,1.3508465599443298e-05,124.98133850097656,528.8456211204162,66095.83358800995,3.8975777626037598,fit,0,,37,8.660048631489091e-05,0.3260864317417145
91,17,6.0,0.001091107,5.536521348403767e-05,19.707447052001953,874.7946280246215,17239.968813170974,0.05934206396341324,fit,0,,37,0.00014453885910695869,0.5442482233047485
91,15,5.0,0.001194072,5.7528450270183384e-05,20.75619888305664,848.3970079171681,17609.49702811892,2.386914014816284,fit,0,,38,0.0001459016540190257,0.5493797063827515
34,15,5.0,0.002204652,1.9717588656931184e-05,111.81143951416016,431.51774826114143,48248.62060898721,0.20791855454444885,fit,0,,38,0.00010361759076306779,0.3901628255844116
34,13,4.0,0.002317061,2.2683529095957056e-05,102.14728546142578,410.76172979833393,41958.19567033946,0.08700709789991379,fit,0,,39,0.00011335747770494282,0.4268375039100647
34,25,26.0,0.000980923,1.0262943760608323e-05,95.5791015625,777.5060858862466,74313.33314838342,3.723043441772461,fit,0,,38,7.28758188358053e-05,0.27440741658210754
34,27,30.0,0.0008928300000000001,1.0508338164072484e-05,84.96395874023438,865.6582821441755,73549.7545672399,4.592341423034668,fit,0,,38,7.016180038974039e-05,0.2641880214214325
91,21,10.0,0.000809598,5.469525058288127e-05,14.801980018615723,1002.3126167534613,14836.211325591172,0.020142948254942894,fit,0,,37,0.000150510101758073,0.5667324066162109
91,19,8.0,0.000927844,5.697864617104642e-05,16.28406524658203,969.4602545527368,15786.754039104791,0.04073710739612579,fit,0,,38,0.0001476700486852149,0.5560384392738342
91,27,30.0,0.00035906,3.6285615351516753e-05,9.895381927490234,1212.4171183186284,11997.330441189944,8.820083166938275e-06,fit,0,,38,0.00014751906673716753,0.5554699301719666
91,29,40.0,0.000280232,3.1397506973007694e-05,8.925293922424316,1372.6299206214537,12251.125488260433,1.469598282710649e-05,fit,0,,38,0.00014898791942360203,0.5610007643699646
91,25,26.0,0.00040550199999999997,3.8483896787511185e-05,10.536927223205566,1198.7541252686399,12631.184976473107,1.1626233572314959e-05,fit,0,,38,0.00014844686647914204,0.5589634776115417
91,23,20.0,0.0005004920000000001,3.949386518797837e-05,12.672652244567871,1087.9374217495397,13787.052609683687,0.0001585096906637773,fit,0,,37,0.00015171776738822927,0.571279764175415
