channel,wp,vbias,signal_amp,sigma_analytic,SNR,beta_Hz,rho_t,lambda_wiener,template,use_R,beta_R,n_events,s1,s2,s_penalty,BI,J_final
31,1,0.6,0.004763267,0.00020628115453291684,23.09113883972168,1808.062484624785,41750.221863363055,18.966388702392578,fit,0,,37,0.04580493582921688,0.04534419683528258,wna:1.0,9.066898126101833e-05,0.341405987739563
31,5,1.4,0.003880032,0.00016479083569720387,23.545194625854492,3166.255482899987,74550.1015800591,4.268661022186279,fit,0,,36,0.04796584917952794,0.04570624641722743,wna:1.0,4.936494328615168e-05,0.18587930500507355
31,3,1.0,0.004304359,0.00017095579823944718,25.178199768066406,2877.5915457742776,72452.57479040377,5.2265191078186035,fit,0,,36,0.04429138083554634,0.04291193640499469,wna:1.0,5.125958627763467e-05,0.19301341474056244
31,27,30.0,0.0007646230000000001,3.412231308175251e-05,22.40829849243164,2825.342475333976,63311.11753062941,14.792532920837402,fit,0,,38,0.04955685868182378,0.048183317967409954,wna:1.0,5.6210576883611246e-05,0.21165592968463898
31,29,40.0,0.000618823,2.7746735213440843e-05,22.30255126953125,2940.6207837006264,65583.34579273239,18.91698455810547,fit,0,,38,0.04923588389944545,0.04859582598526675,wna:1.0,5.3084413177498565e-05,0.19988463819026947
34,3,1.0,0.002058465,3.365472730365582e-05,61.164215087890625,312.1752089683771,19093.95162644902,1.0525834560394287,fit,0,,36,0.07023755838460809,0.06688023721300584,wna:1.0,0.00017128330560354995,0.6449520587921143
34,1,0.6,0.001562028,3.867361738230102e-05,40.3900146484375,304.91916198862657,12315.689419309914,2.387094736099243,fit,0,,37,0.0763441417124451,0.0699367747693015,wna:1.0,0.00019711220440553394,0.7422084808349609
34,5,1.4,0.0023085469999999998,2.8540513085317798e-05,80.88667297363281,312.3817747025303,25267.522453286612,2.1785426139831543,fit,0,,36,0.0509158876279149,0.04330860366182679,wna:1.0,0.00015174108426907156,0.5713675618171692
34,7,1.8,0.0024120219999999998,2.6728033844847232e-05,90.24315643310547,336.6282616811992,30378.396878700823,4.037402629852295,fit,0,,39,0.03966733678674329,0.031989457209105635,wna:1.0,0.00013832066013675368,0.5208341479301453
34,11,3.0,0.0024210790000000005,2.6656431145966053e-05,90.8253173828125,444.95508687191483,40413.18698623857,5.249636173248291,fit,0,,38,0.033981408243586905,0.025944987920531785,wna:1.0,0.00011403884350193918,0.4294031262397766
34,9,2.0,0.002440126,2.5073753931792453e-05,97.31793212890625,339.52422119460607,33041.795114336426,5.232802391052246,fit,0,,38,0.03649037400583127,0.029149302308214012,wna:1.0,0.00013003101828224317,0.48962023854255676
71,13,4.0,0.004298046000000001,0.00010440008190926164,41.16899108886719,1588.8631162424942,65411.89147401699,0.7553263306617737,fit,0,,39,0.041133836918036425,0.02951293400594103,wna:1.0,7.306181567891253e-05,0.2751077711582184
71,11,3.0,0.004643936,0.00012962069013155997,35.82712173461914,1508.9023314321332,54059.62751386967,1.2796320915222168,fit,0,,38,0.04064807794247167,0.03227206892389813,wna:1.0,8.456906836827023e-05,0.3184373080730438
71,7,1.8,0.004993932,0.00015364863793365657,32.50228500366211,1386.6460153520281,45069.163990164045,3.157947063446045,fit,0,,39,0.03826284054263853,0.03405368911520474,wna:1.0,9.558350065622731e-05,0.359911173582077
71,9,2.0,0.00494817,0.00015351046749856323,32.233436584472656,1402.6592317584707,45212.5273965118,2.928426504135132,fit,0,,38,0.038248878260253256,0.034318647337256945,wna:1.0,9.658155971634067e-05,0.3636692762374878
71,15,5.0,0.004079936,0.00011163221643073484,36.54801559448242,1720.1790949274723,62869.13238671191,0.8007481694221497,fit,0,,38,0.041896259269955695,0.03101104287641408,wna:1.0,7.917007864270224e-05,0.29810789227485657
71,17,6.0,0.003818313,9.955252608051524e-05,38.35475540161133,1861.3508849531363,71391.65790895034,0.7452210783958435,fit,0,,37,0.04112246701294627,0.02976057549141837,wna:1.0,6.974466883134549e-05,0.2626173496246338
71,19,8.0,0.0033632650000000003,8.564581366954371e-05,39.26946258544922,1954.145312521025,76738.23623657537,0.9109562039375305,fit,0,,38,0.04111027396978388,0.029313054118465846,wna:1.0,6.601437550668163e-05,0.2485712617635727
71,21,10.0,0.0030173459999999997,8.230573439504951e-05,36.660213470458984,2225.1431687772724,81574.22356970835,1.0389386415481567,fit,0,,37,0.04210166810354157,0.030526512999426905,wna:1.0,5.973082832647173e-05,0.22491112351417542
34,23,20.0,0.0011531739999999999,9.11727602215251e-06,126.48229217529297,720.6679495995661,91151.73416262162,11.883493423461914,fit,0,,36,0.0263408671802295,0.018493967786985206,wna:1.0,6.795227661501578e-05,0.25586825609207153
