channel,wp,vbias,signal_amp,sigma_analytic,SNR,beta_Hz,rho_t,lambda_wiener,template,use_R,beta_R,n_events,s1,s2,s_penalty,BI,J_final
34,5,1.4,0.0023085469999999998,2.8548443879117258e-05,80.86419677734375,331.76658105727205,26828.038094761814,0.9431538581848145,sim,0,,36,0.06192812733716171,0.05599611410122802,wna:1.0,0.00014605570689367415,0.5499597787857056
34,7,1.8,0.0024120219999999998,2.673922608664725e-05,90.20537567138672,350.8746029922709,31650.77537646647,2.1089866161346436,sim,0,,39,0.04572841550186426,0.03920490873152197,wna:1.0,0.00013429446957898407,0.505673885345459
34,15,5.0,0.002204652,1.7780337657313794e-05,123.99382019042969,468.7777608760649,58125.54539133904,4.72699499130249,sim,0,,38,0.030138460611738725,0.0231866320177367,wna:1.0,9.24286142886833e-05,0.3480317294597626
34,13,4.0,0.002317061,1.941654409165494e-05,119.33436584472656,432.64186077587317,51629.042093571305,3.6092491149902344,sim,0,,39,0.03201297924608826,0.024915038487333282,wna:1.0,9.938591722484074e-05,0.374228835105896
34,17,6.0,0.002072425,1.4700593055749778e-05,140.97561645507812,458.40382884185334,64623.762356348394,5.632369041442871,sim,0,,37,0.027778744671260742,0.0214066636783566,wna:1.0,8.739011810409426e-05,0.3290597200393677
34,19,8.0,0.0018584769999999999,1.2435500138963107e-05,149.44931030273438,497.28382196883945,74318.7242179508,6.4371232986450195,sim,0,,38,0.02656820134815466,0.020302640893439482,wna:1.0,8.055051555320693e-05,0.30330580472946167
34,23,20.0,0.0011531739999999999,9.104106538870838e-06,126.66525268554688,722.5738001323151,91524.99297771553,8.155696868896484,sim,0,,36,0.02741967985041953,0.019937150202683284,wna:1.0,6.551479194347526e-05,0.24669012427330017
34,21,10.0,0.001688306,1.2543288903543726e-05,134.5983428955078,587.9005817109039,79130.44408559275,5.392704010009766,sim,0,,37,0.028826912988265348,0.021404523291500208,wna:1.0,7.580030656067478e-05,0.2854193150997162
34,29,40.0,0.000737938,8.157459888025187e-06,90.46173858642578,932.0882323659739,84318.32201577442,8.995281219482422,sim,0,,38,0.03246351508820259,0.02311329746678482,wna:1.0,6.137580815118985e-05,0.23110514879226685
91,1,0.6,0.002080556,7.301587174879387e-05,28.494571685791016,612.4201240017102,17450.649125187752,7.597917556762695,sim,0,,37,0.07873773766682893,0.07486276226140091,wna:1.0,0.00016124276861562086,0.6071453094482422
